Sector_Code,Sector_Name,Category,Water_2015_m3_per_million_EUR,Water_2015_m3_per_million_INR,Water_2015_m3_per_INR_crore,Water_2019_m3_per_million_EUR,Water_2019_m3_per_million_INR,Water_2019_m3_per_INR_crore,Water_2022_m3_per_million_EUR,Water_2022_m3_per_million_INR,Water_2022_m3_per_INR_crore,Absolute_Change_EUR_2015_2019,Absolute_Change_INR_crore_2015_2019,Percent_Change_2015_2019,Absolute_Change_EUR_2019_2022,Absolute_Change_INR_crore_2019_2022,Percent_Change_2019_2022,Absolute_Change_EUR_2015_2022,Absolute_Change_INR_crore_2015_2022,Percent_Change_2015_2022
IN.51,Re-processing of paper,Manufacturing,806.4170500706344,11.520243572437636,115.20243572437636,1439.8615069615093,18.272354149257733,182.72354149257734,1701.6763212774026,20.626379651847305,206.26379651847304,633.4444568908749,67.52110576820098,58.61032298528394,261.8148143158933,23.540255025895704,12.88291919279598,895.2592712067682,91.06136079409669,79.0439627269108
IN.95,Electricity - hydro,Electricity & Utilities,994.796,14.211371428571429,142.11371428571428,2010.8429999999998,25.518312182741116,255.18312182741116,1605.657,19.46250909090909,194.62509090909091,1016.0469999999998,113.06940754169688,79.56206935361857,-405.1859999999999,-60.55803091832024,-23.731112455059993,610.8609999999999,52.511376623376634,36.949992748678525
IN.60,Other recovered gases,Manufacturing,834.6826128093322,11.924037325847603,119.24037325847604,1065.1535973605307,13.517177631478816,135.17177631478816,1556.6519175712417,18.868508091772625,188.68508091772625,230.4709845511985,15.93140305631212,13.360633663433314,491.498320210711,53.51330460293809,39.58881814953418,721.9693047619095,69.44470765925021,58.23876877760955
IN.71,Refinery Gas,Manufacturing,853.17686777795,12.188240968256428,121.88240968256429,1230.56319893804,15.61628425048274,156.1628425048274,1442.1069460190802,17.48008419417067,174.8008419417067,377.38633116009,34.28043282226312,28.125593886439344,211.54374708104024,18.637999436879284,11.934900638925516,588.9300782411302,52.918432259142406,43.41725620981911
IN.58,Coke oven gas,Manufacturing,697.2539194,9.960770277142856,99.60770277142856,831.9279606,10.55746142893401,105.5746142893401,1294.3698032,15.689330947878787,156.89330947878787,134.67404120000003,5.966911517911541,5.990351597695006,462.4418426,51.318695189447766,48.60847415843961,597.1158838,57.28560670735931,57.51064426449987
IN.44,Fish products,Manufacturing,294.1584078834607,4.202262969763725,42.02262969763724,398.12583301402645,5.052358286980032,50.523582869800315,1195.0967462315405,14.486021166442915,144.86021166442916,103.96742513056574,8.500953172163072,20.228983629753035,796.970913217514,94.33662879462884,186.71431496570747,900.9383383480797,102.83758196679192,244.713706804279
IN.84,Primary solid biofuels,Manufacturing,866.09977192704,12.372853884672,123.72853884672,970.9734079394,12.321997562682741,123.2199756268274,1082.119433123755,13.11659918937885,131.1659918937885,104.87363601235995,-0.5085632198925936,-0.4110281381737125,111.14602518435504,7.946016266961081,6.448590612547537,216.019661196715,7.437453047068487,6.011056952440626
IN.42,Food products nec,Manufacturing,113.50225157849479,1.62146073683564,16.2146073683564,143.67735920739742,1.8233167412106273,18.233167412106273,893.681026686579,10.832497293170654,108.32497293170654,30.175107628902623,2.018560043749872,12.448254313859051,750.0036674791816,90.09180551960027,494.0823646260114,780.1787751080842,92.11036556335014,568.0352482084448
IN.53,Printed matter,Manufacturing,401.46095894998103,5.735156556428301,57.35156556428301,506.18886240051427,6.423716527925309,64.23716527925309,631.1610018453482,7.650436386004221,76.5043638600422,104.72790345053323,6.885599714970084,12.005739668703109,124.97213944483394,12.267198580789113,19.096433603702305,229.70004289536718,19.152798295759197,33.394841376872655
IN.39,Dairy products,Manufacturing,18.0126646022019,0.25732378003145573,2.5732378003145575,22.9617943541413,0.2913933293672754,2.913933293672754,600.6808126068835,7.280979546750102,72.80979546750102,4.949129751939399,0.3406954933581967,13.234810448225321,577.7190182527422,69.89586217382826,2397.8546035872046,582.6681480046816,70.23655766718646,2728.4409256442414
