Sector_Code,Sector_Name,Broad_Category,Water_2015_m3_per_crore,Water_2019_m3_per_crore,Water_2022_m3_per_crore,Chg_2015_2019_pct,Chg_2015_2022_pct
IN.53,Printed matter,Manufacturing,565.4379703520859,640.745395443689,713.1762732715799,13.318423777715303,26.128118496800024
IN.54,Coke Oven Coke,Manufacturing,412.2129808120422,329.231806837595,591.3187531101859,-20.130655228512644,43.449813721371136
IN.55,Gas Coke,Manufacturing,33.33930066512676,0.7348104965743038,60.19927843182372,-97.79596307686525,80.56551046612915
IN.56,Coal Tar,Manufacturing,138.0241623943662,39.98816252025317,59.526782008961696,-71.02814331450318,-56.87220195629208
IN.57,Gas Works Gas,Manufacturing,0.0,0.0,0.0,,
IN.58,Coke oven gas,Manufacturing,982.0477738028168,1053.0733678481013,1462.5647493785311,7.232397031994654,48.93010181317272
IN.59,Blast Furnace Gas,Manufacturing,0.0,0.0,0.0,,
IN.60,Other recovered gases,Manufacturing,1175.6093138159608,1348.2956928614315,1758.9287204194823,14.689095859996252,49.61847441562877
IN.61,Petroleum Refinery,Manufacturing,1760.105131682615,1993.1983489584559,2875.917359003797,13.243141735119533,63.39463519741543
IN.62,Ethane,Manufacturing,194.53107102935715,246.69007407824557,341.975174398661,26.812684869769203,75.79462889352659
IN.63,LPG,Manufacturing,97.88045977643662,221.05050712929113,59.775704649299435,125.8372178003459,-38.929889800446546
IN.64,Motor Gasoline,Manufacturing,37.86968330267606,37.15106246382279,166.06290965989155,-1.897615126880366,338.511482476952
IN.65,Aviation Gasoline,Manufacturing,0.0,0.0,0.0,,
IN.66,Jet Fuel (gasoline),Manufacturing,19.365123646395773,18.024506241641774,30.147769211543846,-6.922844538632802,55.68074731686484
IN.67,Jet Fuel (kerosene),Manufacturing,105.71780784576971,135.5773577955449,176.2867469184602,28.244579185123566,66.75217781250494
IN.68,Kerosene,Manufacturing,142.76075008083097,160.92527776226584,212.73419546340995,12.723754723304639,49.01448426332875
IN.69,Gas/Diesel Oil,Manufacturing,0.0,0.0,0.0,,
IN.70,Heavy Fuel Oil,Manufacturing,46.6645679169014,16.720445644050635,15.764510369186441,-64.16886217863238,-66.21738703922145
IN.71,Refinery Gas,Manufacturing,1201.6575602506337,1557.6749353646076,1629.499374032859,29.627190548338763,35.60430424895665
IN.72,Liquefied Refinery Gas,Manufacturing,2484.0875580416055,2887.436414168089,2605.92846648809,16.237304310016913,4.904855630070509
IN.73,Refinery Feedstocks,Manufacturing,14.179354122887322,11.459781091050635,0.2413653106181921,-19.17980895509861,-98.29776935870022
IN.74,Additives,Manufacturing,0.0,0.0,0.0,,
IN.75,Other Hydrocarbons,Manufacturing,134.38221162325354,156.70774213196202,232.39383852779764,16.613456676318954,72.93497087198119
IN.76,White Spirit,Manufacturing,0.0,0.0,0.0,,
IN.77,Lubricants,Manufacturing,12.67507246867183,13.254268367865825,15.312017375867798,4.569566766782248,20.80418012373134
IN.78,Bitumen,Manufacturing,0.0,0.0,0.0,,
IN.79,Paraffin Waxes,Manufacturing,39.64966758487324,31.476140649759497,23.414527991792088,-20.614364338913223,-40.94647088359204
IN.80,Petroleum Coke,Manufacturing,0.0,0.0,0.0,,
IN.81,Non-spec Petroleum,Manufacturing,20.151858856330982,14.298986516763291,297.857398908705,-29.04383353066673,1378.064138064013
IN.82,Industrial Biofuels,Energy Processing,0.0,0.0,0.0,,
IN.83,Municipal wastes (renew),Energy Processing,59.31656817098591,48.59515213119367,0.5749537011473447,-18.074909541102734,-99.03070302467604
IN.84,Solid biofuels,Energy Processing,1219.8588337000563,1229.0802632144305,1222.7338227387063,0.7559423483784538,0.23568211002986778
IN.85,Other liquid biofuels,Energy Processing,590.0306402267605,680.9485849836202,0.0499507115246861,15.409020914899964,-99.99153421735767
IN.86,Municipal Wastes (non-renew),Energy Processing,10.382447318309861,13.636698318886078,7.365339502824859,31.343775709193483,-29.059697805200628
IN.87,Solid biofuels (2),Energy Processing,96.61378950654353,96.94951361073417,51.567259215939494,0.3474908767220109,-46.6253632330125
IN.88,Other liquid biofuels (2),Energy Processing,40.03975724787323,11.813101640979115,3.8100503337996723,-70.49657027676764,-90.48433208470051
IN.89,N-fertiliser,Energy Processing,4.932508872676056,5.841023444148101,5.7150257084510745,18.418914084571014,15.864479030333218
IN.90,P-fertiliser,Energy Processing,0.4486492957746479,0.5345708860759494,0.9384510845316384,19.151170214799365,109.17253038618678
IN.91,Chemicals nec,Energy Processing,0.6074676056338028,0.7321987341772153,2.888703527993559,20.53296791246572,375.53211088180143
IN.92,Electricity coal,Utilities/Energy,197.07429717162955,227.72131396844458,166.478998893992,15.550996368707036,-15.524753210710413
IN.93,Electricity gas,Utilities/Energy,0.0,0.0,8.917421468926555e-09,,
IN.94,Electricity nuclear,Utilities/Energy,0.0,0.0,0.0,,
IN.95,Electricity hydro,Utilities/Energy,1401.1211267605634,2545.3708860759493,1814.3016949152543,81.66672655639188,29.489282565453678
IN.96,Electricity wind,Utilities/Energy,40.52140845070422,41.13746835443039,24.024519774011303,1.5203319116501763,-40.71153819039136
IN.97,Electricity petroleum,Utilities/Energy,98.1007042253521,119.4654430379747,83.71954802259889,21.778374560435942,-14.65958508281198
IN.98,Electricity biomass,Utilities/Energy,0.0,0.0,0.0,,
IN.99,Electricity solar PV,Utilities/Energy,0.0,0.0,0.0,,
