क्र. सं.,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  ,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,NIC Code Description,NIC 2008 Code,S.No.
3.2,242+2432,बुनियादी कीमती और अलौह धातुओं का विनिर्माण + अलौह धातुओं की कास्टिंग,"1,286","7,247","1,402","1,140","1,328","1,488","1,239","1,394","1,802","1,528","1,958","1,748","1,790","1,286","6,947","1,315","1,046","1,310","1,484","1,148","1,243","1,684","1,362","1,406","1,200","1,240",Manufacture of basic precious and non-ferrous metals + casting of non-ferrous metals,242+2432,3.2
3.3,25,"मशीनरी और उपकरणों को छोड़कर, विरचित धात्‍विक उत्पादों का विनिर्माण","56,994","89,617","64,625","71,255","61,706","69,369","78,231","81,659","79,511","79,800","92,533","112,055","120,993","56,994","86,800","62,892","67,349","58,268","66,003","71,444","70,947","68,841","68,853","70,907","80,615","87,297","Manufacture of fabricated metal products, except machinery and equipment",25,3.3
4,,मशीनरी और उपकरणों का विनिर्माण,"41,027","39,320","52,579","48,177","49,549","49,288","59,468","65,089","61,076","67,674","74,110","90,495","98,664","41,027","38,510","50,589","44,365","45,549","45,492","54,311","58,286","54,457","59,579","61,525","71,770","76,587",Manufacture of machinery & equipment,,4
4.1,26,"कंप्यूटर, विद्युतीय और ऑप्टिकल उत्पादों का विनिर्माण","6,425","8,497","17,336","4,684","6,837","5,943","6,761","8,611","8,265","12,258","8,903","8,647","8,279","6,425","8,612","17,178","4,428","6,449","5,553","6,449","6,449","6,449","6,449","8,131","7,815","7,351","Manufacture of computer, electronic & optical products",26,4.1
4.1.1,261+264+268,"विद्युतीय घटक, उपभोक्ता विद्युत, चुंबकीय और ऑप्टिकल मीडिया का विनिर्माण","4,045","3,152","7,885","3,071","4,439","3,892","4,610","4,268","5,782","7,633","6,003","6,005","5,950","4,045","3,099","7,632","2,990","4,314","3,794","4,461","4,157","5,869","7,731","5,794","5,686","5,510","Manufacture of electronic component, consumer electronics, magnetic and optical media",261+264+268,4.1.1
4.1.2,262,कंप्यूटर और परिधीय उपकरणों का विनिर्माण,834,"4,292","8,499",574,827,"1,062","1,345","1,296","1,180","1,223","1,180",341,239,834,"4,488","8,651",473,648,835,"1,056",978,874,907,876,253,177,Manufacture of computer and peripheral equipment,262,4.1.2
4.1.3,263,संचार उपकरणों का विनिर्माण,711,675,664,558,"1,132",580,252,"2,225",553,"1,332",404,511,448,711,656,621,520,"1,077",557,228,"1,907",473,"1,159",332,395,329,Manufacture of communication equipment,263,4.1.3
4.1.4,265+266+267,ऑप्टिकल और विद्युत उत्पाद जो अन्यत्र वर्गीकृत नहीं हैं का विनिर्माण,835,379,288,482,439,409,554,822,750,"2,070","1,316","1,790","1,641",835,368,273,445,409,367,488,715,643,"1,803","1,129","1,480","1,335",Manufacture of optical and electronics products n.e.c,265+266+267,4.1.4
4.2,27,विद्युतीय उपकरणों का विनिर्माण,"11,164","9,801","11,839","13,326","13,791","14,340","18,603","16,738","14,657","18,975","21,186","27,528","30,190","11,164","9,488","11,315","12,170","12,652","13,253","16,973","14,985","13,169","16,704","17,323","21,373","22,976",Manufacture of electrical equipment,27,4.2
4.3,28,मशीनरी और उपकरण जो अन्यत्र वर्गीकृत नहीं हैं का विनिर्माण,"12,599","10,415","12,074","13,070","14,247","16,374","18,865","23,317","20,653","20,414","25,433","34,648","37,758","12,599","10,057","11,410","12,069","13,047","15,175","17,323","20,950","18,261","17,907","21,194","27,455","29,270",Manufacture of machinery and equipment n.e.c,28,4.3
4.4,29+30,परिवहन उपकरणों का विनिर्माण,"10,839","10,607","11,330","17,096","14,675","12,630","15,239","16,421","17,501","16,026","18,588","19,672","22,437","10,839","10,354","10,687","15,699","13,401","11,511","13,781","14,593","15,169","13,367","14,878","15,128","16,990",Manufacture of transport equipment,29+30,4.4
5,,"कोक, पेट्रोलियम, रबर, रासायनिक और संबंधित उत्पादों का विनिर्माण","58,692","66,931","64,811","74,039","80,321","85,768","91,813","109,360","111,334","112,180","123,997","138,087","144,893","58,692","62,711","59,540","66,212","72,786","78,255","82,043","94,932","96,555","96,156","98,959","102,860","108,391","Manufacture of coke, petroleum, rubber, chemical and related products",,5
5.1,19,कोक और परिष्कृत पेट्रोलियम उत्पादों का विनिर्माण,941,285,529,498,312,434,340,469,494,400,973,"1,526","1,485",941,262,449,460,386,537,377,458,498,448,767,927,963,Manufacture of coke & refined petroleum products,19,5.1
5.2,20,"फार्मास्यूटिकल्स, औषधीय और वनस्पति उत्पादों को छोड़कर रसायन और रासायनिक उत्पादों का विनिर्माण","4,971","6,578","4,745","5,327","6,100","5,137","7,104","10,848","8,352","8,011","11,339","12,296","11,404","4,971","6,062","4,178","4,588","5,417","4,628","6,315","9,108","7,108","6,778","8,494","8,457","8,330","Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",20,5.2
5.3,21,"फार्मास्‍यूटिकल्‍स, औषधीय रसायनों तथा वनस्पति उत्पादों का विनिर्माण","3,814","2,063","3,536","3,121","2,833","3,330","2,922","3,026","3,623","4,250","5,657","4,315","4,728","3,814","1,968","3,274","2,725","2,387","2,782","2,411","2,450","2,846","3,247","4,163","3,062","3,309",Manufacture of pharmaceutical; medicinal chemicals and botanical products,21,5.3
5.4,22,रबर और प्लास्टिक उत्पादों का विनिर्माण,"9,522","7,785","10,071","11,469","14,193","15,528","15,953","18,822","21,398","21,998","25,084","30,243","31,028","9,522","7,482","9,117","10,259","13,118","14,445","14,827","17,173","19,722","19,765","20,100","23,318","24,336",Manufacture of rubber & plastic products,22,5.4
5.5,23,अन्य अधात्‍विक खनिज उत्पादों का विनिर्माण,"39,444","50,220","45,930","53,625","56,883","61,339","65,494","76,197","77,467","77,521","80,944","89,707","96,247","39,444","46,937","42,522","48,180","51,478","55,865","58,114","65,744","66,382","65,919","65,436","67,096","71,453",Manufacture of other non-metallic mineral products,23,5.5
6,,अन्‍य,"93,585","108,131","108,792","125,665","224,628","176,921","199,680","239,817","228,407","242,861","340,547","325,868","313,697","93,585","100,829","95,949","105,073","191,070","146,959","161,341","186,738","174,706","182,047","231,836","213,482","201,855",Others,,6
6.1,16,फर्नीचर को छोड़कर लकड़ी और लकड़ी के उत्पादों तथा कार्क का विनिर्माण; भूसे और प्‍लेटिंग सामग्री का विनिर्माण,"38,404","42,037","37,607","53,863","60,126","65,947","66,309","79,233","67,027","81,107","81,307","90,359","87,024","38,404","37,924","31,680","43,229","46,251","50,807","50,425","59,350","50,133","60,258","57,664","63,100","59,361","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",16,6.1
6.2,17,कागज और कागज उत्पादों का विनिर्माण,"4,729","3,841","4,300","4,681","5,598","5,331","6,049","9,439","7,733","9,024","11,722","12,659","11,259","4,729","3,709","3,903","4,106","4,967","4,692","5,088","7,655","6,385","7,415","8,525","8,328","8,025",Manufacture of paper and paper products,17,6.2
6.3,18,प्रकाशन को छोड़कर रिकार्डिड मीडिया का मुद्रण और पुनरूत्‍पादन,"6,230","5,219","3,922","5,809","5,761","4,966","7,274","5,761","5,276","4,092","6,545","8,738","9,105","6,230","4,728","3,306","4,603","4,233","3,519","5,062","3,930","3,504","2,660","4,148","5,066","4,995",Printing and reproduction of recorded media except publishing,18,6.3
6.4,31,फर्नीचर का विनिर्माण,"39,542","52,109","57,705","55,597","143,374","92,261","108,538","134,328","137,503","138,318","226,281","196,948","188,982","39,542","49,397","51,638","47,723","127,217","80,859","90,223","105,521","105,044","103,842","150,754","125,285","118,410",Manufacture of furniture,31,6.4
6.5,32,अन्य विनिर्माण,"4,022","4,249","4,462","5,326","9,030","7,870","10,268","9,625","10,162","9,689","13,847","16,449","16,548","4,022","4,418","4,669","5,053","7,724","6,575","9,403","8,995","9,017","7,318","10,042","11,137","10,460",Other manufacturing,32,6.5
6.6,33,मशीनरी और उपकरणों की मरम्मत और स्थापना,659,676,797,389,739,547,"1,242","1,433",706,631,844,715,780,659,652,753,359,677,507,"1,140","1,287",624,554,704,567,604,Repair and installation of machinery and equipment,33,6.6
7,,कुल उत्पादन,"543,076","605,579","678,919","698,250","825,639","824,799","936,733","1,058,116","1,028,602","1,056,610","1,290,560","1,380,986","1,384,559","543,076","569,651","611,979","612,028","732,581","712,666","791,191","865,740","836,055","845,787","935,942","950,848","959,464",Total Output,,7
