,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
विवरण 1.5: आर्थिक क्रियाकलाप के अनुसार उत्पादन तथा प्रयोग के उद्योग के तहत पूंजी निर्माण,,,,,,,,,,,,,,,Statement 1.5: Output by Economic activity and Capital formation by Industry of use,,,,,,,,,,,,,,
,प्रचलित भावों पर  At Current Prices,,,,,,,,,,,,,,,स्थिर (2011-12) भावों पर  At constant (2011-12) Prices,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,( ₹ करोड़),,,,,,,,,,,,,,,,,,,( ₹ crore),,,,,,,,
क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,S.No.
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,2,1
3.1.2.2,निवल मूल्‍य वर्धन ,"1,146,928","1,289,125","1,411,657","1,554,656","1,802,694","1,968,540","2,174,611","2,385,941","2,248,765","2,323,084","2,856,699","2,879,414","3,236,041","1,146,928","1,213,903","1,278,832","1,393,158","1,595,406","1,727,321","1,865,797","1,967,832","1,879,829","1,935,086","2,148,293","2,083,681","2,373,205",NVA at basic prices,3.1.2.2
3.1.2.2.1,कर्मचारियों का पारिश्रमिक ,"325,615","377,180","411,241","470,119","515,836","559,099","607,564","690,270","738,792","728,490","858,836","958,278","1,069,073",,,,,,,,,,,,,,CE,3.1.2.2.1
3.1.2.2.2,परिचालन अधिशेष/मिश्रित आय  ,"808,289","899,095","988,684","1,072,863","1,274,774","1,386,671","1,558,792","1,687,148","1,503,823","1,586,059","1,988,375","1,904,981","2,147,633",,,,,,,,,,,,,,OS/MI,3.1.2.2.2
3.1.2.2.3,आर्थिक सहायता घटाकर उत्‍पादन पर कर,"13,023","12,851","11,733","11,674","12,084","22,770","8,256","8,522","6,150","8,535","9,488","16,154","19,334",,,,,,,,,,,,,,Production taxes less production subsidies,3.1.2.2.3
3.2,सकल पूंजी निर्माण ,"615,002","649,003","631,751","693,478","771,790","787,514","866,200","966,191","938,018","915,543","1,318,871","1,447,945","1,514,908","615,002","620,148","584,269","623,915","695,025","703,381","757,601","812,449","776,983","744,554","993,926","953,510","999,554",Gross Capital Formation ,3.2
3.3,स.मू.व. का उत्पादन से अनुपात,21.5,21.9,21.5,22.1,25.5,26.0,25.7,23.6,22.8,24.0,21.5,19.2,20.3,21.5,21.9,21.6,22.0,23.9,24.5,24.6,22.7,22.1,23.5,21.7,19.7,20.6,GVA to Output Ratio,3.3
3.4,स.पू.नि. का उत्पादन से अनुपात,9.4,9.0,7.9,8.2,9.2,8.8,8.7,8.1,7.9,7.8,8.4,7.9,7.8,9.4,9.1,8.1,8.1,8.7,8.4,8.4,7.9,7.6,7.5,8.4,7.5,7.3,GCF to Output Ratio,3.4
4,"बिजली, गैस, जलआपूर्ति और उपयोगी सेवाएं ",,,,,,,,,,,,,,,,,,,,,,,,,,,"Electricity, gas, water supply and other utility services",4
4.1,उत्‍पादन ,"535,136","625,813","730,188","854,579","855,525","916,329","1,025,339","1,135,361","1,190,401","1,145,695","1,357,054","1,694,481","1,935,878","535,136","556,657","592,198","638,629","675,655","726,622","774,782","833,536","854,279","840,779","931,416","1,012,774","1,090,625",Output,4.1
4.1.1,मध्‍यस्‍थ उपभोग ,"348,468","410,463","470,033","572,321","520,561","560,620","599,621","685,902","687,401","644,915","779,261","1,085,413","1,169,443","348,468","365,022","392,597","424,582","451,497","480,126","502,132","539,389","553,481","552,565","613,449","660,443","707,849",Intermediate consumption,4.1.1
4.1.2,बुनियादी मूल्‍यों पर सकल मूल्‍य वर्धन ,"186,668","215,350","260,155","282,258","334,965","355,709","425,718","449,459","502,999","500,780","577,793","609,068","766,435","186,668","191,635","199,601","214,047","224,158","246,496","272,650","294,147","300,798","288,213","317,966","352,331","382,776",GVA at basic prices,4.1.2
4.1.2.1,स्‍थायी पूंजी अवक्षय  ,"62,857","75,172","86,581","99,530","109,413","119,233","129,416","143,860","153,825","164,851","186,569","204,789","219,237","62,857","72,297","81,525","88,959","98,160","106,834","113,183","121,817","129,466","135,557","142,241","148,096","156,578",CFC,4.1.2.1
4.1.2.2,निवल मूल्‍य वर्धन ,"123,811","140,178","173,574","182,728","225,552","236,476","296,301","305,599","349,175","335,928","391,224","404,278","547,199","123,811","119,338","118,076","125,088","125,998","139,662","159,467","172,330","171,332","152,656","175,725","204,235","226,198",NVA at basic prices,4.1.2.2
4.1.2.2.1,कर्मचारियों का पारिश्रमिक ,"65,642","70,449","94,742","106,002","113,442","123,704","141,144","160,936","167,879","174,782","186,714","197,826","221,939",,,,,,,,,,,,,,CE,4.1.2.2.1
4.1.2.2.2,परिचालन अधिशेष/मिश्रित आय  ,"63,432","75,392","83,895","82,107","118,051","122,601","160,812","151,961","188,939","166,835","209,485","206,984","330,049",,,,,,,,,,,,,,OS/MI,4.1.2.2.2
4.1.2.2.3,आर्थिक सहायता घटाकर उत्‍पादन पर कर,"-5,263","-5,663","-5,063","-5,381","-5,941","-9,829","-5,655","-7,298","-7,643","-5,688","-4,976",-532,"-4,789",,,,,,,,,,,,,,Production taxes less production subsidies,4.1.2.2.3
4.2,सकल पूंजी निर्माण ,"308,373","316,801","318,459","339,044","414,405","371,530","333,854","435,643","413,288","347,262","449,281","452,522","594,704","308,373","304,329","298,996","303,065","370,937","333,120","288,212","362,409","341,045","278,733","330,348","313,586","413,242",Gross Capital Formation ,4.2
4.3,स.मू.व. का उत्पादन से अनुपात,34.9,34.4,35.6,33.0,39.2,38.8,41.5,39.6,42.3,43.7,42.6,35.9,39.6,34.9,34.4,33.7,33.5,33.2,33.9,35.2,35.3,35.2,34.3,34.1,34.8,35.1,GVA to Output Ratio,4.3
4.4,स.पू.नि. का उत्पादन से अनुपात,57.6,50.6,43.6,39.7,48.4,40.5,32.6,38.4,34.7,30.3,33.1,26.7,30.7,57.6,54.7,50.5,47.5,54.9,45.8,37.2,43.5,39.9,33.2,35.5,31.0,37.9,GCF to Output Ratio,4.4
5,निर्माण ,,,,,,,,,,,,,,,,,,,,,,,,,,,Construction,5
5.1,उत्‍पादन ,"2,140,973","2,341,396","2,528,017","2,720,301","2,687,072","2,901,217","3,256,466","3,712,259","3,811,304","3,735,337","5,086,887","6,069,208","6,594,511","2,140,973","2,158,372","2,210,947","2,338,816","2,376,858","2,500,211","2,647,705","2,843,287","2,905,041","2,765,407","3,331,038","3,655,677","3,977,548",Output,5.1
5.1.1,मध्‍यस्‍थ उपभोग ,"1,363,639","1,492,032","1,606,547","1,741,215","1,695,988","1,820,347","2,056,052","2,360,141","2,432,635","2,375,825","3,251,212","3,897,807","4,192,893","1,363,639","1,378,322","1,410,176","1,503,587","1,511,524","1,583,766","1,683,399","1,816,497","1,861,612","1,770,036","2,137,506","2,353,432","2,539,759",Intermediate consumption,5.1.1
5.1.2,बुनियादी मूल्‍यों पर सकल मूल्‍य वर्धन ,"777,335","849,365","921,470","979,086","991,084","1,080,870","1,200,414","1,352,118","1,378,669","1,359,511","1,835,674","2,171,401","2,401,618","777,335","780,050","800,771","835,229","865,335","916,445","964,306","1,026,789","1,043,429","995,371","1,193,532","1,302,245","1,437,788",GVA at basic prices,5.1.2
5.1.2.1,स्‍थायी पूंजी अवक्षय  ,"39,156","52,516","54,860","58,145","59,092","66,455","76,196","89,904","103,325","117,432","137,647","200,895","220,189","39,156","51,359","53,561","53,940","55,482","63,396","72,290","83,129","95,173","108,155","120,693","134,098","147,116",CFC,5.1.2.1
5.1.2.2,निवल मूल्‍य वर्धन ,"738,178","796,849","866,610","920,941","931,992","1,014,415","1,124,218","1,262,214","1,275,344","1,242,079","1,698,027","1,970,506","2,181,430","738,178","728,691","747,210","781,289","809,853","853,049","892,015","943,660","948,257","887,215","1,072,839","1,168,148","1,290,672",NVA at basic prices,5.1.2.2
5.1.2.2.1,कर्मचारियों का पारिश्रमिक ,"509,388","564,728","615,935","676,727","663,357","720,548","797,738","874,139","920,485","903,173","1,259,192","1,443,011","1,555,274",,,,,,,,,,,,,,CE,5.1.2.2.1
5.1.2.2.2,परिचालन अधिशेष/मिश्रित आय  ,"224,520","227,161","245,669","238,749","262,735","288,013","319,953","380,089","347,229","332,204","428,424","513,750","611,249",,,,,,,,,,,,,,OS/MI,5.1.2.2.2
