क्र. सं.,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  ,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,NIC Code Description,NIC 2008 Code,S.No.
4.1.2,262,कंप्यूटर और परिधीय उपकरणों का विनिर्माण,"3,522","4,247","7,839","5,851","7,692","8,238","9,320","8,623","11,791","8,789","8,664","8,592","6,506","3,522","4,441","7,980","4,823","6,033","6,471","7,315","6,508","8,734","6,520","6,432","6,364","4,809",Manufacture of computer and peripheral equipment,262,4.1.2
4.1.3,263,संचार उपकरणों का विनिर्माण,"3,395","4,884","5,496","4,622","13,119","15,569","16,328","13,249","15,049","17,154","20,138","29,772","28,194","3,395","4,751","5,145","4,312","12,482","14,956","14,763","11,353","12,862","14,929","16,547","23,008","20,715",Manufacture of communication equipment,263,4.1.3
4.1.4,265+266+267,ऑप्टिकल और विद्युत उत्पाद जो अन्यत्र वर्गीकृत नहीं हैं का विनिर्माण,"6,912","7,347","7,154","8,504","12,365","13,382","15,104","15,683","14,185","15,614","16,988","17,739","17,511","6,912","7,146","6,784","7,846","11,528","12,013","13,302","13,651","12,162","13,601","14,573","14,670","14,251",Manufacture of optical and electronics products n.e.c,265+266+267,4.1.4
4.2,27,विद्युतीय उपकरणों का विनिर्माण,"52,047","54,385","54,354","55,447","73,697","80,120","84,633","87,877","86,108","83,547","95,157","124,395","146,532","52,047","52,646","51,948","50,636","53,286","51,552","77,220","78,672","77,366","73,545","77,806","96,580","111,516",Manufacture of electrical equipment,27,4.2
4.3,28,मशीनरी और उपकरण जो अन्यत्र वर्गीकृत नहीं हैं का विनिर्माण,"115,642","119,143","103,074","116,244","124,403","149,577","177,412","185,007","175,913","178,261","198,563","240,340","280,390","115,642","115,054","97,404","107,335","113,922","138,626","162,912","166,223","155,537","156,370","165,469","190,443","217,356",Manufacture of machinery and equipment n.e.c,28,4.3
4.4,29+30,परिवहन उपकरणों का विनिर्माण,"135,511","151,059","142,971","180,773","238,688","256,459","267,146","316,784","289,126","265,799","309,567","383,375","467,555","135,511","147,452","134,846","165,994","217,971","233,723","241,596","281,521","250,604","221,698","247,770","294,811","354,045",Manufacture of transport equipment,29+30,4.4
5,,"कोक, पेट्रोलियम, रबर, रासायनिक और संबंधित उत्पादों का विनिर्माण","423,254","501,550","551,956","645,996","727,431","773,603","833,438","861,172","867,296","952,586","1,074,062","1,085,911","1,265,935","423,254","467,283","490,301","578,298","652,428","689,395","694,905","676,500","701,931","791,292","826,249","755,415","899,369","Manufacture of coke, petroleum, rubber, chemical and related products",,5
5.1,19,कोक और परिष्कृत पेट्रोलियम उत्पादों का विनिर्माण,"81,852","155,428","177,052","236,600","204,812","187,140","209,446","161,983","130,291","170,634","211,782","227,888","333,150","81,852","142,618","150,254","218,515","253,450","231,418","232,272","158,283","131,217","191,193","167,029","138,528","216,037",Manufacture of coke & refined petroleum products,19,5.1
5.2,20,"फार्मास्यूटिकल्स, औषधीय और वनस्पति उत्पादों को छोड़कर रसायन और रासायनिक उत्पादों का विनिर्माण","121,309","126,614","127,623","133,521","192,668","207,565","223,172","247,860","264,075","283,853","308,932","317,279","313,944","121,309","116,682","112,375","115,005","119,330","122,965","126,099","145,051","172,538","190,147","231,410","218,211","229,323","Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",20,5.2
5.3,21,"फार्मास्‍यूटिकल्‍स, औषधीय रसायनों तथा वनस्पति उत्पादों का विनिर्माण","89,780","85,196","100,555","112,675","144,319","157,237","165,019","190,831","202,381","223,911","256,098","234,838","276,906","89,780","81,284","93,090","98,406","110,119","131,359","136,154","154,519","158,980","171,055","188,446","166,670","193,776",Manufacture of pharmaceutical; medicinal chemicals and botanical products,21,5.3
5.4,22,रबर और प्लास्टिक उत्पादों का विनिर्माण,"44,701","44,100","61,300","64,546","79,816","91,116","90,302","102,101","113,705","119,339","131,283","138,990","152,273","44,701","42,386","55,495","57,733","73,767","84,759","83,924","93,158","104,797","107,223","105,195","107,162","119,430",Manufacture of rubber & plastic products,22,5.4
5.5,23,अन्य अधात्‍विक खनिज उत्पादों का विनिर्माण,"85,611","90,211","85,426","98,654","105,816","130,545","145,499","158,397","156,844","154,848","165,968","166,916","189,661","85,611","84,314","79,087","88,638","95,761","118,893","116,456","125,489","134,399","131,674","134,170","124,844","140,803",Manufacture of other non-metallic mineral products,23,5.5
6,,अन्‍य,"69,585","72,954","77,546","95,819","110,657","121,196","133,348","145,664","151,658","135,068","173,898","196,912","199,948","69,585","70,314","72,028","83,606","92,246","92,551","110,314","118,293","121,607","102,992","123,003","129,241","129,886",Others,,6
6.1,16,फर्नीचर को छोड़कर लकड़ी और लकड़ी के उत्पादों तथा कार्क का विनिर्माण; भूसे और प्‍लेटिंग सामग्री का विनिर्माण,"6,279","6,719","6,819","9,070","11,044","12,152","11,512","13,402","13,081","12,796","15,018","16,327","16,197","6,279","6,062","5,745","7,279","8,496","9,362","8,754","10,039","9,784","9,507","10,651","11,401","11,048","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",16,6.1
6.2,17,कागज और कागज उत्पादों का विनिर्माण,"18,583","17,366","22,958","23,527","27,273","31,507","38,285","45,508","44,968","41,137","49,123","58,952","55,757","18,583","16,772","20,836","20,638","24,200","27,735","32,199","36,909","37,133","33,802","35,726","38,784","39,742",Manufacture of paper and paper products,17,6.2
6.3,18,प्रकाशन को छोड़कर रिकार्डिड मीडिया का मुद्रण और पुनरूत्‍पादन,"17,837","17,943","14,592","21,826","25,190","24,909","27,069","27,661","27,341","19,115","22,246","29,762","31,579","17,837","16,255","12,301","17,295","18,509","17,653","18,837","18,868","18,155","12,428","14,098","17,253","17,322",Printing and reproduction of recorded media except publishing,18,6.3
6.4,31,फर्नीचर का विनिर्माण,"5,193","7,822","7,908","8,656","15,715","11,951","14,348","17,429","18,215","17,784","26,195","26,128","25,702","5,193","7,415","7,077","7,430","13,944","10,474","11,926","13,691","13,915","13,352","17,451","16,621","16,104",Manufacture of furniture,31,6.4
6.5,32,अन्य विनिर्माण,"17,702","20,213","21,613","28,846","27,976","36,271","37,412","37,462","42,521","40,198","55,655","59,934","63,927","17,702","21,020","22,616","27,368","23,931","23,242","34,260","35,011","37,729","30,361","40,359","40,578","40,409",Other manufacturing,32,6.5
6.6,33,मशीनरी और उपकरणों की मरम्मत और स्थापना,"3,991","2,890","3,655","3,894","3,459","4,405","4,722","4,202","5,531","4,038","5,661","5,809","6,786","3,991","2,791","3,454","3,595","3,168","4,083","4,336","3,775","4,890","3,542","4,718","4,603","5,260",Repair and installation of machinery and equipment,33,6.6
7,,"सकल मूल्य वर्धन, अप्रत्‍यक्ष अनुमानित वित्‍तीय अंतर्निहित सेवाओं के लिए असमायोजित","1,286,454","1,424,418","1,546,870","1,706,643","1,926,872","2,121,223","2,331,380","2,553,274","2,461,937","2,560,861","3,072,242","3,203,639","3,612,269","1,286,454","1,350,850","1,417,064","1,540,498","1,716,314","1,878,720","2,014,972","2,117,350","2,057,761","2,129,593","2,324,636","2,277,250","2,595,519",GVA unadjusted for FISIM,,7
8,,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,"56,014","62,127","72,362","74,820","76,733","79,184","82,500","94,193","98,218","104,048","112,221","138,170","156,937","56,014","61,931","70,956","71,598","72,776","74,789","73,415","77,472","76,249","79,768","79,882","88,285","97,746",FISIM,,8
9,,सकल मूल्‍य वर्धन,"1,230,439","1,362,291","1,474,509","1,631,823","1,850,139","2,042,040","2,248,880","2,459,081","2,363,718","2,456,813","2,960,021","3,065,469","3,455,332","1,230,439","1,288,919","1,346,108","1,468,900","1,643,539","1,803,931","1,941,557","2,039,878","1,981,512","2,049,824","2,244,755","2,188,965","2,497,773",GVA,,9
10,,स्‍थायी पूंजी अवक्षय,"217,175","234,408","250,737","271,336","291,329","310,476","331,275","357,901","381,945","399,986","440,142","537,945","561,311","217,175","226,334","235,406","244,151","261,192","278,340","291,222","304,372","318,970","329,544","342,666","358,214","373,911",CFC,,10
11,,निवल मूल्‍य वर्धन,"1,013,264","1,127,883","1,223,772","1,360,487","1,558,810","1,731,564","1,917,605","2,101,180","1,981,773","2,056,827","2,519,878","2,527,524","2,894,021","1,013,264","1,062,585","1,110,702","1,224,749","1,382,346","1,525,591","1,650,334","1,735,506","1,662,542","1,720,280","1,902,089","1,830,751","2,123,862",NVA,,11
