क्र. सं.,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  ,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,NIC Code Description,NIC 2008 Code,S.No.
5.2,20,"फार्मास्यूटिकल्स, औषधीय और वनस्पति उत्पादों को छोड़कर रसायन और रासायनिक उत्पादों का विनिर्माण","462,850","509,110","553,764","626,716","668,344","662,125","729,330","950,939","968,502","953,211","1,285,083","1,581,037","1,502,947","462,850","469,170","487,601","539,807","593,556","596,509","648,293","798,437","824,257","806,439","962,609","1,087,371","1,097,843","Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",20,5.2
5.3,21,"फार्मास्‍यूटिकल्‍स, औषधीय रसायनों तथा वनस्पति उत्पादों का विनिर्माण","190,144","204,098","230,764","257,134","300,519","318,143","325,755","399,906","436,614","503,296","606,488","580,430","657,637","190,144","194,724","213,633","224,571","253,175","265,783","268,775","323,811","342,981","384,489","446,275","411,945","460,208",Manufacture of pharmaceutical; medicinal chemicals and botanical products,21,5.3
5.4,22,रबर और प्लास्टिक उत्पादों का विनिर्माण,"188,862","207,363","230,261","265,020","282,471","312,114","327,914","412,633","423,511","438,265","588,509","647,203","684,156","188,862","199,304","208,456","237,048","261,064","290,339","304,753","376,490","390,333","393,769","471,562","499,000","536,593",Manufacture of rubber & plastic products,22,5.4
5.5,23,अन्य अधात्‍विक खनिज उत्पादों का विनिर्माण,"221,294","251,221","243,662","299,577","300,564","346,936","376,141","453,922","467,972","460,078","552,906","637,438","703,552","221,294","234,797","225,581","269,162","272,004","315,971","333,754","391,649","401,004","391,223","446,973","476,768","522,311",Manufacture of other non-metallic mineral products,23,5.5
6,,अन्‍य,"294,126","345,444","391,275","480,139","462,822","510,685","532,946","599,374","646,955","602,181","863,644","914,986","907,836","294,126","340,213","376,062","430,379","391,107","424,061","453,560","504,771","533,556","461,207","618,911","605,365","591,454",Others,,6
6.1,16,फर्नीचर को छोड़कर लकड़ी और लकड़ी के उत्पादों तथा कार्क का विनिर्माण; भूसे और प्‍लेटिंग सामग्री का विनिर्माण,"22,179","25,800","28,768","31,665","34,292","38,618","36,792","46,532","45,295","44,852","56,200","63,144","61,902","22,179","23,276","24,234","25,413","26,378","29,752","27,979","34,856","33,878","33,322","39,858","44,095","42,225","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",16,6.1
6.2,17,कागज और कागज उत्पादों का विनिर्माण,"77,753","79,435","94,607","107,874","110,218","121,377","134,725","169,419","173,732","168,381","226,417","273,210","250,237","77,753","76,720","85,863","94,626","97,798","106,846","113,310","137,404","143,462","138,358","164,667","179,743","178,358",Manufacture of paper and paper products,17,6.2
6.3,18,प्रकाशन को छोड़कर रिकार्डिड मीडिया का मुद्रण और पुनरूत्‍पादन,"48,401","50,294","46,135","64,146","60,529","62,837","67,625","68,478","73,909","50,969","63,211","86,066","90,252","48,401","45,561","38,892","50,829","44,474","44,534","47,060","46,711","49,076","33,140","40,057","49,893","49,507",Printing and reproduction of recorded media except publishing,18,6.3
6.4,31,फर्नीचर का विनिर्माण,"18,255","25,624","27,300","28,059","43,926","39,914","45,774","54,454","56,181","54,916","87,203","86,211","83,976","18,255","24,290","24,430","24,085","38,976","34,981","38,050","42,776","42,919","41,228","58,097","54,842","52,616",Manufacture of furniture,31,6.4
6.5,32,अन्य विनिर्माण,"120,969","157,868","186,174","238,831","204,900","239,025","236,431","248,730","280,662","271,861","393,946","391,877","405,182","120,969","164,164","194,807","226,595","175,278","199,687","216,512","232,458","249,035","205,333","285,675","265,320","256,120",Other manufacturing,32,6.5
6.6,33,मशीनरी और उपकरणों की मरम्मत और स्थापना,"6,569","6,423","8,292","9,564","8,957","8,915","11,597","11,760","17,176","11,203","36,668","14,478","16,289","6,569","6,202","7,836","8,831","8,203","8,262","10,650","10,566","15,187","9,827","30,556","11,472","12,627",Repair and installation of machinery and equipment,33,6.6
7,,उत्पादन का कुल मूल्य,"6,000,370","6,574,610","7,289,565","7,803,213","7,591,834","8,162,260","9,032,405","10,845,743","10,827,558","10,637,200","14,481,692","17,048,242","17,965,744","6,000,370","6,210,073","6,615,483","7,057,882","7,245,184","7,675,612","8,200,088","9,401,296","9,407,744","9,065,404","10,869,880","11,842,680","12,750,274",Total Value of Output,,7
