क्र. सं.,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  ,राष्ट्रीय औद्योगिक वर्गीकरण 2008 कोड  विवरण,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,NIC Code Description,NIC 2008 Code,S.No.
4.1.4,265+266+267,ऑप्टिकल और विद्युत उत्पाद जो अन्यत्र वर्गीकृत नहीं हैं का विनिर्माण,268,122,92,155,141,131,178,264,242,668,425,646,592,268,118,88,143,131,118,157,230,207,582,364,534,482,Manufacture of optical and electronics products n.e.c,265+266+267,4.1.4
4.2,27,विद्युतीय उपकरणों का विनिर्माण,"4,764","4,182","5,052","5,687","5,885","6,119","5,426","4,882","4,275","5,535","6,180","6,775","7,430","4,764","4,049","4,828","5,193","5,399","5,656","4,951","4,371","3,841","4,872","5,053","5,260","5,655",Manufacture of electrical equipment,27,4.2
4.3,28,मशीनरी और उपकरण जो अन्यत्र वर्गीकृत नहीं हैं का विनिर्माण,"5,376","4,444","5,153","5,577","6,080","6,987","8,050","9,950","8,813","8,711","10,853","14,326","15,612","5,376","4,292","4,869","5,150","5,567","6,476","7,392","8,940","7,793","7,641","9,044","11,352","12,102",Manufacture of machinery and equipment n.e.c,28,4.3
4.4,29+30,परिवहन उपकरणों का विनिर्माण,"3,100","3,033","3,240","4,889","4,196","3,612","4,358","4,696","5,005","4,583","5,315","5,899","6,728","3,100","2,961","3,056","4,489","3,832","3,291","3,941","4,173","4,338","3,822","4,254","4,536","5,095",Manufacture of transport equipment,29+30,4.4
5,,"कोक, पेट्रोलियम, रबर, रासायनिक और संबंधित उत्पादों का विनिर्माण","19,180","22,436","21,499","24,742","26,748","28,700","30,631","34,316","35,102","35,320","38,469","43,045","45,452","19,180","21,017","19,792","22,165","24,256","26,203","27,355","29,803","30,427","30,281","30,826","32,188","34,021","Manufacture of coke, petroleum, rubber, chemical and related products",,5
5.1,19,कोक और परिष्कृत पेट्रोलियम उत्पादों का विनिर्माण,264,80,149,140,88,122,95,131,139,112,273,205,200,264,73,126,129,108,151,106,128,140,126,215,125,130,Manufacture of coke & refined petroleum products,19,5.1
5.2,20,"फार्मास्यूटिकल्स, औषधीय और वनस्पति उत्पादों को छोड़कर रसायन और रासायनिक उत्पादों का विनिर्माण",995,"1,317",950,"1,067","1,222","1,029","1,423","2,173","1,673","1,604","2,271","2,256","2,092",995,"1,214",837,919,"1,085",927,"1,265","1,824","1,424","1,357","1,701","1,551","1,528","Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",20,5.2
5.3,21,"फार्मास्‍यूटिकल्‍स, औषधीय रसायनों तथा वनस्पति उत्पादों का विनिर्माण",764,413,708,625,567,667,585,606,726,851,"1,133","1,135","1,244",764,394,656,546,478,557,483,491,570,650,834,805,870,Manufacture of pharmaceutical; medicinal chemicals and botanical products,21,5.3
5.4,22,रबर और प्लास्टिक उत्पादों का विनिर्माण,"2,673","2,185","2,827","3,220","3,985","4,359","4,479","5,284","6,008","6,176","7,042","8,699","8,925","2,673","2,101","2,559","2,880","3,683","4,055","4,163","4,821","5,537","5,549","5,643","6,707","7,000",Manufacture of rubber & plastic products,22,5.4
5.5,23,अन्य अधात्‍विक खनिज उत्पादों का विनिर्माण,"14,484","18,440","16,865","19,691","20,887","22,523","24,049","26,122","26,557","26,576","27,749","30,750","32,991","14,484","17,235","15,614","17,691","18,902","20,513","21,339","22,538","22,757","22,598","22,433","22,999","24,493",Manufacture of other non-metallic mineral products,23,5.5
6,,अन्‍य,"37,104","42,793","42,834","50,005","87,548","69,975","76,816","92,577","87,588","93,809","129,750","128,454","123,533","37,104","39,859","37,739","41,747","74,217","57,920","61,781","71,791","66,788","70,282","88,383","84,387","79,767",Others,,6
6.1,16,फर्नीचर को छोड़कर लकड़ी और लकड़ी के उत्पादों तथा कार्क का विनिर्माण; भूसे और प्‍लेटिंग सामग्री का विनिर्माण,"16,448","18,004","16,106","23,069","25,751","28,244","28,399","33,934","28,707","34,737","34,823","40,552","39,055","16,448","16,242","13,568","18,514","19,808","21,759","21,596","25,419","21,471","25,808","24,697","28,319","26,641","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",16,6.1
6.2,17,कागज और कागज उत्पादों का विनिर्माण,"1,671","1,357","1,519","1,654","1,978","1,884","2,137","3,335","2,732","3,188","4,142","4,406","3,919","1,671","1,311","1,379","1,451","1,755","1,658","1,798","2,705","2,256","2,620","3,012","2,899","2,793",Manufacture of paper and paper products,17,6.2
6.3,18,प्रकाशन को छोड़कर रिकार्डिड मीडिया का मुद्रण और पुनरूत्‍पादन,"2,201","1,844","1,386","2,053","2,036","1,755","2,570","2,036","1,864","1,446","2,313","2,683","2,795","2,201","1,671","1,168","1,626","1,496","1,244","1,789","1,389","1,238",940,"1,466","1,555","1,533",Printing and reproduction of recorded media except publishing,18,6.3
6.4,31,फर्नीचर का विनिर्माण,"14,787","19,486","21,579","20,790","53,615","34,501","40,588","50,232","51,419","51,724","84,618","76,712","73,610","14,787","18,472","19,310","17,846","47,573","30,237","33,739","39,460","39,281","38,832","56,375","48,799","46,121",Manufacture of furniture,31,6.4
6.5,32,अन्य विनिर्माण,"1,716","1,813","1,904","2,273","3,853","3,358","2,591","2,428","2,564","2,445","3,494","3,762","3,784","1,716","1,885","1,992","2,156","3,296","2,806","2,372","2,269","2,275","1,846","2,533","2,547","2,392",Other manufacturing,32,6.5
6.6,33,मशीनरी और उपकरणों की मरम्मत और स्थापना,281,288,340,166,315,233,530,612,301,269,360,340,370,281,278,321,153,289,216,487,549,266,236,300,269,287,Repair and installation of machinery and equipment,33,6.6
7,,"सकल मूल्य वर्धन, अप्रत्‍यक्ष अनुमानित वित्‍तीय अंतर्निहित सेवाओं के लिए असमायोजित","187,909","220,358","250,923","258,088","308,581","303,236","329,638","367,289","355,886","361,657","449,257","490,871","487,762","187,909","207,678","226,164","225,742","272,082","261,465","278,215","300,326","289,145","290,423","327,727","340,813","341,207",GVA unadjusted for FISIM,,7
8,,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,"8,363","9,812","11,980","11,542","12,531","11,554","11,895","13,810","14,504","14,976","16,672","21,474","21,499","8,363","9,724","11,563","10,704","11,771","10,632","10,344","11,212","10,952","11,088","11,449","13,415","13,045",FISIM,,8
9,,सकल मूल्‍य वर्धन,"179,546","210,546","238,943","246,546","296,050","291,682","317,743","353,479","341,383","346,681","432,584","469,397","466,264","179,546","197,954","214,601","215,038","260,311","250,834","267,871","289,114","278,193","279,336","316,278","327,398","328,162",GVA,,9
10,,स्‍थायी पूंजी अवक्षय,"45,883","49,303","51,057","52,377","52,166","54,706","60,737","68,718","74,390","80,424","95,764","117,507","124,244","45,883","46,637","46,471","46,629","47,251","49,103","52,408","56,787","60,906","64,530","70,074","74,469","78,819",CFC,,10
11,,निवल मूल्य वर्धन,"133,664","161,243","187,886","194,169","243,884","236,976","257,006","284,761","266,992","266,257","336,821","351,890","342,020","133,664","151,318","168,130","168,409","213,060","201,731","215,463","232,327","217,287","214,806","246,205","252,929","249,343",NVA,,11
