क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Item,Sl.No.
5.1,उत्पादन का मूल्य,"130,664","145,983","160,502","184,702","192,006","225,205","212,270","246,859","233,273","207,671","309,536","387,428","426,209","130,664","129,339","133,902","146,486","161,762","177,273","169,377","179,087","178,817","124,480","126,922","187,326","201,298",value of output,5.1
5.2,लागत,"66,105","72,844","83,671","91,781","102,480","121,373","113,233","141,840","128,052","112,653","181,725","232,978","239,539","66,105","61,781","62,600","69,742","79,290","89,105","83,668","88,530","86,015","41,527","41,044","90,404","99,288",input,5.2
5.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,957,"1,085","1,112","1,239","1,280","1,364","1,435","1,677","1,640","1,946","1,821","2,522","3,233",957,"1,077","1,129","1,148","1,316","1,334","1,358","1,497","1,446","1,715","1,347","1,647","1,891",FISIM,5.3
5.4,सकल मूल्य वर्धन,"63,602","72,054","75,719","91,681","88,246","102,468","97,602","103,341","103,582","93,072","125,990","151,928","183,437","63,602","66,481","70,173","75,596","81,156","86,835","84,351","89,061","91,356","81,238","84,531","95,275","100,119",Gross Value Added,5.4
5.5,स्‍थायी पूंजी अवक्षय,"8,951","10,034","10,241","10,817","11,666","13,395","14,606","16,119","17,536","18,749","21,578","24,599","26,809","8,951","9,766","9,630","9,515","10,330","11,677","12,420","13,189","14,071","14,770","16,024","17,466","18,813",CFC,5.5
5.6,निवल मूल्य वर्धन,"54,651","62,020","65,478","80,864","76,580","89,073","82,996","87,223","86,046","74,323","104,412","127,329","156,627","54,651","56,715","60,543","66,081","70,826","75,158","71,930","75,871","77,285","66,468","68,507","77,809","81,305",Net Value Added,5.6
6,कुल - परिवहन सेवाएं,,,,,,,,,,,,,,,,,,,,,,,,,,,Total transport services,6
6.1,उत्पादन का मूल्य,"891,973","1,016,408","1,148,200","1,266,200","1,344,583","1,476,916","1,627,915","1,803,702","1,883,417","1,464,514","2,196,833","2,522,025","2,705,311","891,973","944,080","999,183","1,076,876","1,160,532","1,225,633","1,323,550","1,395,823","1,409,814","995,001","1,266,929","1,457,617","1,537,364",value of output,6.1
6.2,लागत,"488,064","549,852","635,493","685,350","720,467","794,491","885,110","1,003,684","1,032,489","776,141","1,215,188","1,424,496","1,496,155","488,064","508,564","536,380","579,996","629,164","671,493","726,621","767,026","773,247","505,747","648,965","789,907","836,804",input,6.2
6.3,अप्रत्‍यक्ष अनुमानित वित्तीय अंतर्निहित सेवाएं,"5,412","6,237","6,630","6,935","7,875","7,521","9,020","10,740","11,084","11,354","11,856","15,200","17,766","5,412","6,212","6,487","6,609","7,458","7,080","8,004","8,819","8,575","8,667","8,401","9,683","11,032",FISIM,6.3
6.4,सकल मूल्य वर्धन,"398,496","460,319","506,076","573,915","616,241","674,904","733,784","789,279","839,844","677,019","969,789","1,082,329","1,191,389","398,496","429,304","456,316","490,271","523,910","547,060","588,925","619,978","627,993","480,587","609,564","658,027","689,527",Gross Value Added,6.4
6.5,स्‍थायी पूंजी अवक्षय,"61,903","72,612","76,174","84,804","91,847","105,088","122,716","144,303","165,720","173,393","193,394","222,560","246,624","61,903","70,806","72,526","77,065","83,672","94,118","107,129","122,916","135,807","135,335","143,396","151,420","166,588",CFC,6.5
