Sector_Index,Sector_Code,Sector_Name,Broad_Category,Water_2015_Blue_m3_per_EUR_million,Water_2015_Blue_m3_per_crore,Water_2015_Green_m3_per_EUR_million,Water_2015_Green_m3_per_crore,Water_2015_Total_m3_per_crore
115,IN.115,Road transport,Services,0.0,0.0,0.0,0.0,0.0
116,IN.116,Pipeline transport,Services,0.0,0.0,0.0,0.0,0.0
117,IN.117,Sea/coastal transport,Services,0.0,0.0,0.0,0.0,0.0
118,IN.118,Inland water transport,Services,0.0,0.0,0.0,0.0,0.0
119,IN.119,Air transport,Services,0.0,0.0,0.0,0.0,0.0
120,IN.120,Transport support/travel agencies,Services,0.0,0.0,0.0,0.0,0.0
121,IN.121,Post and telecom,Services,0.0,0.0,0.0,0.0,0.0
122,IN.122,Financial services,Services,0.0,0.0,0.0,0.0,0.0
123,IN.123,Insurance,Services,0.0,0.0,0.0,0.0,0.0
124,IN.124,Financial auxiliaries,Services,0.0,0.0,0.0,0.0,0.0
125,IN.125,Real estate,Services,0.0,0.0,0.0,0.0,0.0
126,IN.126,Machinery rental,Services,0.0,0.0,0.0,0.0,0.0
127,IN.127,Computer services,Services,0.0,0.0,0.0,0.0,0.0
128,IN.128,R&D services,Services,0.0,0.0,0.0,0.0,0.0
129,IN.129,Business services,Services,0.0,0.0,0.0,0.0,0.0
130,IN.130,Public administration,Services,0.0,0.0,0.0,0.0,0.0
131,IN.131,Education,Services,0.0,0.0,0.0,0.0,0.0
132,IN.132,Health and social work,Services,0.0,0.0,0.0,0.0,0.0
133,IN.133,Sewage/refuse,Services,0.0,0.0,0.0,0.0,0.0
134,IN.134,Membership organizations,Services,0.0,0.0,0.0,0.0,0.0
135,IN.135,Recreational/cultural,Services,0.0,0.0,0.0,0.0,0.0
136,IN.136,Other services,Services,0.0,0.0,0.0,0.0,0.0
137,IN.137,Private households,Services,0.0,0.0,0.0,0.0,0.0
138,IN.138,Sector 138,Other,0.0,0.0,0.0,0.0,0.0
139,IN.139,Sector 139,Other,0.0,0.0,0.0,0.0,0.0
140,IN.140,Sector 140,Other,0.0,0.0,0.0,0.0,0.0
141,IN.141,Sector 141,Other,0.0,0.0,0.0,0.0,0.0
142,IN.142,Sector 142,Other,0.0,0.0,0.0,0.0,0.0
143,IN.143,Sector 143,Other,0.0,0.0,0.0,0.0,0.0
144,IN.144,Sector 144,Other,0.0,0.0,0.0,0.0,0.0
145,IN.145,Sector 145,Other,0.0,0.0,0.0,0.0,0.0
146,IN.146,Sector 146,Other,0.0,0.0,0.0,0.0,0.0
147,IN.147,Sector 147,Other,0.0,0.0,0.0,0.0,0.0
148,IN.148,Sector 148,Other,0.0,0.0,0.0,0.0,0.0
149,IN.149,Sector 149,Other,0.0,0.0,0.0,0.0,0.0
150,IN.150,Sector 150,Other,0.0,0.0,0.0,0.0,0.0
151,IN.151,Sector 151,Other,0.0,0.0,0.0,0.0,0.0
152,IN.152,Sector 152,Other,0.0,0.0,0.0,0.0,0.0
153,IN.153,Sector 153,Other,0.0,0.0,0.0,0.0,0.0
154,IN.154,Sector 154,Other,0.0,0.0,0.0,0.0,0.0
155,IN.155,Sector 155,Other,0.0,0.0,0.0,0.0,0.0
156,IN.156,Sector 156,Other,0.0,0.0,0.0,0.0,0.0
157,IN.157,Sector 157,Other,0.0,0.0,0.0,0.0,0.0
158,IN.158,Sector 158,Other,0.0,0.0,0.0,0.0,0.0
159,IN.159,Sector 159,Other,0.0,0.0,0.0,0.0,0.0
160,IN.160,Sector 160,Other,0.0,0.0,0.0,0.0,0.0
161,IN.161,Sector 161,Other,0.0,0.0,0.0,0.0,0.0
162,IN.162,Sector 162,Other,0.0,0.0,0.0,0.0,0.0
