Sector_Code,Sector_Index,Sector_Name,Broad_Category,Water_2015_Blue_m3_per_crore,Water_2015_Green_m3_per_crore,Rank,Pct_of_Total,Cumulative_Pct
IN.28,28,IN.28,Other,0.0,0.0,66,0.0,100.01
IN.65,65,IN.65,Other,0.0,0.0,66,0.0,100.01
IN.29,29,IN.29,Other,0.0,0.0,66,0.0,100.01
IN.30,30,IN.30,Other,0.0,0.0,66,0.0,100.01
IN.31,31,IN.31,Other,0.0,0.0,66,0.0,100.01
IN.32,32,IN.32,Other,0.0,0.0,66,0.0,100.01
IN.33,33,IN.33,Other,0.0,0.0,66,0.0,100.01
IN.59,59,IN.59,Other,0.0,0.0,66,0.0,100.01
IN.57,57,IN.57,Other,0.0,0.0,66,0.0,100.01
IN.52,52,IN.52,Other,0.0,0.0,66,0.0,100.01
IN.21,21,IN.21,Other,0.0,0.0,66,0.0,100.01
IN.20,20,IN.20,Other,0.0,0.0,66,0.0,100.01
IN.112,112,IN.112,Other,0.0,0.0,66,0.0,100.01
IN.19,19,IN.19,Agriculture,0.0,0.0,66,0.0,100.01
IN.111,111,IN.111,Other,0.0,0.0,66,0.0,100.01
IN.110,110,IN.110,Other,0.0,0.0,66,0.0,100.01
IN.109,109,IN.109,Other,0.0,0.0,66,0.0,100.01
IN.108,108,IN.108,Other,0.0,0.0,66,0.0,100.01
IN.107,107,IN.107,Other,0.0,0.0,66,0.0,100.01
IN.50,50,IN.50,Other,0.0,0.0,66,0.0,100.01
IN.105,105,IN.105,Other,0.0,0.0,66,0.0,100.01
IN.104,104,IN.104,Other,0.0,0.0,66,0.0,100.01
IN.103,103,IN.103,Other,0.0,0.0,66,0.0,100.01
IN.102,102,IN.102,Other,0.0,0.0,66,0.0,100.01
IN.99,99,IN.99,Other,0.0,0.0,66,0.0,100.01
IN.98,98,IN.98,Other,0.0,0.0,66,0.0,100.01
IN.12,12,IN.12,Agriculture,0.0,0.0,66,0.0,100.01
IN.13,13,IN.13,Agriculture,0.0,0.0,66,0.0,100.01
IN.14,14,IN.14,Agriculture,0.0,0.0,66,0.0,100.01
IN.94,94,IN.94,Other,0.0,0.0,66,0.0,100.01
IN.93,93,IN.93,Other,0.0,0.0,66,0.0,100.01
IN.15,15,IN.15,Agriculture,0.0,0.0,66,0.0,100.01
IN.16,16,IN.16,Agriculture,0.0,0.0,66,0.0,100.01
IN.17,17,IN.17,Agriculture,0.0,0.0,66,0.0,100.01
IN.18,18,IN.18,Agriculture,0.0,0.0,66,0.0,100.01
IN.162,162,IN.162,Other,0.0,0.0,66,0.0,100.01
