,Paddy,Wheat,Coarse cereals,Gram,Arhar,Other pulses,Groundnut,Rapeseed and mustard,Other oil seeds,kapas,"jute, hemp and mesta",Sugarcane,Coconut,Tobacco,Tea,Coffee,Rubber,Fruits,Vegetables,Other food crops,Milk,Wool,Egg and poultry,Other livestock products,Industry Wood,Firewood,Other forestry products,Inland Fish,Marine Fish,Coal and Lignite,Natural Gas,Crude petroleum,Iron ore,Manganese ore,Bauxite,Copper ore,Other Metallic minerals,Limestone,Mica,Other non metallic minerals,Processed poultry meat & poultry meat products,Processed other meat & meat products,Processed fish & fish products,Processed fruits & Processed Vegetables,Dairy products,Edible Oils and Fats,"Grain Mill products, starch and starch products",Sugar,Bread & Bakery products,Miscellaneous food products,Alcoholic beverages,Non alcoholic beverages,Tea processed,Coffee processed,Tobacco Products,Cotton Yarn and Cotton Textiles,Synthetic yarn and synthetic textiles,Wool yarn and woolen textiles,Silk yarn and silk textiles,Carpet weaving,Ready made garments,Misc. textile products,Leather footwear,Leather and leather products except footwear,Wood and wood products except furniture,"Paper, Paper products and newsprint","Publishing, printing and allied activities",Furniture & Fixtures,Rubber products,Plastic products,Petroleum products,Coal tar products,Inorganic chemicals,Organic chemicals,Fertilizers,Pesticides,"Paints, varnishes and lacquers",Drugs and medicine,"Soaps, cosmetics and glycerin","Synthetic fibres, resin",Other chemicals and chemical products,Cement,Non metallic mineral products,Iron and steel Ferro alloys,Iron and steel casting and forging,Iron and steel foundries,Non ferrous basic metals (including alloys),"Hand tools, hardware",Miscellaneous metal products,Tractors and other agricultural implements,Industrial machinery for food and textile industry,Industrial machinery (except food and textile),Machine tools,Other non electrical machinery,Electrical industrial machinery,"Electrical cables, wires",Batteries,Electrical appliances,Communication equipment,Other electrical machinery,Electronic equipment including T.V,"Medical precision, optical instrument",Watches and clocks,Ships and boats,Rail equipment,Motor vehicles,Motor cycles and scooters,"Bicycles, cycle-rickshaw",Aircrafts & Spacecrafts,Other transport equipment,Gems & jewellery,Miscellaneous manufacturing,Construction and construction services,Electricity,Gas,Water Supply,Trade,Repair & Maintenance of Motor Vehicle,Hotels & Restaurant,Railway Transport,Land transport,Air transport,Water Transport,Supportive and Auxiliary transport activities,Storage and warehousing,Communication services,Financial services,Insurance services,Ownership of dwellings,Real estate services,Renting of machinery & equipment,Research & Development Services,Legal services,Other Business services,Computer related services,Public administration and defence,Education services,Human health and social care services,"Community, social and personal services","Recreation, entertainment and radio & TV broadcasting and other services"
Mica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009013032357598149,0.0003965623381778541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.041601412805852e-07,0.0,0.0,0.0,0.0,6.947246551330005e-08,0.0,0.0,0.0,0.0,0.0,0.00012473437052477974,0.0,0.0,0.0,0.0,3.9751193137892944e-06,1.437953282703607e-06,4.134526465792995e-06,4.08313257931485e-06,3.5089566117514957e-06,0.00015816012699805909,8.787303995994858e-06,2.9723428949121773e-06,2.1130068940880344e-06,0.0008564858872730827,0.0008295736788478641,0.0,0.0,0.0,0.0,7.656118753025728e-06,2.171006084038494e-06,0.0,0.0,0.0,0.0,2.3679108117745267e-08,0.0,2.7890631452051603e-05,3.9117848938393485e-05,2.1942294422420676e-05,1.8961883831374976e-05,2.4154151863058962e-05,9.982081935047795e-07,7.3006356022779905e-06,5.23322647927445e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4443113912735547e-05,5.7492764699359094e-08,1.5114961383288562e-07,0.0,0.0,3.1905567094046175e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.137013334033636e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other non metallic minerals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.013769303228078e-07,0.0,0.00017842360392313284,0.0,0.0,0.0,0.0,0.0,0.0,0.14695302667370386,0.06476215510823582,0.00016664839381646748,0.00015761389159067672,0.00015054811398869305,0.0001741341425949733,1.4790789189695736e-05,0.00011013343535167345,9.307920181931271e-05,0.0023799391618201018,0.0029198742670771822,0.0020448716003579575,0.0014092376458902408,0.0018787151383370337,0.003061141745053519,0.003348379276020775,0.0,0.0007326180206870735,0.010632490806507596,0.0010689495966006463,0.0010781032958706908,0.0010588835367640332,0.0003561482755360009,0.002143832937676207,0.0017372755560931092,0.0027069859082537373,0.0011636137449353996,0.00402146333028848,0.0011740939916399466,0.012658051286603321,0.003423297485345745,0.003004866349679992,0.0,0.0010970726114097546,0.07670655235842076,0.02774957840919206,0.07978257903491884,0.07879084833884556,0.0677111660847647,0.0008568102875584844,0.06517591446135601,0.0576692947824318,0.04077398969958544,0.13964578007088513,0.13525787783593374,0.014626696709660022,0.013902371570600829,0.014077176651674883,0.05994054197845128,0.0017548542357583524,0.022672185281176403,0.001429013724449679,0.001364057827463958,0.00107383510505589,0.0011063216865737989,0.00161587644547552,0.0010621206154008173,0.004592795417383713,0.006294562183690291,0.0038283723874895917,0.0012027382320726281,0.0034711631315848283,3.698654461905178e-05,0.029948203754809916,7.225012225310756e-05,0.0008803685933730776,0.0009239462989734201,0.0005084920861726377,0.0008127500975729009,0.0009215099633705868,0.0008431215518775583,0.0009727033223048111,0.03844046636547379,0.017362003392954156,0.006199647226846309,0.0021287105601191926,1.1895918515246804e-06,1.4897535363382606e-05,0.002374735511418199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012053830417082581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Processed poultry meat & poultry meat products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7066163236030477e-06,2.459615259824106e-05,0.0007696524503892117,0.0007279273151095727,0.0006952945790793586,0.000666222412193675,0.0,0.0005086425764268077,3.094838477546857e-05,0.000532377855182716,0.00065315804061182,0.0004599639276369035,0.0,2.1306332247146867e-05,0.0006847587126536202,0.0007490119940473257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5720296915107587e-06,2.491212248792385e-06,0.0,0.0,0.0,0.0,1.015506324245415e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3546640180159835e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5927417769926365e-05,4.584651709505257e-08,9.899425298491442e-07,0.0,2.4655310722406124e-06,9.120306622189926e-06,0.0,2.039274018449432e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2915731113926053e-06,0.0,0.0,0.0,0.0,2.0175417072219814e-05,0.0,0.0,0.0,0.0
Processed other meat & meat products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002422483263586912,0.0007442047568763514,0.0004858086964133313,0.00038937190102938,0.0,0.0,0.0,0.0,0.0,1.8544663049602002e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3876055495258657e-06,0.002681723495230786,0.002536339334413127,0.002422636097475942,0.0023506462139671197,6.622618466881519e-07,0.001772278834672324,0.0005674668429854462,7.70546895659194e-05,9.453603219381606e-05,0.00016877960460793357,0.0004345666749441271,0.0006521551580276774,9.910981367355029e-05,0.0001084096307173761,0.0,0.0,1.5124804238417557e-06,0.0,0.0,0.0,0.0,2.0841739653990016e-07,0.0,0.0,9.92589210091833e-07,7.718360342237296e-07,1.9645856594310893e-06,2.3154812806761206e-05,0.0,0.0,0.0,0.0,1.1925357941367884e-05,4.891508057370124e-06,1.2403579397378985e-05,1.2249397737944552e-05,1.0526869835254488e-05,4.498818775970026e-05,1.1666705277810808e-05,8.917028684736531e-06,6.339020682264104e-06,0.0,0.0,0.0,0.0,0.0,3.866081102760173e-07,1.916601162946733e-07,2.2550117167819422e-05,0.0,0.0,0.0,0.0,6.806205979428534e-07,1.0897673867996736e-07,0.0,0.0,3.288805257237867e-07,2.3421027446596944e-06,2.9773851893058846e-08,0.0,6.019574995907543e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.080738858610056e-07,7.44156465432877e-05,6.826387187334169e-05,1.7325190545539132e-07,8.093565910536826e-07,3.66834491659593e-07,9.054852454839132e-07,3.5981968971700084e-05,0.0,0.0006453702481916438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.977408148512608e-06,0.0,0.0,0.0,0.0,0.00014613545338797054,0.0,0.0,0.0,0.0
Processed fish & fish products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.298475157029143e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.699103521649695e-07,0.018699703979826773,0.017685937730069618,0.016893083106520716,0.01634078764469699,1.8921767048232912e-08,0.012358130745777253,0.004055938310611986,1.7512429446799866e-05,2.148546186223092e-05,0.0007514336703875286,1.2416190712689347e-05,0.0005341768714088605,2.2524957653079612e-05,2.4638552435767294e-05,0.0,0.0,1.6805338042686173e-07,0.0,0.0,0.0,0.0,2.315748850443335e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3250397712630981e-06,4.958219954514682e-07,1.3781754885976652e-06,1.3610441931049502e-06,1.1696522039171653e-06,0.0003023649486727601,1.147035866173827e-05,9.907809649707257e-07,7.043356313626783e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.3404813297546545e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.071458217243124e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003957657874256736,9.492057542466781e-07,4.547304807329258e-06,1.0480985475988373e-08,2.0102846165494077e-06,0.0002448295438621667,0.0,0.0013639144464570613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6191106571485984e-05,0.0,0.0,0.0,0.0,0.0011794439764111204,0.0,0.0,0.0,0.0
Processed fruits & Processed Vegetables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6670093706546013e-05,5.154725087597401e-06,5.0479524069386e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006715511044621162,0.009123999561451596,0.008629360564589551,0.008242509240880944,0.008502059843668067,0.001543798883145422,0.006029805585504121,0.0006645238259197688,0.015248072319328643,0.018707391643444465,0.013121601684440444,0.03240004966476285,0.0433404097180809,0.01961248062853642,0.021452787605822584,0.009442989524576954,0.0,1.3780377195002661e-05,0.0,0.0,0.0,0.0,1.8989140573635347e-06,0.0,0.0,4.9883970558461355e-05,3.9081708147514675e-05,0.0,0.0,0.0,0.0,3.479769778431459e-06,4.781728885079252e-06,0.0001087509156526827,8.500880117743277e-05,0.00011301039006500854,0.00011160562383460591,9.591148072120755e-05,7.908006349902954e-05,9.498493461827968e-05,8.124403912759951e-05,6.0292486710387845e-05,0.0,0.0,0.0,1.160880378739255e-08,3.168844196800174e-10,0.0,7.111244492126123e-06,3.314905429846859e-06,6.571364082449823e-06,6.234778520883698e-06,5.14681121553323e-06,1.1306683843357495e-05,1.8883050840916172e-05,1.4547781481414502e-05,6.645999890295162e-06,4.0409360025938086e-07,7.0113199492723604e-06,0.0,2.7225362857432972e-06,1.7738217393926125e-06,1.793090156686218e-05,0.0,4.7618881699599186e-05,4.997598714763882e-05,2.7504189357622887e-05,4.396141688718857e-05,4.984420646199744e-05,4.560420003559352e-05,4.9810084484533504e-05,0.0,0.00042817482819480795,1.3266826160647844e-06,3.296234295602392e-05,2.7350131599591658e-05,9.050803463718501e-05,0.0001397304977753279,0.0,1.1995729520290776e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5935062496154506e-05,0.0,0.0,0.0,0.0,0.00013468454099562957,0.0,0.0,0.0,0.0
Dairy products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007348794311414634,0.00019515404012717904,0.0001845741625206609,0.00017629976506570633,0.00020219628884209494,0.0718536559564321,0.00012897204929340707,0.0006875004387504433,0.01671561390697047,0.020507873347499414,0.014367226599607942,0.0,5.40246031337912e-06,0.02150007207986449,0.023517498299939883,8.393768466290626e-06,0.0,1.1763736629880322e-06,0.0,0.0,0.0,1.248683425574522e-06,2.0913024798902517e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.275278398841686e-06,3.355224326308416e-06,9.647228420183656e-06,9.52730935173465e-06,8.187565427420157e-06,0.0001302495163513428,1.2333811008584535e-05,6.93546675479508e-06,4.9303494195387475e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.1884894292508176e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2500207520701866e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004677713411571172,4.750293246934646e-06,0.00023904574987725872,0.0,7.494693842814447e-05,0.0002584423257965835,0.0,0.0008996797140218083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64274052243685e-05,0.0,0.0,0.0,0.0,0.0006036266675391171,0.0,0.0,0.0,0.0
Edible Oils and Fats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008486329883295231,0.02607063240642966,0.017018622666695845,0.013640294028403102,0.0,0.0,0.0,0.0,0.0,0.0004151835265046559,0.0007525898627892206,0.0007370010514130354,0.0,0.0,0.0,0.0,0.0,0.0,5.4132326472060955e-06,0.0011769517040473817,0.3869115228593356,0.36593590506666446,0.3495311218607747,0.3345578233423581,0.0036892766061526762,0.2556994052794491,0.008354458749343327,0.022764407037895146,0.027928951874713975,0.0212729077315554,0.0,0.010710893536584934,0.029280192453238187,0.03202765431125391,8.393768466290626e-06,5.1487064411390227e-05,0.0008775736632981653,7.512383694997222e-05,7.576714231594898e-05,7.441641253978564e-05,2.5029454210436373e-05,0.00016862553983731834,5.497707455990852e-06,8.566411102068788e-06,7.819114432774697e-07,1.1195888329177633e-05,7.556098690119574e-08,8.905697233369694e-07,0.000177386644638952,0.00015570459816593928,0.000508046387650993,0.0006981324172215707,0.006432750195728311,0.0027068091635992875,0.006675882066767089,0.0065928980714003785,0.005665795275774748,0.0006124888480909899,0.0054721872215561605,0.004821338992229281,0.0037821986793634553,5.144059383021517e-06,4.98242449758477e-06,0.0,0.0,0.0,1.4869542702923743e-08,4.34909791125745e-06,8.673121987622854e-07,0.0,0.0,0.0,0.0,2.6177715305494363e-08,4.191413026152591e-09,0.0,0.0,2.9534534455605797e-06,9.008087479460362e-08,1.1451481497330326e-09,0.0,2.342314432632451e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.156687917730985e-09,2.8621402516649116e-06,0.00495389266573465,1.547837475547283e-05,0.0001194751361758987,0.0,0.0001418500315436597,0.004550236991455468,0.0,0.0029125631275266003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004397511839954632,0.0,0.0,0.0,0.0,0.00023937859715417563,0.0,0.0,0.0,0.0
"Grain Mill products, starch and starch products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004121495174129625,0.012661537687936843,0.008265312821410596,0.006624584099945804,0.0,0.0,0.0,0.06373240701307897,0.0649246788002969,2.8418371504725808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007091334767839985,0.0033367568083661247,0.005218726016884114,0.004935803447181719,0.004714533043330124,0.00998697196390365,0.0018614159708204023,0.0034489154754866157,0.0909049783398676,0.06880108156764264,0.08440993401814662,0.07471872236529618,0.06659423888750932,0.08870610034892265,0.08849380113165388,0.09679748095439897,8.393768466290626e-06,0.00010726471752372964,0.00027216018024524714,0.00015650799364577545,0.00015784821315822706,0.0001550341927912201,5.5890746548466e-05,0.00013701366709156914,0.0,0.0,0.0003405929893900497,0.0018480163805948233,2.5186995633731914e-08,0.000272039592360573,2.3828056742545788e-05,2.091554303721572e-05,0.0,4.223214618110084e-06,0.0011024330896908976,0.0004873128390801511,0.0011466420065132574,0.0011323887686633186,0.0009731506336590815,0.002843792194260524,0.0010335935417570981,0.0008701547585037392,0.0005860072452937484,0.0006738717791758188,0.0006526976091836049,5.630591696161418e-05,5.365839022281038e-05,5.4194365664725783e-05,4.956514234307914e-09,1.5360075982427986e-05,3.979325242161979e-06,8.16641901583648e-05,7.79800847466828e-05,6.113680201724457e-05,5.637348078425733e-05,5.9466927948649605e-05,4.680433325507461e-05,3.2419511659976404e-07,1.9711882939481995e-08,8.488787093786458e-07,3.002695826486787e-08,1.331883641349499e-07,8.65278897264689e-08,3.781594779033026e-05,0.0004021645683212389,2.322872278029229e-06,2.4378530315921374e-06,1.3416677735425798e-06,2.144459360350662e-06,2.4314247054632896e-06,2.224595123687489e-06,2.431145781396976e-06,9.540467505549703e-07,0.00605450710967461,1.532817711376767e-05,0.00015983801560188256,5.6214765600463635e-05,0.00035379617481062656,0.0009264654320793577,0.0,0.00014634790014754747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033039814419219825,0.0,0.0,0.0,0.0,0.0028763601366475545,0.0,0.0,0.0,0.0
Sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021605931810369755,0.006637501885653945,0.004332888373416198,0.0034727764145863625,0.0,0.0,0.0,0.0,0.0,1.5543076873144992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7066163236030477e-06,0.002743919516444913,0.002918539633812082,0.002760316969831457,0.0026365728910388215,0.0033290960349226214,0.0028268895672709004,0.0019287842428036494,0.0029964262400951126,0.06238627866127985,0.07653980933801144,0.05369997819178009,0.0364228954556742,0.048518482507406355,0.0802429091433308,0.08777237919717741,0.00014269406392694063,0.0,0.0003051849388551809,0.0,0.0,0.0,1.248683425574522e-06,4.210102695250896e-05,0.0,0.0,1.1156024027955217e-06,1.6749303491792002e-05,0.0,0.0,0.0,0.0,0.0,2.7413849275451425e-06,0.0024062722246137864,0.0009188562258497882,0.00250276668729336,0.0024716562546785894,0.002124088402313572,0.0004078050333381328,0.0020576017959912218,0.001799258232386838,0.0012790735065546237,2.5720296915107587e-06,2.491212248792385e-06,3.654945486981973e-05,3.47716188831904e-05,3.51771809864689e-05,0.0,1.252104265628613e-05,9.823623488773378e-07,2.094298889643504e-05,1.9997712042559126e-05,1.56813985148234e-05,1.4537874244957018e-05,1.540318295037213e-05,1.2131326332660616e-05,1.6209755829988202e-07,9.855941469740997e-09,1.2723703242486919e-06,0.0,6.640332404251945e-08,4.326394486323445e-08,4.528424397014665e-06,5.0270571040154864e-05,1.1614361390146144e-06,1.2189265157960687e-06,6.708338867712899e-07,1.072229680175331e-06,1.2157123527316448e-06,1.1122975618437444e-06,1.214880109378866e-06,0.0,0.0013211512862877927,5.070368305155682e-06,0.00011594579384227378,3.074597089381189e-05,0.000303788224610922,0.0001564078296424411,0.0,9.836498206638437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010589326250574685,0.0,0.0,0.0,0.0,0.0006227115215263521,0.0,0.0,0.0,0.0
Bread & Bakery products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2866337459299597e-05,8.770968095603552e-06,8.29546797845667e-06,7.923584946773317e-06,2.5549065906790956e-05,3.0343604711331127e-05,5.796496597456497e-06,0.000382403739773615,0.000520119154569956,0.0006381182173082583,0.000510906979799439,0.0,2.428072050956908e-07,0.0006689912422964644,0.0007317650073422887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.921229549371324e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.676763972113822e-05,6.955187316687024e-08,1.0844917156333065e-06,0.0,2.33230911369774e-06,3.6431794101539493e-06,0.0,0.0006309753727672949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.546998855939958e-06,0.0,0.0,0.0,0.0,0.0024537669412159234,0.0,0.0,0.0,0.0
Miscellaneous food products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021715052678098895,0.006671024622450177,0.004354771648029411,0.003490315689407506,0.0,0.0,0.0,0.0005695432878553874,0.0005801979991009545,6.967494831493324e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016476081536330347,0.002115996053064357,0.0020012816498026715,0.001911564868409063,0.001971553045550618,0.0018079326926910444,0.0013984048041363799,0.00237072237525402,0.03747659901615171,0.04597888838517417,0.03235989647617675,0.001632729078718649,0.0022298934222768096,0.04820340937759037,0.052726502212542006,0.010022159548751007,2.1452943504745926e-06,5.323086286308735e-05,3.130159872915509e-06,3.156964263164541e-06,3.100683855824402e-06,4.788944202158415e-06,9.463598588618547e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.6475618602828654e-06,2.3239492263573026e-06,0.0,0.0,0.00039883697115019256,0.00014644495287462187,0.0004148308220678972,0.00040967430212459,0.0003520653133790667,0.00016126152229551183,0.0003442499558987756,0.00029914157036915035,0.00021200502504016615,0.0,0.0,0.0,0.0,0.0,0.0,1.373280225865463e-05,6.513018252115482e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8275089233901803e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006824148536321438,2.3918380078366213e-06,6.781867037522078e-05,1.378249590092471e-06,0.00016927241603078885,0.00037468390158253015,0.0003023386087712226,5.518035579333757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.295312881231895e-05,0.0,0.0,0.0,0.0008641601253249932,0.001037125493820597,0.0,0.0,0.0,0.0
Alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.082017985144074e-05,3.264659222145021e-05,3.1970365243944465e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.9772779559633523e-05,5.074083685615908e-05,9.428790702773818e-05,8.91762807684092e-05,8.517853817781318e-05,0.001055050358979517,0.00017754628872852457,6.231233842265735e-05,2.2742565337767526e-05,0.0006847359913698748,0.000840081558813229,0.0005876663216802367,0.053451701018127636,0.07108638335102417,0.0008807258442354129,0.0009633674002385012,0.0,0.0,6.402833794263433e-05,0.0,0.0,0.0,0.0,8.823003120189106e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2038541930065908e-05,3.028428293883526e-05,0.0005054586307755951,0.00027037144656481734,0.0005250848611557104,0.000518557837572986,0.00044563748969243995,6.667534765604453e-05,0.0004310424311915149,0.0003774875476538465,0.0002844193201606192,2.8292326606618347e-05,2.7403334736716232e-05,0.0,0.0,0.0,0.0,1.3061281999340698e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31322558076963e-07,0.0,0.0,0.0,1.4901304198175817e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019972320994948131,5.916677605248292e-07,5.228175650534637e-06,4.512064247412994e-05,3.8037914366225695e-05,3.644159855144142e-05,0.0,0.00019193167232465242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49825639054272e-06,0.0,0.0,0.0,0.0,0.00048421000973327555,0.0,0.0,0.0,0.0
Non alcoholic beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.832034971432077e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.469013873814664e-07,0.00011840806929064795,0.00011198881770916504,0.0001069683967814398,0.0002230365423202395,1.0113684487280491e-05,7.825270406566271e-05,5.683531242715487e-07,1.926367239147985e-05,2.3634008048454015e-05,1.6638288848788366e-05,0.006636453935932456,0.008828893869689894,2.4777453418387573e-05,2.7102407679344024e-05,0.0,0.0,6.049921695367023e-06,0.0,0.0,0.0,0.0,8.336695861596007e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.770143176547154e-05,2.6076952759560366e-05,4.961431758951594e-05,4.8997590951778206e-05,4.210747934101795e-05,0.00018296955868402916,4.677292368676795e-05,3.5668114738946125e-05,2.5356082729056416e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.67452946273012e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1857249582075246e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8524699583392467e-05,8.31902926678925e-08,5.101146953912932e-07,5.602086736915784e-06,4.438957463212802e-06,5.950606974370316e-06,0.0,0.00021712270431726305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1209135450886814e-06,0.0,0.0,0.0,0.0,0.0007115924129526178,0.0,0.0,0.0,0.0
