Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Legal Services,Computer related services,Other Business services,Real estate activities,Renting of machinery and equipment,"Community, Social & personal services",Other services,Public administration. & defence,Inter-Industry Consumption,PFCE,GFCE,GFCF,CIS,Valuables,Export,Total Use at PP
40,Other non metallic minerals,,,,,,"5,920","5,937",,,,81,,9,54,102,1,88,4,75,"7,067","12,706","11,211",6,,,7,"1,954",183,764,,"33,735","8,088","15,167","49,259",,593,15,29,"29,161",,"19,341",,,,,,,,,,,,,,,,,,,,,,,,,,"201,555",,,,"5,495",,"12,595","219,645"
41,Processed poultry meat & poultry meat products,,,,,,,,,,,225,,25,268,,,,,,,,,,,,,,,,,142,,,,,,,,2,,,,,,,,,,,,,,35,,,,,,,,,,,,,30,727,"9,423",,,23,,,"10,174"
42,Processed other meat & meat products,,,,,,,,,,,99,,403,55,1,,,,,,,,,,,,,,,,2,18,,,,,,,1,,,,,,,,,,,,,,78,,,,,,,,,,,,,217,874,"18,542",,,61,,"28,072","47,549"
43,Processed fish & fish products,,,,,,,,,,,"3,254",,"2,284",,11,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,283,,,,,,,,,,,,,"1,746","7,606","5,022",,,"1,258",,"39,128","53,014"
44,Processed fruits & Processed Vegetables,,,,,,,,,,,"3,911",618,534,"6,550","2,256","1,195",,,,,,,,,,,11,,,,31,21,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,200,"15,339","59,545",,,908,,"5,458","81,250"
45,Dairy products,,,,,,,,,,,707,"25,754",,"3,595",88,,,,,,,,,,,,,,,,31,83,,,,,,,,,,,,,,,,,,,,,"3,554",,,,,,,,,,,,,894,"34,706","144,372",,,"1,185",,931,"181,194"
46,Edible Oils and Fats ,,,,,,,,,,,"125,400",843,"6,575","7,298",,24,,,,,,,,,,,,,,,"7,546",661,,,,159,,,,,,,,,,,,,,,,,"38,253",,,,,,,,,,,,,354,"187,113","128,697",,,"1,755",,"5,603","323,168"
47,"Grain Mill products, starch and starch products",,"29,574",,140,,,,,,,"1,621",857,"51,150","14,443","4,282",,14,,,,,,,,,,,,,,406,"1,059",,,,,,,,,,,,,,,,,,,,,"77,820",,,,,,,,,,,"4,775",,"7,524","193,665","249,102",,,"3,473",,"7,697","453,937"
48,Sugar,,,,,,,,,,,587,"1,279","2,199","17,014","5,004",,,,,,,,,,,,,,,,666,200,14,,,,,,,,,,,,,,,,,,,,"14,344",,,,,,,,,,,,,921,"42,228","103,943",,,"-9,205",,"8,956","145,922"
49,Bread & Bakery products,,,,,,,,,,,,,181,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,088",,,,,,,,,,,,,"3,633","5,152","45,489",,,460,,"1,964","53,065"
50,Miscellaneous food products,,,,334,,,,,,,"2,357",,"2,132","11,319",113,"1,788",,,,,,,,,,,,,,,846,388,,,,,,,,,,,,,,,,,,,,79,95,,,,,,176,,316,,,,,"4,929","24,872","137,549",,,"1,019",,"16,038","179,478"
51,Alcoholic beverages,,,,,,,,,,,,,,133,"5,435",,,,,,,,,,,,,,,,32,13,,,,,,,,,,,,,,,,,,,,,331,,,,,,,,,,,,,"2,332","8,276","79,421",,,357,,"1,993","90,047"
52,Non alcoholic beverages,,,,,,,,,,,136,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,,,,,,,,,,,,,"1,053","1,634","34,011",,,450,,438,"36,533"
53,Tea processed,,,,,,,,,,,,,,"3,803",493,10,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,"8,676",,,,,,,,,,,,,"16,061","29,058","15,375",,,231,,"4,906","49,570"
54,Coffee processed,,,,,,,,,,,,,,429,89,,,,,,,,,,,,,,,,16,20,,,,,,,,,,,,,,,,,,,,,"4,501",,,,,,,,,,,,,"6,130","11,185","1,010",,,55,,"2,060","14,310"
55,Tobacco Products,,,,,,,,,,,,,,,,"5,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,188","100,753",,,"3,654",,"6,424","116,019"
56,Cotton Yarn and Cotton Textiles,,,,,,,,,,227,,,,,,12,"93,110","38,082","1,181",,,,,,,,,36,337,,145,165,602,78,,83,17,"1,255",261,,,,,,,,,,,,,,,,,,,441,,,,,,,,,"136,032","203,279",,,91,,"45,910","385,312"
57,Synthetic yarn and synthetic  textiles,,,,,,,,,,,,,,,51,31,"51,848","1,917",10,,,,,,,,295,159,235,,225,,360,254,,,19,48,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,493","1,071",,,-3,,"29,861","86,422"
58,Wool yarn and woolen textiles,,,,,,,,,,,,,,,,,"3,983",785,23,,,5,,,,,,,,,40,,6,,,3,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,855","3,438",,,-354,,"1,240","9,179"
59,Silk yarn and silk textiles,,,,,,,,,,,,,,,,1,"3,693",464,195,,,,,,,,,,50,,41,,24,,,1,,145,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,688","4,732",,1,-118,,,"9,303"
