Sl. No.,Product * Industry,Agriculture,Livestock,Forestry and Logging,Fishing & Aquaculture,Coal & Lignite,Crude Petroleum,Natural Gas,Iron Ore,Non ferrous metal ores,Other Mining,"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats",Manufacture of dairy products,"Manufacture of grain mill products, etc. and animal feeds",Manufacture of other food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles + cotton ginning,"Manufacture of wearing apparel, except custom tailoring",Manufacture of leather and related products,Manufacture of Basic Iron and Steel + Casting of iron and steel,Manufacture of basic precious and non-ferrous metals + Casting of non-ferrous metals,"Manufacture of fabricated metal products, except machinery and equipments","Manufacture of electronic component, consumer electronics, magnetic and optical media",Manufacture of computer and peripheral equipment,Manufacture of communication equipments,Manufacture of optical and electronics products n.e.c.,Manufacture of Electrical equipments,Manufacture of machinery and equipments n.e.c.,Manufacture of Transport,Manufacture of coke and refined petroleum products," Manufacture of chemical and chemical products except pharmaceuticals, medicinal and botanical products",Manufacture of pharmaceutical; medicinal chemicals and botanical products,Manufacture of rubber & plastic products,Manufacture of other non-metallic mineral products,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",Manufacture of paper and paper products,Printing and reproduction of recorded media except publishing,Manufacture of furniture,Other Manufacturing,Repair and installation of machinery and equipments,Construction,Electricity,Gas,Water supply,Railway Transport,Land Transport,Water Transport,Air Transport,Supportive & Auxiliary transport activities,Storage & warehousing,Communication,Trade,Hotels & Restaurant,Financial Services,Insurance Services,Ownership of dwellings,Education & Research,Medical and Health,Legal Services,Computer related services,Other Business services,Real estate activities,Renting of machinery and equipment,"Community, Social & personal services",Other services,Public administration. & defence,Supply at BP,Product taxes less Subsidies,OUTPUT at Producer price,Imports,CIF Adj,Imports after cif adjustment,Import Duty,Final Import,OP at Producer Price + Import,Trade and Transport Margins,OP at PP
29,Marine Fish,,,,"78,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,782",-561,"78,221",39,,39,8,47,"78,268","33,408","111,676"
30,Coal and Lignite,,,,,"116,254",,,,,,,,,,,,,,,,,,,,,,,,,"6,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122,583","9,254","131,837","105,952",,"105,952","8,737","114,689","246,526","100,138","346,664"
31,Natural Gas,,,,,,,"66,292",,,,,,,,,,,,,,,,,,,,,,,"16,126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,418","2,510","84,928",,,,,,"84,928","16,082","101,010"
32,Crude petroleum,,,,,,"145,989",,,,,,,,,,,,,,,,,,,,,,,,"34,878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"180,867","9,043","189,910","474,219",,"474,219","23,711","497,930","687,840","8,601","696,441"
33,Iron ore,,,,,,,,"57,802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,802","1,793","59,595","2,211",,"2,211",239,"2,450","62,045","28,169","90,214"
34,Manganese ore,,,,,,,,,"5,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,504",-38,"5,466","2,712",,"2,712",98,"2,809","8,276","1,383","9,659"
35,Bauxite,,,,,,,,,"5,036",,,,,,,,,,,,"1,659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,695",169,"6,864",780,,780,56,836,"7,700","3,093","10,793"
36,Copper ore,,,,,,,,,"2,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,204",26,"2,230","18,317",,"18,317",660,"18,977","21,206","1,867","23,073"
37,Other Metallic minerals,,,,,,,,,"36,480",,,,,,,,,,,,"3,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,813",-47,"39,766","4,987",,"4,987",359,"5,346","45,113","4,703","49,816"
38,Limestone,,,,,,,,,,"24,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,144",-161,"23,983","2,438",,"2,438",176,"2,614","26,597","15,678","42,275"
39,Mica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,90,,,,,,90,1,91
40,Other non metallic minerals,,,,,,,,,,"107,181",,,,,,,,,,,,,,,,,,,,"7,046",,,,"59,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"174,074",-8,"174,066","9,466",,"9,466",682,"10,147","184,214","35,431","219,645"
41,Processed poultry meat & poultry meat products,,,,,,,,,,,"2,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,237","2,820","5,057",150,,150,32,183,"5,239","4,935","10,174"
42,Processed other meat & meat products,,,,,,,,,,,"27,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,979",80,"28,058",47,,47,10,57,"28,115","19,434","47,549"
43,Processed fish & fish products,,,,,,,,,,,"40,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,630","1,396","42,026",551,,551,119,670,"42,696","10,318","53,014"
44,Processed fruits & Processed Vegetables,,,,,,,,,,,"17,225",,"1,451","43,378","2,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,140",501,"64,641","8,965",,"8,965","1,955","10,920","75,561","5,689","81,250"
45,Dairy products,,,,,,,,,,,1,"154,811",,"4,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"159,755","3,267","163,022",256,,256,73,329,"163,351","17,843","181,194"
46,Edible Oils and Fats ,,,,,,,,,,,"199,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"199,576","6,012","205,588","73,260",,"73,260","15,832","89,092","294,680","28,488","323,168"
47,"Grain Mill products, starch and starch products",,,,,,,,,,,506,,"330,866","5,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"336,702","-1,590","335,112","21,245",,"21,245","4,591","25,836","360,948","92,989","453,937"
48,Sugar,,,,,,,,,,,,,,"98,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,938","11,818","110,756","6,875",,"6,875","4,953","11,828","122,584","23,338","145,922"
49,Bread & Bakery products,,,,,,,,,,,,,,"40,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,535","2,131","42,666",156,,156,34,190,"42,856","10,209","53,065"
50,Miscellaneous food products,,,,,,,,,,,"6,375","1,118","11,913","113,660",63,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133,548","6,197","139,745","5,776",,"5,776","2,080","7,856","147,601","31,877","179,478"
51,Alcoholic beverages,,,,,,,,,,,,,,"1,181","47,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,528","24,370","72,898","3,500",,"3,500","3,782","7,282","80,180","9,867","90,047"
52,Non alcoholic beverages,,,,,,,,,,,203,,,720,"28,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,241","1,004","30,245","1,039",,"1,039",225,"1,264","31,509","5,024","36,533"
53,Tea processed,,,,,,,,,,,,,,"37,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,017","1,234","38,251",338,,338,244,582,"38,833","10,737","49,570"
54,Coffee processed,,,,,,,,,,,,,,"7,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,165",871,"8,036",931,,931,671,"1,602","9,638","4,672","14,310"
55,Tobacco Products,,,,,,,,,,,,,,,,"62,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,229","35,403","97,632",306,,306,66,372,"98,004","18,015","116,019"
56,Cotton Yarn and Cotton Textiles,,,,,,,,,,,,,,,,,"291,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"291,607","16,540","308,147","7,896",,"7,896",569,"8,465","316,612","68,700","385,312"
57,Synthetic yarn and synthetic  textiles,,,,,,,,,,,,,,,,,"37,176",,,,,,,,,,,,,,"3,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,559","6,582","47,141","14,138",,"14,138","1,018","15,156","62,297","24,125","86,422"
58,Wool yarn and woolen textiles,,,,,,,,,,,,,,,,,"5,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,358",478,"5,836",927,,927,67,994,"6,830","2,349","9,179"
59,Silk yarn and silk textiles,,,,,,,,,,,,,,,,,"6,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,547",517,"7,064",,,,,,"7,064","2,239","9,303"
60,Carpet weaving,,,,,,,,,,,,,,,,,"15,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,492",-226,"15,266",575,,575,41,616,"15,882","7,617","23,499"
61,Ready made garments,,,,,,,,,,,,,,,,,"92,646","163,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"255,648","10,644","266,292","4,034",,"4,034",291,"4,325","270,617","59,414","330,031"
62,Misc. textile products,,,,,,,,,,,,,,,,,"173,418",,,,,,,,,,,,,,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"174,132","5,553","179,685","9,772",,"9,772",704,"10,476","190,161","103,461","293,622"
63,Leather footwear,,,,,,,,,,,,,,,,,,,"53,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,715","2,416","56,131","3,593",,"3,593",259,"3,852","59,983","33,866","93,849"
64,Leather and leather products except footwear,,,,,,,,,,,,,,,,,,,"38,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,786","2,295","41,081","5,346",,"5,346",385,"5,731","46,812","16,891","63,703"
65,Wood and wood products except furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,865","2,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,379","12,063","102,442","14,314",,"14,314",616,"14,930","117,372","20,392","137,764"
66,"Paper, Paper products and newsprint",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,908",,,,,"114,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116,135","10,999","127,134","23,080",,"23,080","1,662","24,742","151,876","26,450","178,326"
67,"Publishing, printing and allied activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,747","65,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,035",378,"68,413","1,865",,"1,865",134,"1,999","70,412","16,918","87,330"
68,Furniture & Fixtures ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,546",,,,,,,,,"89,708",857,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,111","1,888","99,999","5,072",,"5,072",366,"5,438","105,437","30,409","135,846"
69,Rubber products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,046","8,447","95,493","19,507",,"19,507","1,405","20,912","116,405","46,585","162,990"
70,Plastic products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"219,982",,,,,,"1,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"221,093","23,354","244,447","77,678",,"77,678","5,595","83,273","327,720","40,879","368,599"
71,Petroleum products ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"699,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"699,372","372,300","1,071,672","104,070",,"104,070","9,794","113,864","1,185,536","241,210","1,426,746"
72,Coal tar products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,867",75,"8,942","8,147",,"8,147",587,"8,734","17,676","13,517","31,193"
73,Inorganic chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,862","4,922","52,784","32,093",,"32,093","3,697","35,790","88,574","32,719","121,293"
