Rank,Path,Source_Group,Source_Name,Category_Name,Water_m3,Scarce_m3,Share_pct
16,Paddy → Hotels & Restaurants,Agriculture,Paddy,Hotels & Restaurants,76518550.75800547,63280841.47687052,1.4210629871071532
17,Wheat → Road Transport,Agriculture,Wheat,Road Transport,68913454.01144518,56991426.46746516,1.279825059926793
18,Paddy → Ready Made Garments,Agriculture,Paddy,Ready Made Garments,68334790.375434,56512871.64048391,1.2690784178775865
19,Wheat → Beverages,Agriculture,Wheat,Beverages,62040819.08568089,51307757.38385809,1.1521900352150662
20,Groundnut → Processed Fruit/Veg,Agriculture,Groundnut,Processed Fruit/Veg,61391566.97212813,50770825.88594996,1.1401324604344256
21,Paddy → Other Chemicals,Agriculture,Paddy,Other Chemicals,59327282.106842436,49063662.302358694,1.101795628544074
22,Sugarcane → Processed Fruit/Veg,Agriculture,Sugarcane,Processed Fruit/Veg,55541339.27699937,45932687.58207848,1.0314850545264287
23,Petroleum products → Other Chemicals,Petroleum,Petroleum products,Other Chemicals,54744608.44801024,44562111.276680335,1.016688581245795
24,Vegetables → Processed Fruit/Veg,Agriculture,Vegetables,Processed Fruit/Veg,53231494.53555929,44022445.98090753,0.9885878114983232
25,Sugarcane → Grain Mill & Bakery,Agriculture,Sugarcane,Grain Mill & Bakery,44798566.75075916,37048414.70287783,0.8319758340207802
26,Electricity → Road Transport,Electricity,Electricity,Road Transport,43011861.237674505,35011655.047467045,0.7987940624326759
27,Fruits → Processed Fruit/Veg,Agriculture,Fruits,Processed Fruit/Veg,41699272.71577001,34485298.5359418,0.774417346625823
28,Sugarcane → Beverages,Agriculture,Sugarcane,Beverages,38262672.09839631,31643229.825373746,0.7105945756710499
29,Wheat → Grain Mill & Bakery,Agriculture,Wheat,Grain Mill & Bakery,35605088.55799023,29445408.23745792,0.6612393073471636
30,Other food crops → Road Transport,Agriculture,Other food crops,Road Transport,32742213.66104148,27077810.6976813,0.6080714740247788
31,Coconut → Processed Fruit/Veg,Agriculture,Coconut,Processed Fruit/Veg,32171566.92245245,26605885.844868176,0.5974737176521199
32,Ready made garments → Ready Made Garments,Manufacturing,Ready made garments,Ready Made Garments,31753492.14917262,25847342.60942651,0.5897094489843808
33,Paddy → Health & Social Work,Agriculture,Paddy,Health & Social Work,31172916.07012765,25780001.589995567,0.5789272900313208
34,Electricity → Processed Fruit/Veg,Electricity,Electricity,Processed Fruit/Veg,30975514.35398089,25214068.684140444,0.5752612473576331
35,Petroleum products → Ready Made Garments,Petroleum,Petroleum products,Ready Made Garments,30697123.394178744,24987458.442861497,0.5700911142983804
36,Other livestock products → Processed Fruit/Veg,Agriculture,Other livestock products,Processed Fruit/Veg,28549666.841937825,23610574.47828258,0.5302096608131804
37,Electricity → Hotels & Restaurants,Electricity,Electricity,Hotels & Restaurants,26996967.194453076,21975531.296284802,0.5013737252488355
38,Wheat → Ready Made Garments,Agriculture,Wheat,Ready Made Garments,26158062.545346852,21632717.725001846,0.4857940215724398
39,Wheat → Hotels & Restaurants,Agriculture,Wheat,Hotels & Restaurants,25400715.244953215,21006391.50757631,0.4717289588351881
40,Sugarcane → Road Transport,Agriculture,Sugarcane,Road Transport,25186532.85210753,20829262.668692924,0.46775127410451905
41,Electricity → Ready Made Garments,Electricity,Electricity,Ready Made Garments,24995363.32474304,20346225.746340834,0.46420097242068825
42,"Paper, Paper products and news → Health & Social Work",Manufacturing,"Paper, Paper products and newsprint",Health & Social Work,23632400.223640345,19236773.78204324,0.4388887259577978
43,Paddy → Air Transport,Agriculture,Paddy,Air Transport,21945631.044270545,18149036.87361174,0.4075629203217736
44,Other food crops → Railway Transport,Agriculture,Other food crops,Railway Transport,21673729.91270689,17924174.637808595,0.4025133129992351
45,Petroleum products → Financial Services,Petroleum,Petroleum products,Financial Services,21570803.64174466,17558634.16438015,0.4006018194775143
46,Petroleum products → Health & Social Work,Petroleum,Petroleum products,Health & Social Work,21511582.19747518,17510427.908744797,0.39950198941459875
47,Petroleum products → Beverages,Petroleum,Petroleum products,Beverages,21363273.07771513,17389704.285260115,0.3967476690745811
48,Paddy → Textiles,Agriculture,Paddy,Textiles,18694205.681949668,15460108.098972375,0.3471791285227338
49,Wheat → Other Chemicals,Agriculture,Wheat,Other Chemicals,18434367.50478173,15245221.92645449,0.3423535481562353
50,Electricity → Health & Social Work,Electricity,Electricity,Health & Social Work,17876850.65496357,14551756.433140347,0.33199963329354076
