Product_ID,2015,2019,2022,Product_Name,Change_2015_2022_pct
79,2347.667155935757,2646.5259309301564,2580.2848758835685,"Soaps, cosmetics and glycerin",9.908462507543684
80,5524.640350889706,4042.462715904801,3604.452710709797,"Synthetic fibres, resin",-34.75678991249947
81,2581.6367882494915,3103.7142552546175,2759.856970526745,Other chemicals and chemical products,6.903379402107831
82,2704.622410783424,3496.935901544649,2592.8171264835646,Cement,-4.133859271966688
83,2450.6102460257257,3387.0563702757445,2494.090333484995,Non metallic mineral products,1.7742555157346238
84,2595.5079245219003,3485.0356965691108,2687.2414603118295,Iron and steel Ferro alloys,3.5343192337517815
85,2412.3321712911734,3316.0145840658347,2617.0736770905096,Iron and steel casting and forging,8.487284969952984
86,2406.094391464411,3354.2012726070966,2654.0783350482416,Iron and steel foundries,10.306492732103555
87,1857.3328443926089,2977.5866950869863,2128.021294054243,Non ferrous basic metals (including alloys),14.574040968416481
88,2150.27290784501,2523.5461100016832,2603.579090469472,"Hand tools, hardware",21.08133255879423
89,2025.9226026262995,2869.216063840859,2765.4227978269973,Miscellaneous metal products,36.501897665885586
90,1729.0645110241244,2280.3090813760973,2044.8992988933833,Tractors and  other agricultural implements,18.266223489960478
91,1696.1688952901898,2177.295400348833,2066.176288631431,Industrial machinery for food and textile industry,21.814301297981192
92,1463.3450248484132,1718.3897406654455,1615.6717693821502,Industrial machinery (except food and textile),10.40948935125647
93,1609.2265530949112,1910.2244329506675,1848.5749130829763,Machine tools,14.873503020922904
94,1787.0951921309854,2408.6550681635385,2218.179478082188,Other non electrical machinery,24.122066236279487
95,1300.357430447683,1842.3637126949477,1649.7355076474146,Electrical industrial machinery,26.867849486540685
96,1976.7188927863065,2178.055594156757,2124.910591099739,"Electrical cables, wires",7.496852428245241
97,2204.759987552917,2606.3851345784215,2289.1435050576374,Batteries,3.8273334957597003
98,1685.5638103898318,1803.9518293777633,1667.62533219422,Electrical appliances,-1.064242011191681
99,1295.3780775290222,1382.968413901009,1463.0218397071767,Communication equipment,12.941685912883491
100,1214.4512989619443,1626.9778443514683,1713.4819094881004,Other electrical machinery,41.09103518211919
101,856.0278786376646,718.5041361030618,861.1523854017349,Electronic equipment including T.V,0.5986378355137003
102,1381.7459702200513,1651.9971254922991,1782.2086682934043,"Medical precision, optical instrument",28.982367722018907
103,1895.390206643456,1677.132938362536,1648.4622182730511,Watches and clocks,-13.027818098083838
104,2005.5488999007653,2416.5302057871745,2352.0351949826254,Ships and boats,17.276382296088833
105,1979.905080548834,2536.1469693505383,2361.5943585223654,Rail equipment,19.278160439273503
106,1242.1588667127671,1395.763655007141,1558.6196078430248,Motor vehicles,25.476672075588468
107,1815.9296976056296,2230.9237009651897,2186.700776173618,Motor cycles and scooters,20.41770003854576
108,2015.7083500433257,2529.459453893958,2385.080182069368,"Bicycles, cycle-rickshaw",18.324666463682767
109,1854.9568855968396,2314.290528534186,2294.7895972050437,Aircrafts & Spacecrafts,23.71120940995274
110,2053.938450692075,2528.6537928212115,2404.044223915144,Other transport equipment,17.04558250541055
111,476.1219703490061,774.7569073737177,698.5903540405103,Gems & jewellery,46.72508255152158
112,2634.4062815709444,5480.383133421376,4723.154485320643,Miscellaneous manufacturing,79.28724655576437
113,1155.486293410666,1449.4130473863045,1145.962481388079,Construction and construction services,-0.8242254431660461
114,6003.691989826163,7717.754055922934,5483.181741911149,Electricity,-8.66983597421501
115,1048.02632854718,1547.7668763486106,851.4708834834505,Gas,-18.75481938857425
116,10215.985204910883,8572.3156026861,7159.979302007921,Water Supply,-29.913961713980576
117,5506.76565685316,3606.83567019731,4702.481585494838,Trade,-14.605380389800894
118,3229.8831439808223,2956.324938282902,3112.047818556375,Repair & Maintenance of Motor Vehicle,-3.648284478775767
119,14690.7887900642,7538.423683395495,2514.082710264501,Hotels & Restaurant,-82.88667309705761
120,1964.8439542943495,2314.930292760454,1647.0638003127126,Railway Transport,-16.173302377885978
121,1867.891773693244,1830.0469666123813,1251.330636609243,Land transport,-33.00839726195273
122,2074.8870181099815,2015.2583228667468,1809.647989812188,Air transport,-12.783299812603786
123,738.2599052590939,562.1011078207803,333.89125601390066,Water Transport,-54.77321013434682
124,3292.741667760575,2008.1988618672503,2472.286186981371,Supportive and Auxiliary transport activities,-24.917092306764648
125,3838.744447794667,2821.6589525277514,1185.911435237504,Storage and warehousing,-69.10678865536876
126,1408.3253002840563,1363.6921117051202,786.5468407875188,Communication services,-44.150201616851305
127,1683.9691363247318,1659.8179646743,568.3450914471213,Financial services,-66.24967291933056
128,923.9092957204648,859.8243951913704,539.2301890070778,Insurance services,-41.63602514827109
129,44.983853487063655,49.61431963476866,41.49543498784236,Ownership of dwellings,-7.7548236284925816
130,1389.7474046589257,1384.061236949218,253.53788590275352,Real estate services,-81.75654906403821
131,2060.1053184208317,1622.9196532637511,855.8513335421659,Renting of machinery & equipment,-58.455942718587984
