Product,Total_Output_crore,Total_Output_USD_M,Final_Demand_crore,Final_Demand_USD_M,Supply_Output_crore,Supply_Output_USD_M,Total_Output_2015prices,Total_Output_2015prices_USD_M,Deflator,USD_INR_Rate
Crude petroleum,468548.6557256944,66545.7542573064,1443.0,204.94247976139755,177437.0,25200.5396960659,399371.2738823929,62255.84939709943,1.1732157177225342,70.41
Iron ore,67428.0,9576.480613549213,19134.0,2717.5117170856415,82545.0,11723.47677886664,57472.806561859186,8959.128068879061,1.1732157177225342,70.41
Manganese ore,26159.0,3715.2393125976428,178.0,25.28049992898736,5207.0,739.5256355631303,22296.83732057416,3475.7345784215363,1.1732157177225342,70.41
Bauxite,26153.0,3714.387160914643,172.0,24.428348245987788,4503.0,639.5398380911803,22291.723171565274,3474.937361116956,1.1732157177225342,70.41
Copper ore,28040.0,3982.388865218009,2059.0,292.4300525493538,2334.0,331.48700468683427,23900.123034859876,3725.6622034076186,1.1732157177225342,70.41
Other Metallic minerals,27437.0,3896.7476210765517,1456.0,206.78880840789662,39493.0,5609.004402783696,23386.151059466847,3645.541864297248,1.1732157177225342,70.41
Limestone,55158.0,7833.830421815083,1167.0,165.74350234341713,22966.0,3261.7525919613695,47014.37183868762,7328.81868101132,1.1732157177225342,70.41
Mica,369465.0,52473.37025990627,4.0,0.568101121999716,443.0,62.91719926146855,314916.51059466845,49090.64857282438,1.1732157177225342,70.41
Other non metallic minerals,197177.13555434527,28004.137985278412,21328.0,3029.1151825024854,190964.0,27121.71566538844,168065.54206170098,26198.83742193312,1.1732157177225342,70.41
Processed poultry meat & poultry meat products,456050.0,64770.629171992616,4435.0,629.8821190171851,2943.0,417.980400511291,388717.942583732,60595.158625679185,1.1732157177225342,70.41
Processed other meat & meat products,482191.0,68483.31202954127,30576.0,4342.564976565829,20498.0,2911.2341996875443,410999.43745727954,64068.50155218699,1.1732157177225342,70.41
Processed fish & fish products,504822.0,71697.48615253516,53207.0,7556.739099559722,55142.0,7831.558017327085,430289.1551606288,67075.47235551501,1.1732157177225342,70.41
Processed fruits & Processed Vegetables,483353.6686684614,68648.44037330797,53220.0,7558.585428206221,53119.0,7544.240874875728,411990.44759369193,64222.98481585221,1.1732157177225342,70.41
Dairy products,393996.3452384691,55957.44144844043,198363.0,28172.560715807416,191010.0,27128.24882829144,335826.0030843273,52350.11739428329,1.1732157177225342,70.41
Edible Oils and Fats,690072.0,98007.669365147,238457.0,33866.92231217157,307106.0,43616.81579321119,588188.5058099794,91689.55663444729,1.1732157177225342,70.41
"Grain Mill products, starch and starch products",756563.5314841592,107451.14777505457,347079.0,49293.99233063486,401837.0,57071.012640249966,644863.1057831486,100524.25655232245,1.1732157177225342,70.41
Sugar,571023.0,81099.70174691096,174947.0,24846.89674762108,194272.0,27591.535293282206,486716.11825017084,75871.5694856073,1.1732157177225342,70.41
Bread & Bakery products,465431.0,66102.96832836245,69355.0,9850.163329072575,62922.0,8936.514699616531,396713.914559125,61841.60788139127,1.1732157177225342,70.41
Miscellaneous food products,578541.5599752816,82167.52733635585,180580.0,25646.925152677177,153730.0,21833.546371254084,493124.62425781,76870.55717191115,1.1732157177225342,70.41
Alcoholic beverages,161080.0,22877.43218292856,79747.0,11326.090044027838,62537.0,8881.83496662406,137297.85372522214,21402.62723697929,1.1732157177225342,70.41
Non alcoholic beverages,120240.62254661431,17077.208144668984,36205.0,5142.025280499929,32608.0,4631.160346541685,102488.07677076421,15976.317501288262,1.1732157177225342,70.41
Tea processed,443952.0,63052.40732850448,47876.0,6799.6023292146,61950.0,8798.466126970601,378406.11346548185,58987.702800542764,1.1732157177225342,70.41
Coffee processed,405868.0,57643.51654594518,9792.0,1390.7115466553048,12772.0,1813.946882545093,345944.90498974704,53927.49882926688,1.1732157177225342,70.41
Tobacco Products,119136.0,16920.32381763954,81673.0,11599.6307342707,66266.0,9411.447237608294,101546.54272043744,15829.546799756421,1.1732157177225342,70.41
Cotton Yarn and Cotton Textiles,932273.0,132406.3343275103,311050.0,44176.96349950291,410401.0,58287.31714245136,794630.5064935064,123870.69469890979,1.1732157177225342,70.41
Synthetic yarn and synthetic textiles,670487.975330182,95226.24276809857,37927.0,5386.592813520807,49291.0,7000.568101122,571495.9024174551,89087.43607442791,1.1732157177225342,70.41
Wool yarn and woolen textiles,638945.0,90746.34284902713,17722.0,2516.9720210197415,16217.0,2303.2239738673484,544609.9897470949,84896.33511256351,1.1732157177225342,70.41
Silk yarn and silk textiles,633520.0,89975.85570231502,12297.0,1746.4848743076268,13647.0,1938.219002982531,539985.946684894,84175.51779967171,1.1732157177225342,70.41
Carpet weaving,645019.0,91609.0044027837,23796.0,3379.6335747763105,17524.0,2488.851015480756,549787.2132604237,85703.38476390082,1.1732157177225342,70.41
