"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2020-21",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
1.3.1,स्थानीय निकायों को पूंजीतर हस्‍तांतरण,68629.1998,0,105.72,18276.4224666,1102.309111,6336.739486,1936.3343856,132.67,4900.326703,3586.702781,281.34,787.27599,149582.012601,14588.669988,4284.94,10303.729988,1769.89,98087.354256,1012.8,97074.554256,41974.454546,393800.9996476,current transfers to local bodies,1.3.1
1.3.2,अन्य पूंजीतर हस्‍तांतरण,442417.862910178,1464.03867,3840.016108,407319.335963834,29122.354269,168635.252434,41808.514942,40470.521763,12951.5881688345,11413.202668,102917.901719,1402.96986,45617.3814658695,92368.1410024247,15682.76836,76685.3726424247,9391.072489,299769.685210869,30910.065908,268859.619302869,251315.326894,1554905.83057418,other current transfers,1.3.2
2,पूंजीगत व्यय ,78981.83,139688.3,17701.72,697090.89,119076.51,23434.12,30037.37,16601.36,50028.51,204020.06,253892.95,1380.09,211641.7,31844.36,4164.01,27680.35,9292.83,66333.67,6584.11,59749.56,37870.69,1291826.08,Capital Expenditure,2
2.1,सकल पूंजी निर्माण ,54622.56,139677.61,16316.09,249994.12,6085.28,17656.77,13740.54,3153.47,45347.55,166627.99,-2617.48,110.54,82555.1,22673.76,3454.76,19219,7455.96,49342.97,6136.55,43206.42,20842.72,643591.43,GCF ,2.1
2.1.1,सकल स्‍थायी पूंजी निर्माण,54170.069914,138120.89746848,16152.9062925,252022.837656352,6085.280158,17647.225128,13719.791506352,3153.465228,44618.353206,165379.973627,1418.748803,110.54,82555.102735,22663.7589467763,3454.763934,19208.9950127763,7455.964925,49296.3923254177,6136.51,43159.8823254177,20810.766546,643359.236809526,GFCF,2.1.1
2.1.2,स्‍टॉक में अंतर,452.492754,1556.71554,163.187016,-2028.7196751,0,9.540195,20.7514019,0,729.198728,1248.02,-4036.23,0,0,10,0,10,0,46.5751,0.04,46.5351,31.95,232.2007349,CIS,2.1.2
2.2,पूंजी हस्तांतरण,24359.27,10.69,1385.63,447096.77,112991.23,5777.35,16296.83,13447.89,4680.96,37392.07,256510.43,1269.55,129086.6,9170.6,709.25,8461.35,1836.87,16990.7,447.56,16543.14,17027.97,648234.65,Capital Transfer,2.2
2.2.1,स्थानीय निकायों को पूंजी हस्‍तांतरण,14407.91,0,0,88482.201097,82511.311653,562.93,154.28,2,2016.37,1720.959444,1514.35,0,48783.0242,64.58,0,64.58,4.17,57,0,57,12368.05,164166.935297,capital transfers to local bodies,2.2.1
2.2.2,अन्य पूंजी हस्‍तांतरण,9951.364168,10.69443,1385.625012,358614.56394,30479.916802,5214.419695,16142.554335,13445.888088,2664.59,35671.115419,254996.079601,1269.551745,80303.574506,9106.019545,709.2528,8396.766745,1832.704046,16933.700077,447.5621,16486.137977,4659.924562,484067.722031,other capital transfers,2.2.2
3.1,स्टॉक में निवल निवेश,16632.088848,0,1,136675.965807,30608.509998,27415.13,3940.37,19301.25,201.75,52934.615809,2274.34,0,4089.71,0.02,0.01,0.01,2.87,224.3,0,224.3,530.46,158156.414655,Net Investment in Stock,3.1
3.2,ऋण और अग्रिम,152011.24,0.85,2,46033.39,19.12,8664.09,6030.2,7983.5,5802.1,6057.87,11476.5,240.91,16000.55,745.62,0,745.62,90.11,976.3,0,976.3,3399.98,219500.95,Loans and Advances ,3.2
3.2.1,स्थानीय निकायों को ऋण व अग्रिम,0.1,0,0,622.7,0,0,0,0,622.7,0,0,240.91,1876.21,0,0,0,0,0,0,0,0,2739.92,loans & advances to local bodies,3.2.1
3.2.2,घरेलू क्षेत्र को ऋण और अग्रिम,152011.143502,0.85,2,45410.685039,19.12,8664.09,6030.2001,7983.499996,5179.4,6057.874943,11476.5,0,14124.338331,745.62,0,745.62,90.11,976.3,0,976.3,3399.978681,216761.025553,loans & advances to domestic sector,3.2.2
4,कुल व्यय,968561.54,544696.55,349598.28,2175439.11,195223.9,456058.74,220949.27,184476.35,94016.2,411652.32,613062.29,4166.41,480288.51,315619.83,54252.6,261367.23,34440.54,971456.38,63852.32,907604.06,459757.52,6304024.67,Total expenditure,4
5,अंतिम उपभोग व्यय,204830.06,403543.36,327939.08,138585.05,14778.18,56618.73,11193.19,3858.62,19529.93,22660.39,9946.01,355.16,43359.37,176072.12,30120.77,145951.35,11309.26,502209.13,25335.44,476873.69,98641.01,1906843.6,Final Consumption Expenditure,5
5.1,व्यक्तिगत उपभोग व्यय,0,0,0,0,0,0,0,,,0,0,0,0,145951.35,0,145951.35,11309.26,476873.69,0,476873.69,78063.7489799214,712198.048979921,Individual Consumption Expenditure,5.1
5.2,सामूहिक उपभोग व्यय,204830.06,403543.36,327939.08,138585.05,14778.18,56618.73,11193.19,3858.62,19529.93,22660.39,9946.01,355.16,43359.37,30120.77,30120.77,0,0,25335.44,25335.44,0,20577.2610200786,1194645.55102008,Collective consumption expenditure,5.2
* व्यय में स्थानीय प्राधिकरणों का व्यय एवं स्थायी पूंजी अवक्षय सम्मिलित नहीं है।,,,,,,,,,,,,,,*Expenditure excludes expenditure of local bodies and CFC.,,,,,,,,,,,
