क्र. सं.,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus,,
7.3,जल परिवहन,5202,4355,847,-794,1399,627,-386,5985,4416,1569,-877,1667,682,97,5995,4572,1423,-1184,1641,670,296,6104,4294,1809,-1030,1538,569,733,5925,3872,2052,-1296,1471,772,1105,4956.418,3282.022,1674.395,-1056.018,1326.587,794.44,609.386,5379.12016356359,3566.73789425225,1812.38226931134,-1261.32016356359,1312.83179580696,891.54,869.330637067964,6105.71342569892,4279.20896154271,1826.50446415621,-1217.26342569892,1252.30620091802,849.63,941.831688937107,6527.8341543189,4310.34798276029,2217.48617155861,-1367.9041543189,1139.22915254767,906.89,1539.27117332983,6100.06412324549,3519.94993428056,2580.11418896493,-1476.87412324549,1110.70906760549,996.26,1950.01924460493,Water transport,7.3
7.4,वायु परिवहन,16547,15497,1050,5,2865,3839,-5659,18874,15865,3009,47,3081,3606,-3725,23536,20765,2771,49,2862,3618,-3758,23306,19468,3838,35,2972,3215,-2384,23714,17969,5746,16,2339,3092,299,25761.66,20451.289,5310.371,13.13,2192.182,3352.48,-247.421,27219.96,22994.1397405084,4225.82025949155,10.74,2177.8070192735,3783.38,-1746.10675978195,32134.23,28639.3725046908,3494.85749530924,16.13,2071.56130397866,3890.89,-2483.72380866943,33971.49,28863.2799279508,5108.21007204921,45.39,2024.66763254876,4187.08,-1148.92756049955,14861.95,11337.2133913367,3524.73660866329,17.5834755830315,1548.50300067864,2969.29,-1010.63986759838,Air transport,7.4
7.5,परिवहन से संबंधित सेवाएं,14959,4630,10329,-8,2956,6816,565,15827,5313,10514,-27,2927,7385,229,18249,5990,12259,-352,2937,8935,739,20074,6257,13817,-327,2914,9508,1722,23286,7128,16158,62,2741,8516,4838,26002.7,7730.127,18272.573,108.42,2698.356,9075.44,6390.357,28246.66,7975.17071008488,20271.4892899151,86.56,2794.93167544472,12071.87,5318.1276144704,30489.53,9638.72515163108,20850.8048483689,69.78,2947.81854982043,13728.14,4105.06629854849,30201.64,9431.97045366965,20769.6695463304,84.99,3059.56590148437,11513.48,6111.63364484599,30469.03,9609.99503815128,20859.0349618487,89.45,3210.20775629776,12094.78,5464.59720555095,Services incidental to transport,7.5
7.6,भंडारण,6286,4512,1774,-11,298,801,686,4002,1519,2483,200,305,1092,886,3904,2013,1891,16,318,1039,518,3381,1614,1767,19,335,905,508,4354,2302,2052,24,314,1062,651,4399.49,2263.312,2136.178,45.86,313.458,1050.21,726.649,5501.31,2745.18679250587,2756.12320749413,29.05,341.016423540296,1272.36,1113.69678395384,6765.95,3190.58984058239,3575.36015941761,12.33,364.589073159443,1322.88,1875.56108625817,6933.41,3149.41872363337,3783.99127636663,21.9,372.175907355548,1347.62,2042.29536901108,7409.61,3423.15439073845,3986.45560926155,41.44,387.177867565481,1316.09,2241.74774169606,Storage,7.6
7.7,संचार और प्रसारण से संबंधित सेवाएं,46224,12975,33249,-11157,6136,32248,6022,46349,13259,33090,-13270,6322,35293,4745,49177,13990,35187,-13430,6435,35715,6467,51194,14833,36361,-16024,6590,36820,8975,51012,13452,37560,-17967,6562,38361,10604,56903.832,14776.109,42127.724,-23096.48,6493.193,43905.09,14825.921,53617.885639267,14920.0669680432,38697.8186712238,-23927.555639267,6739.37537838351,44403.38,11482.6189321073,51752.0546114451,15399.8248109555,36352.2298004897,-25817.4246114451,7018.62770541734,46030.59,9120.43670651741,52786.177398262,14485.7895382585,38300.3878600035,-27150.746635262,6998.96840763644,45967.165554,12485.000533629,53750.4019856659,15243.923759033,38506.4782266329,-28262.4621776658,6943.7455088562,37079.952325,22745.2425704425,Communication & services related to broadcasting,7.7
8,वित्‍तीय सेवाएं,308928,59126,249802,368,3207,84363,161864,339936,66423,273513,135,3614,97937,171826,390196,75830,314366,144,4087,111511,198624,420937,84170,336767,193,4545,119728,212301,451688,93386,358301,212,4822,129501,223766,470757.012,109624.133,361132.879,198.72,5043.878,144094.389,211795.893,499018.1346348,116523.5105712,382494.6240636,205.05,5485.4896051,144310.25,232493.8344585,556748.469128351,123132.516745307,433615.952383045,382.16,5971.28679035147,160445.332457615,266817.173135078,589680.8204516,132677.2803207,457003.5401309,262.91,6237.05567256132,188279.9961,262223.578358339,623184.9127343,130315.1178519,492869.7948824,203.02,6668.03518532689,196268.86,289729.879697073,Financial services,8
9,"स्‍थावर सम्‍पदा, आवास का स्वामित्व और व्‍यावसायिक सेवाएं",9059,5480,3579,11,448,1917,1203,8087,4520,3567,13,467,2091,996,8649,5007,3642,25,460,2168,990,10214,5917,4297,28,475,2390,1403,11434,7470,3963,25,466,2382,1090,13035.99,8276.806,4759.184,57.02,485.444,2784.73,1431.99,14462.43,8798.25282421832,5664.17717578168,36.25,534.640130552337,3101.22,1992.06704522935,17679.99,11486.147162854,6193.84283714595,70.06,668.05250015649,3212.87,2242.86033698946,19435.01,12262.2004555632,7172.80954443683,53.68,720.9558700669,3512.41,2885.76367436993,18345.51,11948.5296806768,6396.98031932318,51.26,772.28517740899,3471.8,2101.63514191419,"Real estate, ownership of dwelling and professional services",9
10,लोक प्रशासन और रक्षा,666419,175264,491155,0,85563,405592,0,720838,174606,546231,0,92087,454144,0,797137,195224,601912,0,98725,503188,0,907104,230286,676818,0,105064,571755,0,988917,257339,731578,0,108262,623316,0,1099612.193,272173.795,827438.398,0,113842.04,713596.358,0,1227081.7174451,281999.489797062,945082.227648042,0,122400.894309903,822681.333338139,0,1351468.837253,305981.312136,1045487.525117,0,132432.741528,913054.78359,0,1482617.221794,334876.582869,1147740.638925,0,140794.473722,1006946.165203,0,1608153.867971,369770.816086,1238383.051885,0,152126.393341,1086256.658544,0,Public administration and defence,10
11,अन्‍य सेवाएं,302117,59949,242168,-4,7704,234470,-1,341648,70908,270740,-6,8629,262071,47,371247,72588,298659,-304,9797,288891,275,416815,81218,335597,-101,10783,324891,24,478178,97755,380423,-54,11538,368763,177,534413.94,106989.129,427424.811,-51.8,12659.695,414672.369,144.547,597549.785865256,115853.383353593,481696.402511663,-88.31,14472.238533539,467022.154293168,290.319684956,686257.36963046,130589.543157582,555667.826472879,-90.78,16389.243476105,539078.581609519,290.781387255,704870.494484891,107031.047962607,597839.446522284,-88.15,17744.770695034,580069.61976633,113.20606092,759619.464943266,113946.108204334,645673.356738932,-134.723089244,19506.651218266,626247.460856317,53.967753592,Other services,11
,कुल,3066401,1397365,1669036,-59923,233108,1084506,411345,3312548,1478834,1833713,-69473,255820,1210494,436872,3622357,1609855,2012502,-81660,279267,1344281,470614,3883912,1704624,2179288,-89527,302124,1494710,471981,3934490,1564124,2370366,-88358,319907,1628153,510663,4278867.2362,1677140.1446,2601727.0916000004,-104340.935,339277.793483,1846657.6739999999,520133.07197000005,4730565.682677918,1822152.6897113677,2908412.993066555,-106027.53716276311,366607.81989036844,2067768.117801307,580064.592647643,5349554.551274041,2164723.2640618663,3184831.2871121764,-116466.70401223004,400637.52784645883,2261565.517588134,639094.9467108133,5581685.40054393,2209098.23895324,3372587.16159069,-157538.36447943936,426394.71476420894,2441619.26657433,662111.5448345905,5514293.5243594665,1956864.068231971,3557429.4561374956,-176546.46863722577,456128.37709978636,2556498.1306463173,721349.416026617,Total,
