क्रं सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,,
1.4,मत्‍स्‍यन और जलीय कृषि,80105,12078,68027,-11,7987,7018,53031,94297,14385,79911,-44,8804,8313,62838,115308,17119,98190,-66,9970,10377,77908,136229,19662,116567,-94,10975,12435,93250,155691,22970,132721,-104,11926,14235,106665,181579.798,26936.947,154642.851,-69.78,12604.762,16739.126,125368.744,226759.38400000002,33484.341,193275.04299999998,-152.625,13578.732,20837.856,159011.081,249107.23919999998,37020.585712,212086.65348799998,-198.780266,15030.766855999998,23024.074966,174230.59193300002,267341.89542,39276.664805,228065.230615,-198.493918,16800.520537,24714.872028,186748.331968,273071.38542,40451.561957,232619.823463,-244.50273699999997,18595.461061,25096.131568,189172.73357,fishing and aquaculture,1.4
2,खनन एवं उत्‍खनन,438179,177144,261035,3456,31848,65019,160711,492107,206265,285841,1688,36070,72386,175697,556181,260386,295794,3022,43010,70885,178878,557126,248651,308475,1057,46689,73297,187435,504235,210224,294012,954,49426,71683,171948,566885.325,240077.413,326807.912,2644.315,51624.619999999995,84674.119,187864.859,546370.8846,210261.75089999998,336109.1338,2511.8759,55091.219000000005,99233.6076,179272.4313,599966.7440000001,222305.661,377661.083,3229.5860000000002,59153.971000000005,101222.902,214054.62600000002,582782.787,224265.52000000002,358517.267,3007.923,62540.659,98273.455,194695.23,546276.492,221296.738,324979.754,2986.7509999999997,66418.23000000001,94311.582,161263.19,Mining & quarrying,2
3,विनिर्माण,6543446,5133460,1409985,13023,263058,325615,808289,7180189,5607352,1572837,12850,283711,377180,899095,7968484,6255032,1713452,11733,301794,411241,988684,8501463,6623094,1878369,11675,323713,470119,1072863,8417473,6271284,2146189,12084,343496,515836,1274774,8987059.2,6653337.845,2333721.355,22770.499,365181.452,559099.165,1386670.7480000001,9969138.12644,7402514.76215,2566623.3643,8255.74205,392011.90051000006,607563.58127,1558792.1404600001,11903858.850499999,9091298.894699998,2812559.9554999997,8522.197400000001,426619.2221,690270.2086000001,1687148.3276999998,11837416.659400001,9132607.2544,2704809.4050999996,6853.200999999999,456563.68090000004,738419.1231000001,1502973.4000000001,11031110.0276,8321674.6984,2709435.3291999996,6085.3753000000015,479980.8064,705375.1819,1517993.9655000002,Manufacturing,3
4,"बिजली, गैस, जलआपूर्ति और अन्य उपयोगी सेवाएं",535136,348468,186668,-5262,62857,65643,63432,625813,410463,215349,-5663,75172,70449,75392,730188,470033,260155,-5063,86581,94741,83896,854578,572320,282258,-5381,99530,106002,82106,855526,520561,334965,-5943,109414,113443,118051,916328.5909999999,560620.0430000001,355708.54799999995,-9829.086,119232.509,123703.78899999999,122601.336,1025339.0631,599621.3343,425717.7289,-5654.8183,129416.253,141144.12619999997,160812.168,1135361.1757,685902.2475,449458.9282,-7297.783,143859.5806,160936.2088,151960.9217,1190487.3129,688869.7858,501617.52710000006,-8097.5983000000015,153611.02850000001,167416.46339999998,188687.6336,1150091.0084,642738.7548,507352.2537,-1024.5670000000002,165306.26659999997,173742.109,169328.4451,"Electricity, gas, water supply and other utility services",4
5,निर्माण,2140974,1363639,777335,4271,39157,509388,224520,2341396,1492031,849365,4959,52515,564728,227162,2528017,1606547,921470,5006,54860,615936,245668,2720301,1741215,979086,5464,58145,676727,238750,2687072,1695988,991083,5900,59091,663356,262735,2901217.1463,1820347.0477,1080870.0991,5854.0038269,66454.97128299999,720548.0282399999,288013.09557,3256465.51584,2056051.6720969998,1200413.84374,6527.26537,76195.53567,797738.19939,319952.84342,3712259.04191,2360141.210158,1352117.83174,7985.73732,89904.012349,874138.776453,380089.305633,3793079.7992399996,2420320.54763,1372759.2516100002,7626.51254,103637.14699,914557.33015,346938.26194999996,3606661.80975,2291053.87078,1315607.93898,6172.65059,114582.61420000001,866905.86062,327946.81357,Construction,5
6,"व्‍यापार, मरम्‍मत, होटल और जलपान गृह",1330329,446747,883582,10204,45469,140841,687068,1569347,514814,1054533,19837,57279,166646,810771,1758066,573507,1184559,8350,64110,186738,925361,1976834,656000,1320833,11934,73463,208076,1027361,2122304,688335,1433969,15477,81737,224321,1112434,2370663.9050000003,761663.137,1609000.7680000002,13272.671,94387.51000000001,253592.10299999997,1247748.485,2741202.97372297,859808.405042022,1881394.5686809523,18638.14837044897,113120.00331087163,303604.0158809062,1446032.4011187204,3127343.13876103,990635.8840089308,2136707.254752094,19250.199422446232,133004.25997853454,346645.07340070745,1637807.7219504118,3417674.36601651,1091861.9903809752,2325812.3756355396,18544.51988827798,147265.32427930785,373706.2580118985,1786296.2734560587,2619731.5747713502,800750.2103461286,1818981.3644252154,10490.167543229501,159401.14039767222,301662.12054253824,1347427.935941776,"Trade, repair, hotels and restaurants",6
6.1,व्‍यापार और मरम्‍मत सेवाएं,1065575,271894,793681,9213,37197,114034,633237,1275443,320760,954683,18707,47933,136323,751720,1443159,364739,1078420,7716,54241,154003,862460,1638053,431579,1206474,10373,62657,172894,960549,1749721,442397,1307323,13073,69828,185522,1038901,1960947.131,492364.158,1468582.972,11571.023,81282.023,209831.573,1165898.352,2281567.14015572,558895.6608705864,1722671.4792851296,16301.16655808709,98358.44248822931,252787.993886645,1355223.8763521682,2599132.8010560796,643334.3343638249,1955798.466692246,16153.999505826529,116056.34200423301,288235.0009177258,1535353.124264464,2834498.14331775,704812.5703121303,2129685.5730056204,14605.71550275237,128085.6692470026,308670.2988265586,1678323.8894293094,2349300.19036777,616479.1959125451,1732820.994455227,8635.72511566562,139109.18419744886,266085.0571568591,1318991.0279852538,Trade & Repair Services,6.1
6.2,होटल और जलपान गृह,264754,174853,89901,991,8272,26807,53831,293904,194054,99850,1130,9346,30323,59051,314907,208768,106139,634,9869,32735,62901,338781,224423,114359,1560,10806,35181,66811,372584,245937,126646,2403,11909,38800,73533,409716.775,269298.978,140417.796,1701.6480000000001,13105.488,43760.53,81850.133,459635.833567254,300912.74417143554,158723.08939581783,2336.9818123618343,14761.560822642337,50816.0219942617,90808.52476655194,528210.3377049561,347301.5496451069,180908.7880598498,3096.199916619686,16947.91797430141,58410.0724829816,102454.59768594705,583176.22269876,387049.420068844,196126.80262991606,3938.8043855255128,19179.655032305425,65035.9591853404,107972.38402674437,270431.384403573,184271.01443358354,86160.36996998897,1854.442427563876,20291.956200223365,35577.0633856794,28436.90795652241,Hotels & restaurants,6.2
7,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं",1257242,727708,529533,-17483,85810,182917,278291,1423304,813852,609452,-16742,99745,203210,323238,1613397,923490,689907,-19127,121830,226652,360552,1806486,1019724,786762,-20854,134998,251255,421363,1908688,1048143,860544,-23823,147909,271533,464925,2072980.5299999998,1142825.441,930155.0889999999,-33843.454,167788.18699999998,312549.63899999997,483661.12100000004,2292284.851775198,1294757.226576256,997527.6251989417,-37351.033435465775,198443.48922475724,361275.176848701,475159.9925609487,2517053.784811791,1450998.8031935238,1066054.9816182673,-41542.65052298045,237072.21668026398,388719.06954901473,481806.34227796755,2627710.1794278235,1475029.8657443183,1152680.313683505,-73040.40788133696,270523.44749196223,405880.9521282246,549316.3218286557,2251272.1395812305,1203860.3149062295,1047411.8236750019,-97739.32219222002,289913.81851318147,367331.3677052653,487905.96045877575,"Transport, storage, communication & services related to broadcasting",7
7.1,रेलवे,95652,34502,61150,-6345,12618,42894,11983,112593,40297,72296,-4458,14998,49025,12730,128856,50132,78724,-6734,17274,55176,13008,145491,53031,92459,-6932,22003,62741,14647,151165,50714,100451,-6968,24410,66658,16352,160070.385,53284.616,106785.768,-11028.368999999999,27524.643,84822.682,5467.219999999999,176157.01298419785,59573.49932239954,116583.51366179831,-12874.30518962324,31425.4483522948,92362.41689243389,5669.9536066928995,191675.040045,68079.1245,123595.915545,-15495.040678,36173.443916,96624.24225,6293.266423000001,202488.17047,67011.08965,135477.08082,-44999.800085,39853.960712,106939.66415,33683.255927,191660.919551,54854.208269999996,136806.71028099998,-66272.91983900001,42530.653294,105832.44153000001,54716.536106,Railways,7.1
