क्र.सं.,आर्थिक क्रियाकलाप,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,Economic Activity,Sl.no.
,,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,,
,,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,,
1.4,मत्‍स्‍यन एवं जलीय कृषि ,372,77,449,58,396,380,777,74,1026,661,1688,163,1058,754,1812,231,910,95,1004,282,905.32623307417,247.59750854211,1152.92374161628,322.20476040814,1237.387245426,172.099989409,1409.487234834,361.583825755,859.5437,313.7019,1173.2456,386.1877,780.1846,252.0777,1032.2623,411.2021,325.2439,144.2156,469.4596,417.3054,372,77,449,58,375,341,717,72,971,525,1496,155,947,657,1604,205,814,127,941,251,797.22572283587,328.74239241825,1125.96811525412,284.46869422412,1061.482232028,202.443974792,1263.92620682,312.71370501,702.8444,321.6566,1024.501,322.726,621.413,267.6638,889.0768,331.8703,248.5853,178.2255,426.8108,326.5743,fishing & aquaculture,1.4
2.,खनन एवं उत्‍खनन,14968,411,15379,12659,20969,3704,24673,13388,67266,4551,71818,15752,13817,1008,14825,16812,12065,1182,13247,16622,13365.5641365447,1931.16993651322,15296.7340730579,16920.1090973643,20814.702314748,2371.813881188,23186.516195935,17595.083430085,35649.4828,6.4716,35655.9544,19272.1367,21659.2469,-1417.5791,20241.6678,20137.1059,22307.5217,-2482.4755,19825.0462,21041.4292,14968,411,15379,12659,20036,3399,23435,12964,62790,3999,66789,14800,11954,918,12872,15028,10666,1283,11949,14717,10739.9553351093,2047.7429414619,12787.6982765712,14894.4960441575,17486.508421768,2286.459573729,19772.967995496,15190.408047194,27954.9181,5.6594,27960.5775,16004.0544,16860.2127,-1214.0866,15646.1261,16299.1355,16866.4795,-2182.8079,14683.6717,16667.114,mining & quarrying,2.
3.,विनिर्माण,400533,69183,469716,192093,438965,68029,506994,207308,438866,47058,485924,221791,502195,68814,571009,240620,579334,44826,624160,258134,570780.794666312,45828.2966704849,616609.091336797,276066.074635831,575048.968935303,116054.27199038,691103.240925683,295565.841189847,600483.1407,127656.3509,728139.4916,320071.4739,694087.4391,32642.092,726729.5312,342139.2248,553837.6731,-1314.1893,552523.4838,358730.4447,400533,69183,469716,192093,421806,64593,486400,200273,409479,43310,452790,208262,453671,61848,515519,216047,519879,41020,560899,230899,507480.294247673,41381.7272758101,548862.021523483,246671.02336109,503139.710932656,101991.725040044,605131.4359727,258840.058228262,505992.6026,108223.7162,614216.3189,270987.9156,574985.0777,27593.1602,602578.2379,284398.1328,451021.045,-1081.1285,449939.9165,294100.4771,manufacturing,3.
4.,"बिजली, गैस, जलआपूर्ति और अन्य उपयोगी सेवाएं",148183,3504,151687,15212,141843,3290,145134,22006,137149,1351,138500,28072,108658,2262,110920,33608,112547,2112,114659,37332,118314.420060238,1609.49720686207,119923.9172671,41450.3498560437,94117.161876422,2367.013867437,96484.175743859,45461.884450337,108107.9433,4078.1573,112186.1006,50312.8415,86629.3923,2374.5367,89003.9291,53422.139,106774.2503,-614.3182,106159.932,57683.6591,148183,3504,151687,15212,138026,3252,141278,21507,131205,1309,132514,27016,97985,2113,100098,30024,100598,2031,102630,33162,106277.126639446,1521.25969408153,107798.386333528,36886.2219291749,82121.001254653,2240.111032885,84361.112287538,39780.419843492,91201.3953,3698.6245,94900.0197,42737.4913,71408.0018,2119.6662,73527.668,44944.573,88724.9175,-520.5537,88204.3638,47719.5071,"electricity Gas, water supply and other utility services",4.
5.,निर्माण,75543,61226,136769,28739,115935,43190,159126,38834,65429,25273,90702,39855,45582,84822,130404,41250,49706,61944,111650,40124,80340.8862737167,6882.72717031311,87223.6134440298,44223.3972384021,72565.957373512,-21191.269555364,51374.687818148,47362.310596379,72090.5702,50352.3957,122442.9659,51448.0717,106830.2675,8249.2442,115079.5117,57365.3186,70146.2199,-47147.773,22998.4469,59652.5548,75543,61226,136769,28739,116563,40035,156597,38381,62632,22309,84941,39079,44068,74125,118194,37517,48924,56990,105913,36681,69722.4551364574,6230.42879029427,75952.8839267517,40399.4372493481,56713.767592544,-18100.412757495,38613.354835049,42380.048730048,59941.8251,40352.6,100294.4251,44111.5176,88104.8594,6547.4105,94652.27,47867.7757,58495.6075,-36522.9591,21972.6484,49087.9111,construction,5.
6.,"व्‍यापार, मरम्‍मत, होटल और जलपान गृह",65302,15752,81054,24895,111016,12242,123258,29159,88961,14684,103645,32349,111947,31981,143928,36468,138804,25371,164175,40512,141937.321640591,17318.5083882164,159255.830028807,44716.1137154087,163572.91598454,17358.212578297,180931.128562837,50451.291128744,162188.4548,33728.97,195917.4247,56585.094,175035.9935,-10435.152,164600.8415,60828.0248,97872.3679,-3380.2719,94492.096,64063.6123,65302,15752,81054,24895,104321,11449,115771,27580,80664,13043,93707,29478,98175,28080,126255,32133,123501,23120,146621,36193,124836.64260269,15513.4734688533,140350.116071544,39458.5616738033,137438.305052266,15108.003954618,152546.309006883,42783.718185238,129199.6501,28151.6648,157351.3149,45737.9905,137528.9072,-8566.0204,128962.8868,48466.2,75610.6217,-2739.3788,72871.243,49985.1981,"trade, repair, hotels & restaurant",6.
6.1,व्‍यापार और मरम्‍मत सेवाएं,46563,15098,61661,18599,90740,11734,102474,22137,75259,13915,89173,24878,92008,29832,121841,28422,108076,23099,131176,31836,116090.231316533,17718.2037307972,133808.43504733,35418.5381599217,137080.428565608,15946.616753931,153027.045319539,40254.634073961,132892.093,34110.9499,167003.0429,45402.6978,129982.7166,-10599.3898,119383.3267,48636.2593,81336.4301,-3101.9994,78234.4307,51435.7328,46563,15098,61661,18599,85326,10974,96301,20938,68296,12359,80655,22676,80775,26193,106968,25042,96142,21050,117192,28441,102197.633527513,15871.5102554954,118069.143783008,31254.3697010933,115186.175135246,13879.398463088,129065.573598333,34151.821843838,106265.2709,28470.4818,134735.7527,36742.0426,102377.1346,-8700.8401,93676.2944,38779.1448,62835.9103,-2513.8662,60322.0441,40155.1967,trade & repair services,6.1
6.2,होटल और जलपान गृह,18739,654,19393,6297,20276,508,20784,7022,13702,770,14472,7472,19938,2149,22088,8046,30728,2272,32999,8675,25847.090324058,-399.69534258079,25447.3949814772,9297.57555548698,26492.487418933,1411.595824365,27904.083243298,10196.657054783,29296.3617,-381.9799,28914.3818,11182.3961,45053.2769,164.2378,45217.5147,12191.7655,16535.9378,-278.2725,16257.6653,12627.8794,18739,654,19393,6297,18995,475,19470,6641,12368,684,13052,6802,17401,1887,19288,7092,27359,2070,29429,7752,22639.0090751776,-358.0367866421,22280.9722885355,8204.19197270998,22252.12991702,1228.60549153,23480.73540855,8631.8963414,22934.3792,-318.817,22615.5622,8995.9478,35151.7726,134.8197,35286.5924,9687.0553,12774.7114,-225.5126,12549.1989,9830.0014,hotels & restaurants,6.2
7.,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं",95053,388,95442,26381,101284,1660,102944,32065,222817,612,223429,52612,106598,3759,110357,61613,209841,3114,212956,71970,199031.674247564,-2047.58148877737,196984.092758786,83559.0734090897,336462.885638408,8601.071746139,345063.957384547,99560.37933201,410557.2564,4407.0553,414964.3117,120814.6595,408522.8464,-217.5039,408305.3425,140774.6605,372567.7067,620.7333,373188.44,156010.1189,95053,388,95442,26381,99036,1626,100662,31536,219172,530,219701,51340,94182,3268,97450,53367,184590,2852,187442,61343,168743.145219454,-1838.27818063088,166904.867038823,70731.9866717804,293597.124135286,7792.040523147,301389.164658432,83498.012013649,349445.9712,3238.6259,352684.5971,98361.7753,329165.6471,184.8631,329350.5102,112268.67,300448.4788,680.0176,301128.4964,122944.8707,"transport,storage & communication & services related to broadcasting",7.
7.1,रेलवे,2999,4,3003,699,9162,-8,9154,1836,9697,-4,9693,2970,24565,1,24565,6512,17542,7,17548,8315,20297.9356272927,5.29039671226,20303.226024005,9949.25097902548,20351.112196055,-1.574883091,20349.537312964,11457.106558085,22920.8499,-5.501,22915.3489,13475.4936,24891.1565,0.1101,24891.2667,15283.0802,26750.0421,-337.9462,26412.0958,16861.8294,2999,4,3003,699,9342,-7,9335,1846,9680,-3,9678,2925,20257,0,20258,5406,13827,5,13832,6610,16171.5056740591,3.81201596386,16175.3176900229,7904.40430053825,16106.107079535,-1.10260083,16105.004478705,9069.847622641,17344.8191,-3.6933,17341.1258,10242.7134,18469.137,0.0727,18469.2098,11380.3003,19848.9628,-220.3007,19628.662,12552.4341,railways,7.1
7.2,सड़क परिवहन,13908,203,14111,6367,13150,41,13191,6898,13720,126,13846,7632,13296,-136,13160,8382,19019,119,19137,9394,24567.9364195787,16.08674801244,24584.0231675912,11119.0851488145,21934.976368886,2371.871604376,24306.847973263,12374.177089528,41963.9046,-2504.8797,39459.0249,14327.5948,20593.1131,1911.5501,22504.6632,15396.4849,18088.5899,618.262,18706.8519,15996.0178,13908,203,14111,6367,12854,39,12893,6778,13206,120,13326,7364,12001,-128,11873,7646,16825,116,16941,8489,21116.8925038312,15.87125327821,21132.7637571095,9805.64518343683,18623.954555466,2364.780218465,20988.734773931,10632.607753231,36045.0336,-2534.8631,33510.1705,12012.6553,16404.3261,1932.8021,18337.1282,12391.7588,13729.8268,629.2163,14359.043,12311.5681,Road transport,7.2
7.3,जल परिवहन,3304,1158,4462,808,2711,1297,4008,972,2960,-416,2544,1111,1812,-452,1360,1200,2780,144,2924,1359,3207.73233351115,-87.41110069851,3120.32123281264,1432.70090476392,2148.170058709,102.840465995,2251.010524704,1491.83027248,1885.9275,72.5458,1958.4732,1574.8087,1999.0499,-4.5384,1994.5115,1667.33,4597.1378,-99.3523,4497.7855,2133.4188,3304,1158,4462,808,2694,1285,3979,964,2843,-392,2452,1080,1680,-421,1260,1107,2616,139,2755,1259,2923.23575967516,-82.94223988511,2840.29351979005,1304.70457756751,1815.072918209,94.81493038,1909.887848589,1320.769235872,1588.0985,64.1392,1652.2377,1364.2084,1612.1675,-3.9464,1608.2211,1376.1131,3618.5198,-85.2882,3533.2316,1670.7346,water transport,7.3
7.4,वायु परिवहन,4874,-34,4840,495,910,-125,785,518,4874,-34,4839,697,3136,543,3680,835,5211,-195,5016,1236,1054.42126677951,-689.62932931847,364.79193746105,1280.41364926271,3349.024225602,120.37959704,3469.403822642,1417.02287198,4640.696,54.4518,4695.1478,1666.4173,65269.518,287.1734,65556.6913,6765.8595,22034.3534,153.6755,22188.0288,7655.7825,4874,-34,4840,495,899,-117,783,514,4707,-30,4676,678,2898,477,3375,766,4659,-177,4481,1111,871.18395461794,-617.75217957018,253.43177504776,1130.13138120563,2897.710148873,104.774349314,3002.484498187,1224.745237678,3950.5872,45.4478,3996.0351,1405.0869,54215.6068,235.7352,54451.3421,5642.6191,17175.1785,124.5389,17299.7174,6017.5385,Air transport,7.4
7.5,परिवहन से संबंधित सेवाएं,28353,-1048,27305,5772,23146,129,23274,6821,9739,-571,9168,6976,9313,874,10187,7537,19160,1278,20438,8538,28055.4311887941,-287.99106681238,27767.4401219817,10263.4623393401,25665.340418149,388.353057377,26053.693475526,11303.404631596,24244.5261,748.9144,24993.4405,12569.9213,30278.925,-421.0541,29857.8709,13814.1634,31725.2876,1360.9744,33086.262,14920.8037,28353,-1048,27305,5772,22009,120,22129,6685,8955,-507,8448,6613,8308,768,9075,6614,16990,1165,18155,7492,23977.8974595557,-257.97497533335,23719.9224842224,8866.17954111337,21981.36927777,338.009429264,22319.378707034,9575.677545152,19716.1878,625.0765,20341.2643,10268.2166,24248.6757,-345.6354,23903.0403,11052.6057,24751.5068,1102.9362,25854.443,11752.0492,Services incidental to transport,7.5
7.6,भंडारण,1919,109,2028,246,957,94,1051,284,953,5,959,320,1565,175,1740,374,2276,197,2473,424,1661.87871367709,-97.22604584859,1564.65266782851,458.02747555876,3024.131494082,375.842998611,3399.974492693,582.190890332,3146.0495,87.0842,3233.1337,719.4767,5146.4889,-615.6529,4530.836,850.5672,3066.0079,-25.3458,3040.6621,910.8948,1919,109,2028,246,896,88,984,266,860,5,865,289,1374,153,1527,330,2050,180,2229,383,1468.66665132352,-87.09258609014,1381.57406523338,407.44288986541,2588.351966391,327.1210952,2915.473061591,497.177313709,2502.3143,72.6843,2574.9986,581.5292,4119.9075,-505.3779,3614.5296,679.7219,2354.9965,-20.5403,2334.4562,709.3552,Storage,7.6
7.7,संचार और प्रसारण से संबंधित सेवाएं,39696,-3,39693,11994,51249,232,51481,14737,180873,1505,182378,32906,52911,2755,55665,36774,143855,1563,145419,42705,120186.33869793,-906.70109082413,119279.637607106,49056.1329123243,259990.130876926,5243.35890583,265233.489782756,60934.64701801,311755.3028,5954.4399,317709.7427,76480.9471,260344.5951,-1375.0921,258969.503,86997.1753,266306.2881,-1049.5343,265256.7538,97531.3719,39696,-3,39693,11994,50341,217,50558,14484,178919,1337,180256,32391,47664,2419,50083,31498,127624,1425,129049,35999,102213.763216391,-812.19946899417,101401.563747397,41313.4787980534,229584.558189042,4563.643101353,234148.201290395,51177.187305366,268298.9307,4969.8345,273268.7651,62487.3656,210095.8264,-1128.7873,208967.0392,69745.5509,218969.4876,-850.5445,218118.9431,77931.191,Communication & services related to broadcasting,7.7
8.,वित्‍तीय सेवाएं,22467,11801,34268,3620,23554,3400,26953,4876,26182,-1980,24202,6122,29085,25114,54200,7572,40977,16803,57780,9842,34459.2759841056,-17765.5166367864,16693.7593473192,11450.3724700168,23151.586213053,20922.478691992,44074.064905045,12526.240123068,41111.8213,-6765.4647,34346.3566,15373.5352,45529.0357,2349.8749,47878.9106,17008.0667,58038.1184,148.3942,58186.5126,19450.1381,22467,11801,34268,3620,22682,3180,25861,4741,24292,-1759,22533,5764,25663,22050,47714,6580,35690,15313,51003,8517,30022.7290282086,-15913.8919372975,14108.8370909111,9862.46564967354,19512.578901706,18210.221207583,37722.800109289,10514.84909451,34037.2376,-5646.751,28390.4865,12427.5597,36216.066,1928.9682,38145.0342,13513.7865,45293.4033,120.2589,45413.6622,15311.1191,financial services,8.
9.,"स्‍थावर सम्‍पदा, आवास का स्वामित्व और व्‍यावसायिक सेवाएं",97666,6785,104451,19783,149860,40419,190279,33123,179183,39269,218452,45554,364999,65650,430649,85212,359819,60404,420223,112020,391296.864151381,34220.625558914,425517.489710295,138908.327076438,302888.837876975,48233.06468471,351121.902561685,155182.735694089,356981.623,39413.6185,396395.2416,179411.6688,440902.5399,12217.0472,453119.5871,199485.5083,468913.2092,9641.6809,478554.8901,225430.9111,97666,6785,104451,19783,148594,37801,186395,33056,169323,34879,204202,44107,309043,57642,366685,71677,304493,55045,359539,92877,330123.694668047,30653.9544165933,360777.64908464,115061.533129219,246791.566014622,41980.435987461,288772.002002083,126224.622397231,278144.5341,32896.3197,311040.8537,139766.1105,339034.1016,10028.7447,349062.8463,152517.1904,361320.8556,7813.6365,369134.4921,172116.3168,"Real estate, ownership of dwelling and professional services",9.
10.,लोक प्रशासन और रक्षा,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,public administration & defence,10.
11.,अन्‍य सेवाएं,58676,6855,65530,33655,65008,5254,70262,35549,80272,2476,82748,38011,84476,5028,89504,40560,123956,6085,130041,44572,136158.363879299,-1169.8116959811,134988.552183318,48785.1348730996,147093.062239054,1971.32373173,149064.385970784,53655.757396779,150646.0306,1580.7771,152226.8077,59593.6951,180752.022,1232.5568,181984.5788,64513.7643,69238.7653,209.4721,69448.2374,66911.4584,58676,6855,65530,33655,61666,4914,66580,34059,73207,2199,75405,35109,73795,4415,78210,35516,108239,5546,113785,39248,118563.801512474,-1047.88716801413,117515.91434446,42495.385991013,122285.637052914,1715.773821785,124001.410874698,45221.204731541,118475.1112,1319.3853,119794.4966,47912.4444,140701.499,1011.7827,141713.2817,51013.4383,53433.4734,169.7565,53603.2299,52056.0777,other services,11.
,कुल,980879,177156,1158036,357640,1172371,183465,1355836,417077,1312544,136339,1448883,481190,1374301,291192,1665493,565119,1634504,223770,1858274,632854,1692048.54785305,88539.8039588125,1780588.35181187,708070.817531893,1741760.10662245,197463.670106138,1939223.77672859,779578.501966819,1942652.7694,255957.8939,2198610.6633,875313.2003,2166168.6508,47361.5959,2213530.2467,958342.633,1821749.4919,-43198.584,1778550.9079,1031689.0597,980879,177156,1158036,357640,1136447,172314,1308761,404832,1238677,122305,1360982,455948,1214634,256774,1471408,499118,1442981,204780,1647761,555125,1471834.60228471,79951.1263555105,1551785.72864022,618156.941090313,1484141.99420114,173878.391162045,1658020.38536318,666289.312677536,1598303.9953,213418.7517,1811722.747,720010.9687,1738753.6146,39962.5259,1778716.1404,773378.3914,1452746.5124,-33444.2096,1419302.3028,822062.5374,Total,
