क्र.सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item,S.No.
3.3,मेटल उत्‍पाद ,229627.3943983423,248914.6279503588,286997.6316242784,273621.0889484816,232867.66188398542,273962.8041839389,333177.25474401575,368760.52370020293,350459.04315554316,368897.28380388167,229627.3943983423,238520.38896323912,277321.668567946,261205.5261961121,225306.12707176156,285206.46839871816,319554.5505965988,326297.65867708804,323404.8941819164,329138.1378486044,Metal Products,3.3
3.4,मशीनरी और उपकरण ,334669.51228540164,356231.1347575997,343383.1933341398,388960.8818712959,485167.9982946193,541055.1062694133,587161.4920298314,650441.8068322996,628777.8038177043,602031.6075450018,334669.51228540164,345731.24713759706,324994.20187082724,357016.99728428794,429549.71242981375,474418.3902321843,533307.0363132556,580846.5596213783,554515.322707562,519452.8835045103,Machinery and Equipment,3.4
3.5,अन्‍य विनिर्मित वस्तुएं ,524926.8775658148,611482.8635492984,660973.4387372094,780315.429224305,913963.6510758911,955880.7294329182,1035726.1520361109,1091379.7916257468,1038056.5408545987,1094479.5979137316,524926.8775658148,570684.0905181176,588421.8942132901,691648.762461565,806908.099576672,831096.5724680538,861327.3515042532,863151.81692175,841462.4121321746,902212.1411856429,Other Manufactured Goods,3.5
4,"बिजली, गैस, जलापूर्ति और अन्य उपयोगी सेवाएं ",186668,215349.64503180172,260154.6073373651,282257.7751813473,334964.6119320329,355708.5482008491,425717.7288413385,449458.92811915354,501617.5270982005,507352.2537191666,186668,191635,199601,214047,224158,246496,272650.01959262486,294147,300674.92311066214,289771.2239603901,"Electricity, gas, water supply & other utility services",4
5,निर्माण,777334.5489456842,849364.8969701743,921469.9794888992,979085.8727693355,991083.6993629794,1080870.099019691,1200413.843739152,1352117.8317402853,1372759.2516157215,1315607.9389771635,777334.5489456842,780050.1069612007,800770.8800958128,835228.6247033249,865334.9309537517,916444.6742254922,964305.6677172473,1026789.1901083292,1038679.7915017642,962835.4003245682,Construction,5
6,"व्यापार, मरम्मत, होटल और जलपान गृह",883582.3027736879,1054532.740093182,1184560.2692919741,1320833.4630119526,1433968.8371444994,1609000.7686344583,1881394.5686809479,2136707.2547521,2325812.375635536,1818981.364425219,883582.3027736879,981620,1034506,1135841.459189551,1261425.841933559,1389322.4352028195,1568174.6632799678,1707780.608260181,1828424.8089045521,1418045.0544811084,"Trade, repair, hotels and restaurants",6
6.1,व्यापार और मरम्मत सेवाएँ,793681.4704874677,954683.2071877631,1078420.555921595,1206474.386735542,1307323.2080548878,1468582.971625729,1722671.47928513,1955798.46669225,2129685.57300562,1732820.99445523,793681.4704874677,888665,941941,1037640.1767448443,1150121.2386701694,1268230.241202099,1435983.8091104499,1563236.99320311,1674209.70909303,1350823.0654894,Trade & repair services,6.1
6.2,होटल और रेस्तरां,89900.83228622019,99849.53290541901,106139.71337037908,114359.07627641059,126645.62908961155,140417.79700872925,158723.0893958179,180908.78805985,196126.802629916,86160.369969989,89900.83228622019,92955,92565,98201.2824447066,111304.60326338945,121092.19400072045,132190.85416951802,144543.615057071,154215.099811522,67221.9889917086,Hotels & restaurants,6.2
7,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं",529533.7596600023,609452.9712448966,689906.3393339096,786763.0446056454,860544.0115663612,930155.0866950132,997527.6251989417,1066054.981134642,1152680.3135151851,1047411.8241135716,529533.7596600023,569523,617556,671847.8815295924,731398.9035068869,757056.1966909525,800244.7397970115,830976.6780494504,861300.9910466406,729634.2884103055,"Transport, storage, communication & services related to broadcasting",7
7.1,रेलवे,61150,72295.50752432295,78723.98342190606,92459.44340334059,100450.92042956509,106785.76808896486,116583.51366179842,123595.91506137468,135477.08065168007,136806.71071956944,61150,69162,73685,80720,85452,82161,87885.77032651205,91349.64764983777,82302.80913846866,67154.224292601,Railways,7.1
