क्र॰ स॰   मद,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,Sr. No,Items
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,,
,(-0.2),(-2.4),(1.5),(-0.4),(1.3),(-4.2),(5.0),(2.4),(0.3),(-0.5),(1.4),(2.5),(-3.6),(-1.5),(2.9),(2.3),(-0.6),(0.9),(0.2),(2.3),(0.7),(1.5),(1.0),(4.5),(1.5),(2.7),(2.4),(4.1),(2.3),(2.4),(2.4),(-1.8),(1.6),(-0.4),(-0.1),(0.6),(1.3),(-0.2),(1.1),(-2.9),(2.4),(-1.2),(2.3),(-0.8),,
सकल देशीय उत्पाद,2043496.29115249,2029469.1651718912,2244852.229057348,2418511.1255092896,2313203.0928381416,2356953.274968776,2548377.826465527,2725478.911893716,2565374.445072557,2686203.225902797,2921070.0441759545,3060874.1383959404,2914393.223745723,3053982.0312102744,3184917.0634663645,3314666.8048581267,3243543.3613129053,3355884.42395621,3476632.468454043,3695813.62513326,3639774.6060400945,3754117.027647742,3875006.7021133816,4122770.6790721538,4008915.9587264,4157246.3475745,4339193.5219776,4584686.0032455,4569369.1096045,4656017.010858,4872998.3356043,4801283.9885189,4942455.1357706,4861652.3802143,5130411.5990831,5140336.6769283,3873443.3976122,4721818.866938,5448542.2705423,5757109.4476783,5126789.2562075,5620166.0058137,6302446.5347211,6615235.196287,,Gross domestic product
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note-Totals may not tally due to rounding off.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(स्थिर भावों पर  at 2011-12 prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
क्र॰ स॰   मद,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,Sr. No,Items
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,,
1 निजी अंतिम उपभोग व्यय,1236604.3565237487,1127292.9332339175,1264939.5002329268,1281610.4978207028,1225156.8145791534,1224958.834796965,1377374.4045737328,1351601.696178629,1321378.636428513,1299202.942254232,1473208.3458473037,1463539.4214583512,1417165.1441509046,1412804.0170126571,1504575.6093839898,1578111.950342279,1517932.642857328,1513130.3044957425,1633448.364355927,1716907.4042260402,1623632.8085153007,1658457.33762422,1816561.265398881,1801584.5937280632,1763224.962019,1738953.3228179,1892042.0883111,1936508.1124604,1874397.6927835,1888258.4873029,2033402.7170318,2054385.0023599,2009311.7475298,2004859.1824409,2157091.4408898,2088441.9740867,1532169.6508317,1839176.9287898,2169131.080452,2223256.1989937,1753399.6212916,2031623.8077879,2330425.0636019,2262405.2383159,1,Private final consumption expenditure
,(58.8),(55.2),(56.8),(54.2),(55.6),(55.8),(58.7),(54.8),(56.3),(55.1),(59.0),(56.3),(55.9),(55.1),(56.9),(56.7),(55.6),(54.7),(57.6),(56.5),(54.8),(54.6),(59),(55.8),(56),(54.4),(57.6),(55.1),(55.4),(55.5),(58.3),(55.3),(56.6),(56.5),(59.9),(54.7),(56.7),(55.5),(59.8),(56.7),(54),(56.6),(61),(55.5),,
2 सरकारी अंतिम उपभोग व्यय,204165.14586691145,257146.7025830316,220375.09845720782,286688.05309284927,228822.6025094001,286153.23797594814,189644.93813293581,269642.1910609441,272180.5898325367,279484.7085333101,195395.19570821707,232764.62427400332,278563.6130263772,307608.7388773169,251973.18591831814,216005.34165408812,291843.21089343674,335329.0485898129,272799.1732177755,232831.06527964724,298932.95608064724,343179.35067603074,289775.4032693332,269710.3629807191,363307.4318805,368364.4310764,319987.0576362,293183.7124897,387340.6870723,398077.8198165,331282.7758503,318243.9143711,377951.4283296,418371.7670989,345786.0721771,342163.1167145,429240.6401468,322530.0593895,344608.7184404,441224.076678,408788.5328064,351138.0128332,354889.0227141,462316.2192702,2,Government final consumption expenditure
,(9.7),(12.6),(9.9),(12.1),(10.4),(13.0),(8.1),(10.9),(11.6),(11.9),(7.8),(9.0),(11.0),(12.0),(9.5),(7.8),(10.7),(12.1),(9.6),(7.7),(10.1),(11.3),(9.4),(8.4),(11.5),(11.5),(9.7),(8.3),(11.5),(11.7),(9.5),(8.6),(10.6),(11.8),(9.6),(9),(15.9),(9.7),(9.5),(11.3),(12.6),(9.8),(9.3),(11.3),,
3 सकल स्थायी पूंजी निर्माण,696954.7909597296,727748.9168403633,752161.7415899502,820867.2241265661,763691.7854355896,767235.0180571768,769338.9285106964,845527.4628052798,785524.8767485518,779670.093744138,787578.6243009886,842150.7152331959,808569.27134256,815553.1775705741,793636.7231127317,860336.9233420865,838302.1975924425,844359.451346318,874854.6829719632,934666.7257346085,953527.4040822448,913934.7874018458,933180.017978569,986925.0909869144,963708.6984343,972543.4458525,1019643.7743294,1127183.1722988,1102111.8385634,1097684.6198218,1150660.2960944,1190052.4871493,1197344.4120573,1093791.2795672,1135023.4914831,1184862.2923605,654479.239798,1044735.3727463,1128117.2372504,1303947.2194758,1063543.3203457,1197407.6132057,1152013.5876073,1371089.7025172,3,Gross fixed capital formation
,(33.1),(35.6),(33.8),(34.7),(34.6),(34.9),(32.8),(34.3),(33.5),(33.1),(31.5),(32.4),(31.9),(31.8),(30.0),(30.9),(30.7),(30.5),(30.8),(30.8),(32.2),(30.1),(30.3),(30.6),(30.6),(30.4),(31),(32.1),(32.6),(32.3),(33),(32),(33.7),(30.8),(31.5),(31),(24.2),(31.6),(31.1),(33.3),(32.8),(33.4),(30.1),(33.6),,
4 स्टॉक में अंतर,52515.895196528,49135.349825928395,49219.42317691568,57112.47234153042,48568.68514932766,50684.93005921465,48221.46425615316,54053.035437548584,31849.08981382638,32224.165970125214,31359.36515141121,34325.35038420816,68881.0095849077,69140.1689775009,63605.11992025307,73124.77443402156,58663.81744683024,59498.16004876631,56667.722530901905,64727.14245918087,30561.573897052156,30378.28623928957,29099.758376320475,32599.715408467742,47837.2804298,51708.8101557,50223.218982,56666.9568065,63762.3134451,65794.9095108,63606.6928429,69606.8780259,27080.5835007,26950.614915,26083.0766815,28169.2787369,-1994.8414102,-3047.6403243,-3040.3043783,-3490.0688889,43907.0711813,47530.8977337,45049.5160212,51449.8731517,4,Change in stock
,(2.5),(2.4),(2.2),(2.4),(2.2),(2.3),(2.1),(2.2),(1.4),(1.4),(1.3),(1.3),(2.7),(2.7),(2.4),(2.6),(2.2),(2.1),(2.0),(2.1),(1),(1),(0.9),(1),(1.5),(1.6),(1.5),(1.6),(1.9),(1.9),(1.8),(1.9),(0.8),(0.8),(0.7),(0.7),(-0.1),(-0.1),(-0.1),(-0.1),(1.4),(1.3),(1.2),(1.3),,
5 बहुमूल्य,59926.72776687082,65430.20276586915,60517.138877874466,67159.26387666557,69769.10758151913,64580.46099683427,60195.958901288745,65403.75178333408,37116.57356364078,37741.66997256133,32398.864817070607,41621.98541661529,49133.3179553938,45222.79762370133,40230.95916998781,53369.71498139399,41485.49505331603,48494.57807042865,45507.31206129024,50499.02063067303,35095.08523284474,37226.325012095134,35698.26630244391,43459.19606461983,69319.1354124,51039.5460981,43541.0819309,48406.7520127,46449.2730862,50462.1320514,44382.5646063,50410.4643394,43887.3058867,44241.7802804,37118.5329403,39279.1387686,3789.9079198,52355.8736334,50916.6941596,100917.7767111,23329.3531031,142227.5701205,77891.4962129,51597.4693311,5,Valuables
,(2.8),(3.2),(2.7),(2.8),(3.2),(2.9),(2.6),(2.7),(1.6),(1.6),(1.3),(1.6),(1.9),(1.8),(1.5),(1.9),(1.5),(1.8),(1.6),(1.7),(1.2),(1.2),(1.2),(1.3),(2.2),(1.6),(1.3),(1.4),(1.4),(1.5),(1.3),(1.4),(1.2),(1.2),(1),(1),(0.1),(1.6),(1.4),(2.6),(0.7),(4),(2),(1.3),,
