Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
विवरण 2.1A : लेखों का अनुक्रम - सार्वजनिक गैर-वित्‍तीय निगम -विभागीय उद्यम,,,,,,,,,,,,,
Statement 2.1A: Sequence of Accounts - Public Non-financial corporations - Departmental Enterprises,,,,,,,,,,,,,
,,,,,,,,,,,,,
उत्‍पादन लेखा,,,,,,,,Production Account,,,,,
,देनदारियों में निवल वृद्धि,44367,45800,48582,53613,66667,84301.963,72054.487,80661.3723956734,88735.6392116034,70489.3133240746,Net incurrence of liabilities,
F1,मौद्रिक सोना और एसडीआर,,,,,,,,,,,Monetary gold and SDRs,F1
F2,मुद्रा और जमा राशि,,,,,,,,,,,Currency and deposits,F2
F3,ऋण प्रतिभूतियां,,,,,,,,,,,Debt Securities,F3
F4,ऋण,,,,,,,,,,,Loans,F4
F5,इक्विटी और निवेश कोष के शेयर,,,,,,,,,,,Equity and investment fund shares,F5
F6,"बीमा, पेंशन और मानकीकृत जमानत योजना",,,,,,,,,,,"Insurance, pension and standardised guarantee scheme",F6
F7,वित्तीय डेरिवेटिव और कर्मचारी स्टॉक विकल्प,,,,,,,,,,,Financial derivatives and employee stock options,F7
F8,देय राशि संबंधी अन्य खाते,44367,45800,48582,53613,66667,84301.963,72054.487,80661.3723956734,88735.6392116034,70489.3133240746,Other accounts payable,F8
B9,निवल प्रदत्त ऋण (+)/ निवल प्राप्त ऋण (-),-41875,-42363,-44114,-48505,-59315,-77117.963,-67166.457,-67982.9887956734,-71810.7617116034,-54869.3133240746,NET LENDING (+) / NET BORROWING (-),B9
परिसंपत्तियों में परिवर्तन,,,,,,,,,,,,,CHANGES IN ASSETS
,वित्तीय परिसम्‍पत्‍तियों का निवल अधिग्रहण,2492,3436,4468,5108,7352,7184,4888.03,12678.3836,16924.8775,15620,Net acquisition of financial assets,
F1,मौद्रिक सोना और एसडीआर,,,,,,,,,,,Monetary gold and SDRs,F1
F2,मुद्रा और जमा राशि,,,,,,,,,,,Currency and deposits,F2
F3,ऋण प्रतिभूतियां,,,,,,,,,,,Debt Securities,F3
F4,ऋण,,,,,,,,,,,Loans,F4
F5,इक्विटी और निवेश कोष के शेयर,2492,3436,4468,5108,7352,7184,4888.03,12678.3836,16924.8775,15620,Equity and investment fund shares,F5
F6,"बीमा, पेंशन और मानकीकृत जमानत योजना",,,,,,,,,,,"Insurance, pension and standardised guarantee scheme",F6
F7,वित्तीय डेरिवेटिव और कर्मचारी स्टॉक विकल्प,,,,,,,,,,,Financial derivatives and employee stock options,F7
F8,प्राप्य राशि संबंधी अन्य खाते,,,,,,,,,,,Other accounts receivable,F8
,,,,,,,,,,,,,
टिप्पणियां:,,,,,,Notes:,,,,,,,
1.निवल पूंजी निर्माण में बहुमुल्य सम्मिलित नही है।,,,,,, 1. NCF excludes valuables. ,,,,,,,
