"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2016-17",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
1.2,आर्थिक सहायता,2499.29,0,27.81,432205.29,332.6,97609.71,83139.81,80720.41,325.2,44796.25,125281.31,0,766.46,276.22,0,276.22,2446.29,1727,121.58,1605.42,25453.91,465402.27,subsidy,1.2
1.3,पूंजीतर हस्‍तांतरण,196785,1078,3015,162977,10483,61672,26127,32047,11705,11415,9529,902,135234,51546,9202,42343,8872,309081,9478,299603,148648,1018138,Current Transfer ,1.3
1.3.1,स्थानीय निकायों को पूंजीतर हस्‍तांतरण,45249.98,0,133.89,20327.84,3825.91,3232.27,857.33,202.53,4129.26,7693.51,387.03,227.62,79975.57,8839.69,3016.37,5823.32,871.73,80392.3,803.01,79589.29,26929.89,262948.51,current transfers to local bodies,1.3.1
1.3.2,अन्य पूंजीतर हस्‍तांतरण,151535.203,1078.3,2880.61,142648.93,6657.12,58439.26,25269.45,31844.53,7575.45,3721.57,9141.55,674.46,55257.98,42705.883,6185.95,36519.933,8000.2,228688.961,8675.12,220013.841,121718.53,755189.057,other current transfers,1.3.2
2,पूंजीगत व्यय ,74195,91926,19328,318270,57016,30325,23626,35007,27531,138971,5794,222,131833,17542,1226,16316,5935,56803,3515,53288,28391,744445,Capital Expenditure,2
2.1,सकल पूंजी निर्माण ,41349,91881,16720,178407,6469,13174,11748,4964,23430,113000,5620,8,49990,13397,950,12447,4338,36139,1603,34536,13321,445550,GCF ,2.1
2.1.1,सकल स्‍थायी पूंजी निर्माण,40374.36,90691.63,16732.65,172489.27,6469.43,13114.18,11739.87,4964.36,22558.79,110968.69,2673.95,8.31,49819.44,13389.7,949.89,12439.81,4338.03,36105.02,1602.93,34502.09,13119.19,437067.6,GFCF,2.1.1
2.1.2,स्‍टॉक में अंतर,974.71,1189.11,-12.4,5917.66,-0.04,60.28,8.36,0,871.59,2031.6,2945.87,0,170.35,7.01,0,7.01,0.01,34.1,-0.13,34.23,202.18,8482.73,CIS,2.1.2
2.2,पूंजी हस्तांतरण,32846,45,2608,139863,50547,17151,11878,30043,4101,25971,174,214,81843,4145,276,3869,1597,20664,1912,18752,15070,298895,Capital Transfer,2.2
2.2.1,स्थानीय निकायों को पूंजी हस्‍तांतरण,9252.83,0,0,21899.04,18805.13,639.88,93.89,312.6,1552.93,493.59,1.02,0,27992.06,69.92,0,69.92,7.27,226.71,22.6,204.11,5427.6,64875.43,capital transfers to local bodies,2.2.1
2.2.2,अन्य पूंजी हस्‍तांतरण,23593.43,45.07,2608.38,117964.3,31741.43,16510.94,11783.89,29730.44,2547.72,25477.2,172.68,213.54,53851.17,4075.21,275.85,3799.36,1589.98,20437.5,1889.36,18548.14,9642.7,234021.28,other capital transfers,2.2.2
3.1,स्टॉक में निवल निवेश,5706.7,0,-0.39,100642.49,27329.42,13013.46,3833.49,49481.11,111.58,5431.13,1442.3,0,2128.83,4.49,1.79,2.7,533.74,0.48,-0.01,0.49,1280.89,110297.23,Net Investment in Stock,3.1
3.2,ऋण और अग्रिम,50219,3,12,108449,1094,1412,4640,70385,2385,4015,24518,0,18869,569,0,569,54,158,0,158,276,178609,Loans and Advances ,3.2
3.2.1,स्थानीय निकायों को ऋण व अग्रिम,644,0,0,4252.8,0,13.34,99.83,375.9,1669.64,1851.01,243.08,0,998.07,0.79,0,0.79,2.44,0,0,0,0,5898.1,loans & advances to local bodies,3.2.1
3.2.2,घरेलू क्षेत्र को ऋण और अग्रिम,49575.09,2.82,11.91,104196.56,1093.68,1398.43,4539.84,70009.33,715.54,2164.41,24275.33,0,17870.81,567.74,0,567.74,52,158.02,0.22,157.8,276.4,172711.35,loans & advances to domestic sector,3.2.2
4,कुल व्यय,477344,378709,223324,1168157,105211,242523,144293,268745,55982,179561,171843,1545,317755,181741,23440,158300,26321,678530,25833,652697,263229,3716655,Total expenditure,4
5,अंतिम उपभोग व्यय,147939,285702,200941,45615,8956,38491,2927,1105,13924,-25067,5279,421,28924,111803,13010,98793,8480,310761,12718,298043,59179,1199765,Final Consumption Expenditure,5
5.1,व्यक्तिगत उपभोग व्यय,0,0,0,0,0,0,0,,,0,0,0,0,98793,0,98793,8480,298043,0,298043,51294.886,456610.886,Individual Consumption Expenditure,5.1
5.2,सामूहिक उपभोग व्यय,147939,285702,200941,45615,8956,38491,2927,1105,13924,-25067,5279,421,28924,13010,13010,0,0,12718,12718,0,7884.114,743154.114,Collective consumption expenditure,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,
* व्यय में स्थानीय प्राधिकरणों का व्यय एवं स्थायी पूंजी अवक्षय सम्मिलित नहीं है।,,,,,,,,,,,,,,*Expenditure excludes expenditure of local bodies and CFC.,,,,,,,,,,,
