"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2015-16",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
1.2,आर्थिक सहायता,1925.4899999999998,0,45.73,426544.31000000006,33.16,108148.82,62818.29,67091.70999999999,190,31968.55,156293.78,0,295.37,0.18,0,0.18,13501.640000000001,1464.46,0,1464.46,16830.45,460607.63000000006,subsidy,1.2
1.3,पूंजीतर हस्‍तांतरण,182321,1044,2594,156805,6891,51106,35654,34625,10467,13716,4347,726,107678,47562,9877,37685,7463,277649,10795,266854,146509,930351,Current Transfer ,1.3
1.3.1,स्थानीय निकायों को पूंजीतर हस्‍तांतरण,41074.11,0,98.28,14684.810000000001,300.69,3524.79,1205.38,536.5699999999999,3254.02,5470.51,392.85,144.37,61043.75,8262.22,3417.24,4844.98,818.47,76184.86,2647.75,73537.11,23508.75,225819.62,current transfers to local bodies,1.3.1
1.3.2,अन्य पूंजीतर हस्‍तांतरण,141246.71740000002,1043.8,2495.75,142120.18,6590.62,47580.91,34448.24,34088.4,7213.12,8245,3953.89,581.47,46634.6,39299.37,6459.349999999999,32840.02,6644.379999999999,201464.24999999997,8147.57,193316.68,123000.68,704531.1974,other current transfers,1.3.2
2,पूंजीगत व्यय ,65798,86008,17767,245353,42844,21915,13185,25423,22436,114770,4781,586,104504,15888,846,15042,5370,49255,2729,46526,22665,613194,Capital Expenditure,2
2.1,सकल पूंजी निर्माण ,36067,85988,15182,145310,3694,12291,8246,5461,17264,94119,4235,93,44270,13400,597,12803,4002,31825,1335,30490,13723,389860,GCF ,2.1
2.1.1,सकल स्‍थायी पूंजी निर्माण,36043.51,84877.84999999999,15184.14,143653.69,3693.89,12223.29,8246.49,5460.67,16819.99,93508.8,3700.56,92.55,44292.780000000006,13393.840000000002,596.65,12797.19,4001.7,31793.629999999997,1335.1,30458.53,13536.289999999999,386869.98000000004,GFCF,2.1.1
2.1.2,स्‍टॉक में अंतर,23.129999999999995,1110.08,-2.06,1656.5899999999997,0,67.82,-0.17,-0.01,444.13,609.9399999999999,534.88,0,-22.83,6,0,6,0.07,31,0,31,186.71,2988.69,CIS,2.1.2
2.2,पूंजी हस्तांतरण,29731,20,2585,100043,39150,9624,4939,19962,5172,20651,546,493,60234,2488,249,2239,1368,17430,1394,16036,8942,223334,Capital Transfer,2.2
2.2.1,स्थानीय निकायों को पूंजी हस्‍तांतरण,7387.0599999999995,0,0,6147.22,391.86,1677.74,132.87,10.5,2614.85,1293.73,25.67,0,23017.190000000002,40.33,0,40.33,17.33,299.71000000000004,0,299.71000000000004,3604.15,40512.990000000005,capital transfers to local bodies,2.2.1
2.2.2,अन्य पूंजी हस्‍तांतरण,22344.2,19.74,2584.5699999999997,93896.01,38757.82,7946.22,4805.65,19951.690000000002,2557.31,19357.39,519.93,492.76,37217.3,2448.12,249.42,2198.7,1350.5400000000002,17130.16,1394.15,15736.01,5337.69,182821.09,other capital transfers,2.2.2
3.1,स्टॉक में निवल निवेश,71805.81999999999,0,461.3,97089.01000000001,25740.24,15626.4,2391.47,42825.96,103.75,7814.91,2586.2799999999997,-0.02,3091.4700000000003,62.96,0,62.96,480.06,-0.01,-0.01,0,1283.13,174273.72,Net Investment in Stock,3.1
3.2,ऋण और अग्रिम,13238,0,43,109915,17,878,5287,74694,3478,4074,21486,1,12164,107,15,92,13,234,2,231,270,135985,Loans and Advances ,3.2
3.2.1,स्थानीय निकायों को ऋण व अग्रिम,27,0,0,1503.27,0,0,66.43,330.62,301.76,728.09,76.37,0,840.9,2.09,0,2.09,0,0,0,0,0,2373.26,loans & advances to local bodies,3.2.1
3.2.2,घरेलू क्षेत्र को ऋण और अग्रिम,13210.9,0,43.09,108411.39,17.13,877.59,5220.52,74363.77,3176.38,3346.39,21409.61,1,11323.23,105.19,15,90.19,12.78,233.6,2.15,231.45,269.91,133611.09000000003,loans & advances to domestic sector,3.2.2
4,कुल व्यय,464088,326443,195102,1107682,83384,234855,130555,247303,48104,168594,194888,1791,254588,163403,24195,139208,28259,608107,29155,578951,241271,3390734,Total expenditure,4
5,अंतिम उपभोग व्यय,129000,239391,174191,71976,7859,37181,11220,2643,11429,-3750,5394,478,26856,99783,13457,86326,1431,279505,15629,263876,53714,1076325,Final Consumption Expenditure,5
5.1,व्यक्तिगत उपभोग व्यय,0,0,0,0,0,0,0,,,0,0,0,0,86326,0,86326,1431,263876,0,263876,47620.82213002079,399253.82213002077,Individual Consumption Expenditure,5.1
5.2,सामूहिक उपभोग व्यय,129000,239391,174191,71976,7859,37181,11220,2643,11429,-3750,5394,478,26856,13457,13457,0,0,15629,15629,0,6093.177869979212,677071.1778699792,Collective consumption expenditure,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,
* व्यय में स्थानीय प्राधिकरणों का व्यय एवं स्थायी पूंजी अवक्षय सम्मिलित नहीं है।,,,,,,,,,,,,,,,*Expenditure excludes expenditure of local bodies and CFC.,,,,,,,,,,
