क्र. सं,आर्थिक क्रियाकलाप,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,Economic Activity,Sl.no.
,,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,स. स्था. पू. नि.,स्टॉ. में अं.,स.पू.नि.,स्था. पू. अ.,,
,,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,GFCF,CIS,GCF,CFC,,
1.4,मत्‍स्‍यन,6,1,6,3,10,0,10,4,8,0,8,4,-2,0,-2,3,4,0,4,3,3.33,0.300238169,3.630238169,3.4401097176,4.35,0.46687,4.81687,3.54728,14.77,2.75615,17.52615,3.96789,9.47,1.0247,10.4947,4.2428,9.47,0.7008,10.1708,4.5039,6,1,6,3,9,0,10,3,7,0,7,4,-2,0,-2,3,4,0,4,3,2.970274309,0.3986349239,3.3689092329,3.0684385797,3.77129,0.54918,4.32047,3.13276,12.06286,2.82604,14.88889,3.39094,7.7687,1.088,8.8568,3.5204,7.5882,0.8661,8.4543,3.6398,fishing,1.4
2.,खनन एवं उत्‍खनन,44664,-439,44225,18190,49254,-584,48671,21214,73300,77,73377,25653,48373,2858,51231,28042,40353,3114,43466,30755,43709.21,-103.6710995277,43605.5389004723,32159.1880048871,47218.67,-2627.40053,44591.26947,34043.9283,36522.1,-1686.48889,34835.61111,35242.07561,34611.53,-4595.2909,30016.2391,36422.0748,35804.44,1940.3663,37744.8063,37883.3573,44664,-439,44225,18190,45815,-536,45279,19838,63573,67,63640,22489,40353,2604,42957,23515,27582,3378,30960,24811,34588.3947594791,-109.9290944197,34478.4656650595,25279.8503686931,35018.54984,-2532.84844,32485.7014,25912.11597,26629.83412,-1474.84686,25154.98727,25882.97871,24150.9632,-3935.6401,20215.3231,25599.9769,24563.7962,1706.1384,26269.9346,25356.3922,mining & quarrying,2.
3.,विनिर्माण,49251,4865,54116,25082,45941,6985,52927,27100,50762,3262,54023,28946,50930,-14244,36686,30716,57100,-914,56186,33196,52203.2278403848,23884.9412122624,76088.1690526473,34409.4955613503,52400.18866,-4949.79962,47450.38904,35708.92152,64734.02044,13291.76273,78025.78317,37829.74526,70014.4864,14213.5679,84228.0544,39780.9832,61779.3081,9026.3651,70805.6732,40780.0197,49251,4865,54116,25082,43954,6633,50587,26061,47279,3002,50281,27144,46360,-12802,33558,28105,52404,-837,51567,30294,48291.9521257642,21567.4636644562,69859.4157902204,31668.9848432873,46943.49345,-4350.0217,42593.47174,32382.375,55519.26514,11268.40888,66787.67402,33384.54905,59360.5635,12015.0772,71375.6407,34549.7409,51250.2195,7425.6121,58675.8316,35017.8813,manufacturing,3.
4.,"बिजली, गैस, जलआपूर्ति और अन्य उपयोगी सेवाएं",152365,3165,155530,47214,167247,3152,170399,52688,174839,3815,178654,58013,223861,3647,227507,65420,295001,3828,298829,71570,244452.978229453,5965.5950847028,250418.573314155,77251.1517700872,232588.08585,3280.40002,235868.48587,83375.79859,317501.85305,4248.93046,321750.78351,92912.20365,305011.4835,5844.3753,310855.8587,99490.341,282585.8035,4263.2601,286849.0635,106773.4748,152365,3165,155530,47214,158737,3112,161848,50330,161712,3608,165320,54044,199026,3392,202417,58475,263839,3636,267475,64532,218580.069616737,5667.5485398478,224247.618156585,69460.4398020574,199378.7333,3156.19933,202534.93263,72881.4413,262264.4366,3815.53935,266079.97594,78525.26167,251458.8853,5128.8326,256587.7179,83758.3128,224571.5702,3879.6223,228451.1925,87503.2647,"electricity Gas, water supply and other utility services",4.
5.,निर्माण,29042,1285,30326,3621,33191,1145,34336,4412,43802,1204,45007,5329,41914,4547,46461,6044,69829,2104,71933,7126,84444.91,3224.1796735227,87669.0896735226,8686.5554833337,126993.40797,3187.38876,130180.79673,11572.60592,157369.51731,5206.67423,162576.19154,15383.60806,113935.8427,1980.153,115915.9957,17424.0915,163601.8027,1053.167,164654.9696,20820.3037,29042,1285,30326,3621,30708,1061,31770,4093,39124,1063,40187,4778,36391,3974,40365,5352,62806,1935,64742,6507,74412.0326687416,2918.6137073167,77330.6463760583,7826.974137144,105246.92822,2722.49154,107969.41977,9842.89256,123458.86447,4172.64838,127631.51286,12331.31265,88449.9157,1571.6439,90021.5597,13868.2085,123534.2935,815.8344,124350.1279,16125.1783,construction,5.
6.,"व्‍यापार, मरम्‍मत, होटल और जलपान गृह",494,6329,6822,517,520,5756,6276,525,741,-8379,-7638,542,1021,20185,21206,580,1443,6546,7990,602,1754.94,-2190.2565252572,-435.3165252572,640.7422558481,2054.88,13060.09817,15114.97817,697.28696,2280.7718,9779.13302,12059.90482,768.8209,2235.01,41555.9725,43790.9825,815.3985,1255.0075,12965.8376,14220.8451,837.0356,494,6329,6822,517,493,5383,5876,504,677,-7442,-6765,503,900,17723,18623,517,1289,5965,7254,541,1575.0334936484,-1961.9753464264,-386.941852778,573.7081659771,1755.67052,11367.06984,13122.74036,604.71797,1959.74543,8162.0896,10121.83503,643.21161,1908.3533,34112.5176,36020.871,675.3763,1124.6888,10507.5393,11632.2281,684.6221,"trade, repair, hotels & restaurant",6.
6.1,व्‍यापार और मरम्‍मत सेवाएं,410,6318,6728,409,379,5748,6127,416,478,-8369,-7891,427,908,20183,21091,464,1189,6542,7731,484,1384.53,-2185.3089283794,-800.7789283794,513.4937210674,1798,13066.87407,14864.87407,560.23789,1785.0218,9781.34439,11566.36619,615.56588,1922.07,41577.2323,43499.3023,660.9319,1941.55,12979.9621,14921.5121,708.5444,410,6318,6728,409,360,5376,5736,399,437,-7433,-6996,396,799,17721,18520,411,1058,5962,7020,433,1246.4455710675,-1957.5434166564,-711.0978455889,458.397711506,1536.18546,11372.96737,12909.15282,484.68936,1560.83643,8163.93531,9724.77174,514.29675,1660.7062,34129.9694,35790.6757,548.2474,1651.9244,10518.9858,12170.9102,581.5835,trade & repair services,6.1
6.2,होटल और जलपान गृह,84,11,94,108,142,8,149,109,263,-10,253,115,114,2,115,116,255,4,258,119,370.41,-4.9475968777,365.4624031223,127.2485347807,256.88,-6.77591,250.10409,137.04907,495.75,-2.21138,493.53862,153.25503,312.94,-21.2598,291.6802,154.4666,-686.5425,-14.1245,-700.667,128.4913,84,11,94,108,132,7,140,105,240,-9,231,107,100,2,102,105,231,3,234,109,328.5879225808,-4.43192977,324.1559928109,115.3104544712,219.48506,-5.89752,213.58754,120.02862,398.909,-1.84571,397.06329,128.91486,247.6471,-17.4518,230.1953,127.1288,-527.2356,-11.4465,-538.6821,103.0386,hotels & restaurants,6.2
7.,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं",46040,599,46639,28893,50631,1184,51815,30818,50459,-1798,48661,31890,59555,732,60287,33313,60758,-84,60674,32933,70628.2996061905,-309.5691450288,70318.7304611618,33973.638622374,86372.77896,4223.03916,90595.81812,36798.90902,90281.21729,4436.3725,94717.58979,39943.25293,88434.8086,5805.898,94240.7066,42211.546,33689.2785,4978.0407,38667.3192,43083.4227,46040,599,46639,28893,48311,1111,49421,29558,46155,-1604,44551,29632,53155,411,53566,29998,55420,-59,55361,30151,63172.1549480207,-239.9866626498,62932.1682853709,30660.231149246,73922.84783,3146.47768,77069.32551,31944.2643,75337.71864,3179.68525,78517.4039,33381.16864,70758.5717,4097.7952,74856.3669,34380.151,26147.3072,3479.3221,29626.6293,33765.4878,"transport,storage & communication & services related to broadcasting",7.
7.1,रेलवे,28941,143,29084,11920,32369,208,32577,13163,36386,38,36423,14304,45230,1350,46579,15491,51164,-81,51083,16095,53934.0996061905,-188.09,53746.0096061905,17575.3203050624,60234.65997,3135.7517,63370.41167,19968.34179,64237.25532,3215.9191,67453.17442,22697.95392,67173.8829,4180.8319,71354.7148,24570.8807,28853.1319,3482.0318,32335.1637,25668.8233,28941,143,29084,11920,30552,198,30749,12425,32996,27,33022,12988,40161,953,41114,13743,46739,-59,46679,14676,48185.7625859165,-135.5289823503,48050.2336035662,15719.0114952795,51365.07442,2195.3899,53560.46432,17035.73391,53527.41048,2159.10631,55686.51679,18554.82403,53318.7724,2760.6474,56079.4198,19654.0626,22321.5776,2269.8705,24591.4482,19750.9056,railways,7.1
