क्र. सं.,मद,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Item ,S.No.
9.18,चीकू,2017,2202,2695,2382,2493,2591.584,2760.985,2620.55622,2224.3352,1744.24309,2017,2124,2499,1893,1836,1742.472,1675.722,1523.19421,1331.145,1151.25818,sapota,9.18
9.19,चेरी,70,53,64,88,102,64.761,46.805,55.63125,55.67603,56.99547,70,68,82,58,64,51.919,68.45,71.09756,71.09756,71.76825,cherry,9.19
9.20,बादाम,60,119,174,142,127,112.518,215.659,181.75211,210.77985,223.80065,60,118,163,126,101,90.012,176.229,141.09952,138.93325,141.2339,almonds,9.20
9.21,कटहल,1677,1906,1958,2861,3773,4901.75,4549.572,4474.55923,3161.89176,4751.47382,1677,1613,1608,1882,2090,2362.643,1985.7,1954.47864,1540.12,1744.28735,jack fruit,9.21
9.22,उप-उष्‍ण कटिबंधीय फल,4,7,9,8,0,0,0,0,0,0,4,5,6,6,0,0,0,0,0,0,sub-tropical fruit,9.22
9.23,नाशपाती,683,739,749,894,819,874.021,647.156,703.8631,828.25466,726.47685,683,709,711,696,692,674.345,648.185,622.5946,636.66255,615.41046,pear,9.23
9.24,अखरोट,2311,2565,2865,3040,2999,4004.011,4434.478,4481.83518,4928.01436,5618.42488,2311,2161,2254,2210,2127,2690.868,2808.263,2806.70944,2680.54409,2657.166,walnut,9.24
9.25,अमरुद,3039,3885,5714,7088,7454,7681.699,9076.096,10120.22834,11003.34859,9806.17622,3039,3563,3997,4271,4308,4168.594,4444.169,4618.10209,4683.74316,4799.60062,guava,9.25
9.26,आंवला,1545,1850,1827,1919,1809,2258.051,2374.921,2191.58577,3347.14809,3524.50182,1545,1859,1747,1655,1402,1530.556,1498.33,1451.63127,1650.3605,1823.17334,amla/anola,9.26
9.27,बेर,585,608,966,621,687,895.53,974.856,1138.11516,1510.70799,1392.13346,585,663,970,609,641,805.346,761.019,795.80399,886.49567,805.53148,ber,9.27
9.28,कृष्णकमल फल,123,130,211,214,141,140.446,179.114,167.67598,127.85039,162.673,123,126,154,160,101,94.355,105.978,102.44961,73.69618,92.46214,passion fruit,9.28
9.29,आड़ू / बेर,579,695,697,425,500,539.398,627.073,554.15912,455.00211,408.70443,579,614,574,572,665,637.381,673.661,658.16944,393.45961,348.49909,peach/plum,9.29
