Product,Total_Output_crore,Total_Output_USD_M,Final_Demand_crore,Final_Demand_USD_M,Supply_Output_crore,Supply_Output_USD_M,Total_Output_2015prices,Total_Output_2015prices_USD_M,Deflator,USD_INR_Rate,Output_Sign_Corrected
Iron and steel casting and forging,653220.8846175323,101827.10594193799,46773.0,7291.192517537022,268611.0,41872.330475448165,653220.8846175323,101827.10594193799,1.0,64.15,0
Iron and steel foundries,650151.8725837398,101348.69408943722,47779.0,7448.012470771629,236626.0,36886.360093530784,650151.8725837398,101348.69408943722,1.0,64.15,0
Non ferrous basic metals (including alloys),197409.91665139023,30773.174848229184,42612.0,6642.556508183943,163650.0,25510.522213561962,197409.91665139023,30773.174848229184,1.0,64.15,0
"Hand tools, hardware",328899.3677994611,51270.36130934701,36683.0,5718.316445830085,85011.0,13251.90958690569,328899.3677994611,51270.36130934701,1.0,64.15,0
Miscellaneous metal products,307525.6430764563,47938.525810827174,44998.0,7014.497272018705,164800.0,25689.78955572876,307525.6430764563,47938.525810827174,1.0,64.15,0
Tractors and  other agricultural implements,369985.0807258719,57674.99309834324,63755.0,9938.425565081838,52957.0,8255.1831644583,369985.0807258719,57674.99309834324,1.0,64.15,0
Industrial machinery for food and textile industry,419279.62563076016,65359.25574914421,92984.0,14494.777864380358,47958.0,7475.915822291504,419279.62563076016,65359.25574914421,1.0,64.15,0
Industrial machinery (except food and textile),443117.63174603175,69075.2348785708,134073.0,20899.92205767732,54810.0,8544.037412314887,443117.63174603175,69075.2348785708,1.0,64.15,0
Machine tools,453823.5425053492,70744.12198056885,110284.0,17191.582229150426,78049.0,12166.640685892438,453823.5425053492,70744.12198056885,1.0,64.15,0
Other non electrical machinery,377005.412591654,58769.35504156725,77086.0,12016.523772408416,92331.0,14392.985190958689,377005.412591654,58769.35504156725,1.0,64.15,0
Electrical industrial machinery,617768.1478174776,96300.56863873384,234556.0,36563.67887763055,229276.0,35740.60795011691,617768.1478174776,96300.56863873384,1.0,64.15,0
"Electrical cables, wires",339557.3153495441,52931.7716834831,43848.0,6835.229929851909,36848.0,5744.037412314887,339557.3153495441,52931.7716834831,1.0,64.15,0
Batteries,256485.0,39982.073265783314,16478.0,2568.667186282151,23342.0,3638.6593920498826,256485.0,39982.073265783314,1.0,64.15,0
Electrical appliances,398555.48800127144,62128.680904329136,98692.0,15384.567420109119,37754.0,5885.26890101325,398555.48800127144,62128.680904329136,1.0,64.15,0
Communication equipment,78496.48239188237,12236.396319856953,23552.0,3671.3951675759936,18429.0,2872.7981293842554,78496.48239188237,12236.396319856953,1.0,64.15,0
Other electrical machinery,363248.0596206699,56624.79495255961,173461.0,27039.90646921278,183745.0,28643.02416212003,363248.0596206699,56624.79495255961,1.0,64.15,0
Electronic equipment including T.V,130865.73202967769,20399.958227541338,66727.0,10401.714731098986,66582.0,10379.111457521432,130865.73202967769,20399.958227541338,1.0,64.15,0
"Medical precision, optical instrument",278799.75130082865,43460.60035866385,87706.0,13672.018706157442,51890.0,8088.854247856585,278799.75130082865,43460.60035866385,1.0,64.15,0
Watches and clocks,20847.981512605038,3249.8802046149704,5012.0,781.2938425565081,5950.0,927.5136399064692,20847.981512605038,3249.8802046149704,1.0,64.15,0
Ships and boats,552153.7828850856,86072.29663056672,36267.0,5653.468433359313,2045.0,318.78409976617303,552153.7828850856,86072.29663056672,1.0,64.15,0
Rail equipment,663939.022928934,103497.89913155635,32645.0,5088.854247856586,36853.0,5744.816835541698,663939.022928934,103497.89913155635,1.0,64.15,0
Motor vehicles,1043202.0320820682,162619.17881248138,417365.0,65060.79501169134,543450.0,84715.51052221356,1043202.0320820682,162619.17881248138,1.0,64.15,0
Motor cycles and scooters,735283.0,114619.32969602493,89720.0,13985.97038191738,98485.0,15352.299298519094,735283.0,114619.32969602493,1.0,64.15,0
"Bicycles, cycle-rickshaw",659966.1286258196,102878.58591205292,16934.0,2639.75058456742,25477.0,3971.4731098986745,659966.1286258196,102878.58591205292,1.0,64.15,0
Aircrafts & Spacecrafts,717888.2124965405,111907.74941489329,74155.0,11559.625876851129,14452.0,2252.8448947778643,717888.2124965405,111907.74941489329,1.0,64.15,0
Other transport equipment,645395.9677723398,100607.32155453465,8686.0,1354.0140296180825,27585.0,4300.07794232268,645395.9677723398,100607.32155453465,1.0,64.15,0
