Product_ID,Product_Name,Water_2022_Blue_m3_per_crore,Water_2022_Green_m3_per_crore,Green_share_pct,Tourism_Demand_crore,Source_Group,Water_Multiplier_m3_per_crore,Total_Water_m3,Green_Water_m3,Water_pct,WSI_weight,Scarce_m3,Scarce_pct,Multiplier_Ratio
105,Rail equipment,0.0,0.0,0.0,0.0,Manufacturing,2361.5943585223654,0.0,0.0,0.0,0.814,0.0,0.0,0.6575204529582426
104,Ships and boats,0.0,0.0,0.0,0.0,Manufacturing,2352.0351949826254,0.0,0.0,0.0,0.814,0.0,0.0,0.6548589689832873
103,Watches and clocks,0.0,0.0,0.0,0.0,Manufacturing,1648.4622182730513,0.0,0.0,0.0,0.814,0.0,0.0,0.4589685864263471
102,"Medical precision, optical instrument",0.0,0.0,0.0,0.0,Manufacturing,1782.2086682934043,0.0,0.0,0.0,0.814,0.0,0.0,0.4962065761266458
101,Electronic equipment including T.V,0.0,0.0,0.0,0.0,Manufacturing,861.1523854017349,0.0,0.0,0.0,0.814,0.0,0.0,0.23976399861901065
83,Non metallic mineral products,0.0,0.0,0.0,0.0,Manufacturing,2494.090333484995,0.0,0.0,0.0,0.814,0.0,0.0,0.6944102825592422
99,Communication equipment,0.0,0.0,0.0,0.0,Manufacturing,1463.0218397071767,0.0,0.0,0.0,0.814,0.0,0.0,0.4073378559957099
98,Electrical appliances,0.0,0.0,0.0,0.0,Manufacturing,1667.62533219422,0.0,0.0,0.0,0.814,0.0,0.0,0.46430402403021276
97,Batteries,0.0,0.0,0.0,0.0,Manufacturing,2289.1435050576374,0.0,0.0,0.0,0.814,0.0,0.0,0.6373485221541962
84,Iron and steel Ferro alloys,0.0,0.0,0.0,0.0,Manufacturing,2687.2414603118295,0.0,0.0,0.0,0.814,0.0,0.0,0.748187856994184
71,Petroleum products,3905.7220091669265,0.0066652497175141,0.0001706531680291,0.0,Petroleum,5206.67649237957,0.0,0.0,0.0,0.814,0.0,0.0,1.4496546679669866
82,Cement,0.0,0.0,0.0,0.0,Manufacturing,2592.8171264835646,0.0,0.0,0.0,0.814,0.0,0.0,0.7218980199927576
29,Marine Fish,0.0,0.0,0.0,0.0,Agriculture,1502.89807451679,0.0,0.0,0.0,0.827,0.0,0.0,0.41844028765577346
27,Other forestry products,0.0,0.0,0.0,0.0,Agriculture,1685.8243016413064,0.0,0.0,0.0,0.827,0.0,0.0,0.46937102234473643
26,Firewood,0.0,0.0,0.0,0.0,Agriculture,952.4991425481197,0.0,0.0,0.0,0.827,0.0,0.0,0.26519696974650697
25,Industry Wood,0.0,0.0,0.0,0.0,Agriculture,1850.0853944853545,0.0,0.0,0.0,0.827,0.0,0.0,0.5151049680498797
24,Other livestock products,4022.5078700564977,0.0,0.0,0.0,Agriculture,12213.33111814929,0.0,0.0,0.0,0.827,0.0,0.0,3.400463326800612
23,Egg and poultry,61.673624858757066,0.0,0.0,0.0,Agriculture,10187.261586552617,0.0,0.0,0.0,0.827,0.0,0.0,2.8363604564948592
22,Wool,0.0,0.0,0.0,0.0,Agriculture,15042.355032663672,0.0,0.0,0.0,0.827,0.0,0.0,4.1881265759900606
21,Milk,0.0,0.0,0.0,0.0,Agriculture,4895.056956847082,0.0,0.0,0.0,0.827,0.0,0.0,1.3628928507164741
20,Other food crops,9384.685925963391,96576.0340361582,91.14324069398718,0.0,Agriculture,17483.941398333118,0.0,0.0,0.0,0.827,0.0,0.0,4.867918584849756
19,Vegetables,18726.904293785312,75595.91148775895,80.1459443946652,0.0,Agriculture,25760.899579214427,0.0,0.0,0.0,0.827,0.0,0.0,7.172408038159046
18,Fruits,18726.904293785312,75595.91148775895,80.1459443946652,0.0,Agriculture,25898.39698516734,0.0,0.0,0.0,0.827,0.0,0.0,7.210690377510208
17,Rubber,9384.685925963391,96576.0340361582,91.14324069398718,0.0,Agriculture,22064.215004910213,0.0,0.0,0.0,0.827,0.0,0.0,6.1431687418469165
16,Coffee,9384.685925963391,96576.0340361582,91.14324069398718,0.0,Agriculture,21951.47831833877,0.0,0.0,0.0,0.827,0.0,0.0,6.111780338096728
15,Tea,9384.685925963391,96576.0340361582,91.14324069398718,0.0,Agriculture,22020.51896847229,0.0,0.0,0.0,0.827,0.0,0.0,6.131002792361366
14,Tobacco,9384.685925963391,96576.0340361582,91.14324069398718,0.0,Agriculture,21822.044347240644,0.0,0.0,0.0,0.827,0.0,0.0,6.075743038550555
13,Coconut,18726.904293785312,75595.91148775895,80.1459443946652,0.0,Agriculture,30826.311499753865,0.0,0.0,0.0,0.827,0.0,0.0,8.582731503911697
12,Sugarcane,57039.48171526554,55042.87398293785,49.109312201777854,0.0,Agriculture,68583.5202022854,0.0,0.0,0.0,0.827,0.0,0.0,19.095179113272092
11,"jute, hemp and mesta",183.5160395480226,4533.451581920905,96.1094488180762,0.0,Agriculture,12862.35100649056,0.0,0.0,0.0,0.827,0.0,0.0,3.5811649148701528
10,kapas,183.5160395480226,4533.451581920905,96.1094488180762,0.0,Agriculture,12790.621692080089,0.0,0.0,0.0,0.827,0.0,0.0,3.5611938766046873
9,Other oil seeds,13519.736346516009,56629.00188323917,80.72704272707601,0.0,Agriculture,25775.90397054901,0.0,0.0,0.0,0.827,0.0,0.0,7.176585594796186
8,Rapeseed and mustard,13519.736346516009,56629.00188323917,80.72704272707601,0.0,Agriculture,26134.57841368748,0.0,0.0,0.0,0.827,0.0,0.0,7.276448546054468
7,Groundnut,13519.736346516009,56629.00188323917,80.72704272707601,0.0,Agriculture,25215.222389849016,0.0,0.0,0.0,0.827,0.0,0.0,7.020479358525419
6,Other pulses,3602.5136326259885,77754.50328135592,95.5719693650581,0.0,Agriculture,15447.190831377296,0.0,0.0,0.0,0.827,0.0,0.0,4.3008418764747915
5,Arhar,3602.5136326259885,77754.50328135592,95.5719693650581,0.0,Agriculture,15838.15603704728,0.0,0.0,0.0,0.827,0.0,0.0,4.40969529501187
4,Gram,3602.5136326259885,77754.50328135592,95.5719693650581,0.0,Agriculture,15717.595750069186,0.0,0.0,0.0,0.827,0.0,0.0,4.376128626707238
3,Coarse cereals,3602.5136326259885,77754.50328135592,95.5719693650581,0.0,Agriculture,14693.718988590992,0.0,0.0,0.0,0.827,0.0,0.0,4.091058538547902
28,Inland Fish,0.0,0.0,0.0,0.0,Agriculture,1548.9313622332415,0.0,0.0,0.0,0.827,0.0,0.0,0.4312569799387854
30,Coal and Lignite,0.0,0.0,0.0,0.0,Mining,2183.7507369817854,0.0,0.0,0.0,0.814,0.0,0.0,0.6080048288337581
75,Fertilizers,6.653476792982713,0.0,0.0,0.0,Petroleum,2968.2223869210707,0.0,0.0,0.0,0.814,0.0,0.0,0.8264192033174926
31,Natural Gas,0.0,0.0,0.0,0.0,Mining,1946.9056501387001,0.0,0.0,0.0,0.814,0.0,0.0,0.5420618830352937
72,Coal tar products,3905.7220091669265,0.0066652497175141,0.0001706531680291,0.0,Petroleum,6260.131405235433,0.0,0.0,0.0,0.814,0.0,0.0,1.7429599720605613
2,Wheat,123205.86365406583,94274.60317867456,43.348538170639095,0.0,Agriculture,132939.55456064187,0.0,0.0,0.0,0.827,0.0,0.0,37.013332037883266
