Category_ID,Category_Name,Source_ID,Source_Name,Source_Group,Water_m3,WSI_weight,Scarce_m3,Water_pct,Scarce_pct
SERV_005,Financial Services,114,Electricity,Electricity,5311726.742636397,0.814,4323745.568506027,0.09864664446481448,0.09753455459283011
TEXT_002,Leather Footwear,20,Other food crops,Agriculture,5299066.222481018,0.827,4382327.765991801,0.09841151982625158,0.09885604505713108
FOOD_M06,Beverages,19,Vegetables,Agriculture,5112155.77837687,0.827,4227752.828717671,0.09494031563603923,0.09536916142362989
SERV_001,Hotels & Restaurants,69,Rubber products,Manufacturing,4845757.447590787,0.814,3944446.5623389003,0.08999290348621328,0.08897837129345144
SERV_002,Railway Transport,24,Other livestock products,Agriculture,4642059.560052646,0.827,3838983.2561635384,0.08620993157071234,0.08659934217836515
FOOD_M02,Processed Fruit/Veg,46,Edible Oils and Fats,Manufacturing,4467256.788981498,0.814,3636347.026230939,0.08296358482796533,0.08202829744002375
SERV_001,Hotels & Restaurants,67,"Publishing, printing and allied activities",Manufacturing,4395103.070853239,0.814,3577613.899674536,0.08162358325712396,0.08070340233512921
FOOD_M02,Processed Fruit/Veg,4,Gram,Agriculture,4265684.313935904,0.827,3527720.927624992,0.07922008497506323,0.07957792241752938
SERV_003,Road Transport,24,Other livestock products,Agriculture,4238173.359371108,0.827,3504969.3681999063,0.0787091657419526,0.0790646953601878
TEXT_002,Leather Footwear,24,Other livestock products,Agriculture,4223890.409640749,0.827,3493157.3687728993,0.07844391017964175,0.07879824163743511
WOOD_M03,Printing/Publishing,1,Paddy,Agriculture,4097701.572408164,0.827,3388799.2003815514,0.07610039629704833,0.07644414209320807
TEXT_002,Leather Footwear,17,Rubber,Agriculture,3977533.025015622,0.827,3289419.8116879193,0.07386868812664617,0.07420235328802399
SERV_018,Other Services,71,Petroleum products,Petroleum,3798069.024980748,0.814,3091628.1863343287,0.07053577544806836,0.06974059258184993
TEXT_M01,Textiles,114,Electricity,Electricity,3794073.6063445103,0.814,3088375.9155644313,0.0704615745976117,0.06966722823236837
SERV_003,Road Transport,18,Fruits,Agriculture,3786851.4707055534,0.827,3131726.1662734924,0.07032744882624356,0.07064511819545811
SERV_002,Railway Transport,19,Vegetables,Agriculture,3667286.7273387024,0.827,3032846.1235091067,0.06810695419221756,0.06841459357823909
WOOD_M03,Printing/Publishing,66,"Paper, Paper products and newsprint",Manufacturing,3604603.829132836,0.814,2934147.5169141283,0.06694283979534833,0.06618816177723456
FOOD_M02,Processed Fruit/Veg,43,Processed fish & fish products,Manufacturing,3501526.3000622946,0.814,2850242.4082507077,0.06502853718619597,0.06429543999888593
WOOD_M03,Printing/Publishing,114,Electricity,Electricity,3392713.1580074225,0.814,2761668.5106180417,0.06300771573632247,0.062297400216647314
FOOD_M06,Beverages,7,Groundnut,Agriculture,3349505.1368850023,0.827,2770040.748203897,0.06220527869386722,0.062486260187925385
SERV_001,Hotels & Restaurants,19,Vegetables,Agriculture,3341886.38913445,0.827,2763740.0438141897,0.06206378724729428,0.06234412962391915
SERV_005,Financial Services,2,Wheat,Agriculture,3320507.2066334267,0.827,2746059.4598858436,0.0616667441166305,0.06194529304783722
SERV_003,Road Transport,8,Rapeseed and mustard,Agriculture,3313903.4242368913,0.827,2740598.131843909,0.061544102082173986,0.06182209703881779
TEXT_001,Ready Made Garments,19,Vegetables,Agriculture,3291314.9528889074,0.827,2721917.4660391263,0.06112460066389089,0.06140070073094102
SERV_002,Railway Transport,71,Petroleum products,Petroleum,3282118.0811779527,0.814,2671644.1180788535,0.06095380111455098,0.060266640337352725
FOOD_M04,Grain Mill & Bakery,71,Petroleum products,Petroleum,3233426.685696711,0.814,2632009.3221571227,0.06004952967679443,0.05937256317546749
TEXT_001,Ready Made Garments,9,Other oil seeds,Agriculture,3208750.1225703144,0.827,2653636.35136565,0.059591249296931555,0.05986042320968978
SERV_001,Hotels & Restaurants,9,Other oil seeds,Agriculture,3192416.5727751562,0.827,2640128.505685054,0.05928791104977399,0.05955571478244974
SERV_004,Air Transport,20,Other food crops,Agriculture,3163303.414359974,0.827,2616051.9236756987,0.05874723651462182,0.05901259801824762
CHEM_M04,Other Chemicals,9,Other oil seeds,Agriculture,3108952.9745532493,0.827,2571104.109955537,0.057737868229712795,0.05799867041273584
CHEM_M04,Other Chemicals,19,Vegetables,Agriculture,3027249.8451701514,0.827,2503535.621955715,0.0562205199272817,0.056474468241919686
SERV_018,Other Services,19,Vegetables,Agriculture,3015917.748321109,0.827,2494163.977861557,0.05601006607996019,0.05626306377372336
FOOD_M06,Beverages,70,Plastic products,Manufacturing,2936356.2669675825,0.814,2390194.001311612,0.05453249135813258,0.05391772101634881
WOOD_M03,Printing/Publishing,71,Petroleum products,Petroleum,2934421.509829037,0.814,2388619.109000836,0.05449656004825553,0.05388219477697385
SERV_004,Air Transport,12,Sugarcane,Agriculture,2899460.939870725,0.827,2397854.1972730896,0.05384729040731516,0.05409051883466602
SERV_003,Road Transport,72,Coal tar products,Petroleum,2799718.1941672107,0.814,2278970.610052109,0.051994919671753674,0.05140875656529117
FOOD_M02,Processed Fruit/Veg,66,"Paper, Paper products and newsprint",Manufacturing,2790948.0409230893,0.814,2271831.7053113943,0.05183204491729194,0.051247717974297745
SERV_006,Real Estate,2,Wheat,Agriculture,2762370.2303219186,0.827,2284480.1804762264,0.051301312585124326,0.051533040820412074
WOOD_M02,Paper Products,1,Paddy,Agriculture,2691428.4844531245,0.827,2225811.356642734,0.049983819136852785,0.05020959624893557
SERV_004,Air Transport,70,Plastic products,Manufacturing,2680523.3245535833,0.814,2181945.9861866166,0.04978129414195667,0.049220086273915185
UTIL_M01,"Electricity, Heat & Energy",71,Petroleum products,Petroleum,2517087.5960353706,0.814,2048909.3031727916,0.04674605024008721,0.04621906009957801
TEXT_M01,Textiles,20,Other food crops,Agriculture,2503590.486617615,0.827,2070469.3324327674,0.04649538889801388,0.04670540875667689
