Category_ID,Category_Name,Source_ID,Source_Name,Source_Group,Water_m3,Water_pct
SERV_015,Health & Social Work,1,Paddy,Agriculture,20752394.80015075,0.3232575327271321
SERV_001,Hotels & Restaurants,114,Electricity,Electricity,20631445.41462014,0.3213735188420838
CHEM_M04,Other Chemicals,71,Petroleum products,Petroleum,20237950.09484943,0.3152440900492281
TEXT_001,Ready Made Garments,114,Electricity,Electricity,20061428.27479062,0.3124944311026713
CHEM_M04,Other Chemicals,114,Electricity,Electricity,19371774.246048015,0.30175177407857484
FOOD_M02,Processed Fruit/Veg,16,Coffee,Agriculture,19323896.794146135,0.3010059928266226
SERV_010,Real Estate,71,Petroleum products,Petroleum,18803670.837610926,0.29290249630057535
SERV_004,Air Transport,1,Paddy,Agriculture,17813255.24588165,0.27747491294742116
SERV_004,Air Transport,2,Wheat,Agriculture,17225962.037685532,0.26832671798982044
CHEM_M04,Other Chemicals,2,Wheat,Agriculture,17059626.2544132,0.2657357257008505
SERV_015,Health & Social Work,66,"Paper, Paper products and newsprint",Manufacturing,16974680.197826557,0.26441253129694986
FOOD_M02,Processed Fruit/Veg,24,Other livestock products,Agriculture,16934497.64713214,0.26378661258630226
TEXT_001,Ready Made Garments,12,Sugarcane,Agriculture,16840905.913601328,0.2623287455229498
SERV_001,Hotels & Restaurants,71,Petroleum products,Petroleum,16051568.974955508,0.2500333399211259
TEXT_001,Ready Made Garments,71,Petroleum products,Petroleum,15858274.364994256,0.24702241326387703
SERV_003,Road Transport,20,Other food crops,Agriculture,14775037.1755489,0.23014895915939768
SERV_003,Road Transport,69,Rubber products,Manufacturing,14273915.88411479,0.22234305368072746
CHEM_M04,Other Chemicals,20,Other food crops,Agriculture,14115597.302621484,0.21987694436991126
SERV_003,Road Transport,12,Sugarcane,Agriculture,14009558.520274136,0.21822519113925548
FOOD_M02,Processed Fruit/Veg,44,Processed fruits & Processed Vegetables,Manufacturing,13667650.207498819,0.21289932688739366
SERV_009,Financial Services,20,Other food crops,Agriculture,12265724.07304587,0.19106169380199894
SERV_018,Other Services,12,Sugarcane,Agriculture,11973612.951972798,0.1865115143557428
SERV_010,Real Estate,114,Electricity,Electricity,11613601.90892208,0.18090366607356526
TEXT_001,Ready Made Garments,61,Ready made garments,Manufacturing,11599583.571066696,0.18068530412778955
SERV_001,Hotels & Restaurants,8,Rapeseed and mustard,Agriculture,11288856.053286485,0.1758451393316125
SERV_002,Railway Transport,71,Petroleum products,Petroleum,11086202.714040263,0.17268843288522337
CHEM_M04,Other Chemicals,12,Sugarcane,Agriculture,10849712.072548985,0.16900464689243896
SERV_002,Railway Transport,114,Electricity,Electricity,10597918.760289613,0.16508249305612288
SERV_009,Financial Services,70,Plastic products,Manufacturing,10130184.979768664,0.15779666077891324
SERV_001,Hotels & Restaurants,6,Other pulses,Agriculture,9940347.77900198,0.15483958976466972
SERV_015,Health & Social Work,20,Other food crops,Agriculture,9892712.09681823,0.15409757453024575
SERV_M03,Support & Travel Agencies,71,Petroleum products,Petroleum,9633844.344709031,0.15006522300381708
