,Final_Consumption_Households,Final_Consumption_NonProfit,Final_Consumption_Government,Gross_Fixed_Capital_Formation,Changes_in_Inventories,Changes_in_Valuables,Exports
IN.29,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.30,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.31,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.32,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.33,0.0,0.0,0.0,0,0.0,0.0195911482496,-0.0195911482452
IN.34,0.0,0.0,0.0,0,0.0,0.000381047607722,-0.000381047607319
IN.35,0.0,0.0,4.29628635367e-09,0,0.0,2.57718789628e-08,-2.57718789601e-08
IN.36,0.0,0.0,0.607748720162,0,0.0,0.0,0.0100065960445
IN.37,0.0,0.0,0.024833763548,0,0.0,0.0,0.00414684246866
IN.38,0.0,0.0,1.17333361628,0,0.0,0.0,0.00894877797689
IN.39,0.0,0.0,5.6103166895,0,0.0,0.0,0.00683844878557
IN.40,0.0,0.0,0.107715183252,0,0.0,0.0,0.0068930916453
IN.41,0.0,0.0,0.157313662356,0,0.0,0.0,0.00756153422623
IN.42,0.0,0.0,0.00168996006365,0,0.0,0.0,0.000501974545078
IN.43,0.0,0.0,0.0013804443051,0,0.0,0.0,0.0004100374782
IN.44,0.0,0.0,4.87072781496,0,0.0,0.0,1.13514312974
IN.45,0.0,0.0,0.634082072775,0,0.0,0.0,0.153191658541
IN.46,0.0,0.0,0.0,0,0.0,0.0,2.11201412325e-06
IN.47,0.0,0.0,0.0554414054131,0,0.0,0.0,-0.0554414054131
IN.48,0.0,0.0,6.34548645627,0,0.0,1.17014874306,-0.0433128455606
IN.49,0.0,0.0,36.970284323,0,0.0,0.0,-0.21421924087
IN.50,0.0,0.0,30.0451560978,0,0.0,0.0,3.01774198241
IN.51,0.0,0.0,2.07621832206,0,0.0,2.33746275389,1.33121749457
IN.52,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.53,0.0,0.0,0.82908090688,0,0.0,0.933401713681,0.537182316368
IN.54,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.55,0.0,0.0,1.63400253034,0,0.0,1.83960425252,1.11059635144
IN.56,0.0,0.0,0.0,0,0.0206588768679,0.904706534996,0.00556878780857
IN.57,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.58,0.0,0.0,1.91170102296,0,0.0,0.0,0.175593183038
IN.59,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.60,0.0,0.0,0.0,0,0.0781962331184,0.0046511519501,0.030018769406
IN.61,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.62,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.63,0.0,0.0,0.184727015654,0,0.675901302266,0.210352810831,0.0544138268559
IN.64,0.0,0.0,0.449436270602,0,0.0115702994419,0.000110519139445,-0.0866436258849
IN.65,0.0,0.0,6.3991821786,0,0.0,7.03177133275,0.175018573718
IN.66,0.0,0.0,0.0,0,0.0,0.107571190069,0.0085004349578
IN.67,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.68,0.0,0.0,0.842751696885,0,0.0,1.32482755351,0.0144705572398
IN.69,0.0,0.0,1.25121444603e-05,0,0.0,0.0349402911626,0.000501479994658
IN.70,0.0,0.0,3.38706194271e-05,0,0.0,0.0246993973112,0.00462516480069
IN.71,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.72,0.0,0.0,0.148855648488,0,0.0,0.268175183986,0.00558596363768
IN.73,0.0,0.0,0.000227591806395,0,0.0,0.111220650372,0.320512155737
IN.74,0.0,0.0,0.000106825197865,0,0.0,0.052203847629,0.150439398487
IN.75,0.0,0.0,1.13201890131e-07,0,0.0,3.32821959991e-09,0.0
IN.76,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.77,0.0,0.0,0.000245905970818,0,0.0,0.0758166911444,1.67866894422
IN.78,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.79,0.0,0.0,0.0,0,0.0,0.00015856718001,0.244713604295
IN.80,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.81,0.0,0.0,0.0,0,0.0,0.00830313755836,2.36791132347
IN.82,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.83,0.0,0.0,6.36035142081e-06,0,0.0,4.44706750309e-05,0.0299485978644
IN.84,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.85,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.86,0.0,0.0,2.33736976442,0,0.0,2.06753352163,0.0798593608209
IN.87,0.0,0.0,2.95639588973,0,0.0,148.686150248,-67.7640707294
IN.88,0.0,0.0,0.604327034488,0,0.0,0.896464026619,0.506170450998
IN.89,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.90,0.0,0.0,5.60672508604e-08,0,0.0,1.13683309069e-08,1.72867302199e-09
IN.91,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.92,0.0,0.0,68.0912286061,0,0.0,0.0,-18.7821112676
IN.93,0.0,0.0,2.09646110881,0,0.0452501928516,4.17955209724,0.136545735929
IN.94,0.0,0.0,8.91364844868e-07,0,0.0,1.58952731355e-06,5.83883202759e-09
IN.95,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.96,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.97,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.98,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.99,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.100,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.101,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.102,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.103,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.104,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.105,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.106,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.107,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.108,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.109,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.110,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.111,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.112,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.113,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.114,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.115,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.116,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.117,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.118,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.119,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.120,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.121,0.0,0.0,0.0,0,0.00399236469825,0.432281051943,0.00309422613746
IN.122,0.0,0.0,6.60223084946,0,0.270753662456,46.0882459054,0.19757704505
IN.123,0.0,0.0,0.00881079724538,0,0.0,0.0,1.2132547853e-06
IN.124,0.0,0.0,0.024275202263,0,0.0,0.0085795295366,0.00123651649327
IN.125,0.0,0.0,0.0430171040129,0,0.0,0.000182608498348,5.1159288677e-05
IN.126,0.0,0.0,0.153158229701,0,0.0041145875559,0.0436531053819,0.00289864019109
IN.127,0.0,0.0,0.289917586482,0,0.0104286901612,8.50140311739,0.0139381457596
IN.128,0.0,0.0,0.242827463885,0,0.0,0.0,0.0
IN.129,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.130,0.0,0.0,1.57470609528,0,0.0,0.0,0.0
IN.131,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.132,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.133,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.134,0.0,0.0,0.308997761719,0,0.0,0.914243558925,0.0
IN.135,0.0,0.0,0.0,0,0.0,3.61236535379,0.0
IN.136,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.137,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.138,0.0,0.0,0.00414782009015,0,0.0,0.0,0.0
IN.139,0.0,0.0,0.00723953397507,0,0.0432551781204,0.0,0.0
IN.140,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.141,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.142,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.143,0.0,0.0,0.00360824084037,0,0.0,0.0,0.000698574007736
IN.144,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.145,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.146,0.0,0.0,0.00127290453804,0,0.0,0.0,0.000952875052953
IN.147,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.148,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.149,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.150,0.0,0.0,0.00232191501351,0,0.0,0.0,0.000459224580271
IN.151,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.152,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.153,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.154,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.155,0.0,0.0,0.0,0,0.0,0.0,0.0105223430432
IN.156,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.157,0.0,0.0,0.0,0,0.0,0.0,0.00382776505582
IN.158,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.159,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.160,0.0,0.0,9.57347368791e-06,0,6.09221052867e-06,1.04437894777e-05,9.49989846744e-06
IN.161,0.0,0.0,0.0,0,0.0,0.0,0.0
IN.162,0.0,0.0,0.0421396578155,0,0.0,0.0,0.0
