Sector_Code,Sector_Name,Category,Water_2015_m3_per_million_EUR,Water_2015_m3_per_million_INR,Water_2015_m3_per_INR_crore,Water_2022_m3_per_million_EUR,Water_2022_m3_per_million_INR,Water_2022_m3_per_INR_crore,Absolute_Change_EUR,Absolute_Change_INR_crore,Percent_Change
IN.79,Paraffin Waxes,Manufacturing,28.15126398526,0.4021609140751429,4.021609140751429,20.721857272736,0.25117402754831514,2.5117402754831515,-7.429406712524003,-1.5098688652682775,-37.53456556274398
IN.80,Petroleum Coke,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.81,Non-specified Petroleum,Manufacturing,14.307819787995,0.2043974255427857,2.043974255427857,263.6037980342039,3.1951975519297444,31.951975519297445,249.29597824620893,29.908001263869586,1462.5123609496065
IN.82,Industrial Biofuels,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.83,Municipal wastes (renew),Manufacturing,42.1147634014,0.6016394771628572,6.016394771628572,0.5088340255154,0.006167685157762425,0.061676851577624245,-41.6059293758846,-5.954717920050948,-98.95840552338132
IN.84,Primary solid biofuels,Manufacturing,866.09977192704,12.372853884672,123.72853884672,1082.119433123755,13.11659918937885,131.1659918937885,216.019661196715,7.437453047068487,6.011056952440626
IN.85,Other liquid biofuels,Manufacturing,418.921754561,5.984596493728572,59.845964937285714,0.0442063796993472,0.0005358349054466327,0.005358349054466327,-418.87754818130065,-59.840606588231246,-99.98937565328312
IN.86,Municipal Wastes (non-renew),Manufacturing,7.371537596000001,0.10530767994285717,1.0530767994285717,6.51832546,0.07901000557575757,0.7901000557575757,-0.8532121360000016,-0.262976743670996,-24.94853731849131
IN.87,Primary solid biofuels,Manufacturing,68.59579054964591,0.9799398649949416,9.799398649949415,45.63702440610645,0.5531760534073509,5.531760534073509,-22.958766143539464,-4.267638115875906,-43.54555634222016
IN.88,Other liquid biofuels,Manufacturing,28.42822764599,0.40611753779985715,4.0611753779985715,3.37189454541271,0.040871449035305575,0.40871449035305574,-25.05633310057729,-3.652460887645516,-89.9139142890743
IN.89,N-fertiliser,Manufacturing,3.5020812996000004,0.050029732851428574,0.5002973285142858,5.057797751979201,0.0613066394179297,0.613066394179297,1.5557164523792002,0.11276906566501121,22.49544516808602
IN.90,P-fertiliser,Manufacturing,0.318541,0.004550585714285714,0.04550585714285714,0.8305292098104999,0.010067020724975756,0.10067020724975756,0.5119882098105,0.05516435010690042,118.61806984321575
IN.91,Chemicals nec,Manufacturing,0.431302,0.006161457142857143,0.061614571428571435,2.5565026222742997,0.030987910573021814,0.30987910573021815,2.1252006222742996,0.24826453430164672,396.4964203018756
IN.92,Electricity - coal,Electricity & Utilities,139.922750991857,1.998896442740814,19.988964427408142,147.33391402118292,1.7858656244991868,17.85865624499187,7.411163029325934,-2.1303081824162717,-10.656888310893722
IN.93,Electricity - gas,Electricity & Utilities,0.0,0.0,0.0,7.891918e-09,9.565961212121213e-11,9.565961212121214e-10,7.891918e-09,9.565961212121214e-10,9.565961212121213e-05
IN.94,Electricity - nuclear,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.95,Electricity - hydro,Electricity & Utilities,994.796,14.211371428571429,142.11371428571428,1605.657,19.46250909090909,194.62509090909091,610.8609999999999,52.511376623376634,36.949992748678525
IN.96,Electricity - wind,Electricity & Utilities,28.7702,0.4110028571428571,4.110028571428571,21.2617,0.25771757575757576,2.5771757575757577,-7.508499999999998,-1.5328528138528132,-37.28635759201622
IN.97,Electricity - petroleum,Electricity & Utilities,69.6515,0.9950214285714285,9.950214285714285,74.0918,0.8980824242424243,8.980824242424244,4.440300000000008,-0.9693900432900406,-9.741424668963997
IN.98,Electricity - biomass/waste,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.99,Electricity - solar PV,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.100,Electricity - solar thermal,Electricity & Utilities,0.359178,0.0051311142857142856,0.051311142857142854,0.0654348,0.000793149090909091,0.00793149090909091,-0.2937432,-0.04337965194805195,-82.92621720484674
IN.101,Electricity - tide/wave/ocean,Electricity & Utilities,1.20717,0.017245285714285716,0.17245285714285716,0.69409,0.008413212121212122,0.08413212121212121,-0.5130800000000001,-0.08832073593073594,-50.91915889168334
IN.102,Electricity - geothermal,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.103,Electricity - nec,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.104,Electricity transmission,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.105,Electricity distribution,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.106,Gas distribution,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.107,Steam/hot water supply,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.108,Water supply,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.109,Construction,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.110,Motor vehicle sales/repair,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.111,Wholesale trade,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.112,Retail trade,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.113,Hotels and restaurants,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.114,Railway transport,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.115,Road transport,Electricity & Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.116,Pipeline transport,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.117,Sea/coastal transport,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.118,Inland water transport,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.119,Air transport,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.120,Transport support; travel agencies,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.121,Post and telecom,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.122,Financial services,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.123,Insurance/pension,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.124,Financial auxiliaries,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.125,Real estate,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.126,Machinery rental,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.127,Computer services,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.128,R&D services,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.129,Business services,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.130,Public administration,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.131,Education,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.132,Health and social work,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.133,Sewage/refuse disposal,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN.134,Membership organizations,Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
