Sector_Code,Sector_Name,Category,Water_2019_m3_per_million_EUR,Water_2019_m3_per_million_INR,Water_2019_m3_per_INR_crore,Has_Water_Use_2019
IN.133,Sewage/refuse disposal,Services,0.0,0.0,0.0,False
IN.134,Membership organizations,Services,0.0,0.0,0.0,False
IN.135,Recreational/cultural services,Services,0.0,0.0,0.0,False
IN.136,Other services,Services,0.0,0.0,0.0,False
IN.137,Private households,Services,0.0,0.0,0.0,False
IN.138,Other sector 138,Services,0.0,0.0,0.0,False
IN.139,Other sector 139,Services,0.0,0.0,0.0,False
IN.140,Other sector 140,Services,0.0,0.0,0.0,False
IN.141,Other sector 141,Services,0.0,0.0,0.0,False
IN.142,Other sector 142,Services,0.0,0.0,0.0,False
IN.143,Other sector 143,Services,0.0,0.0,0.0,False
IN.144,Other sector 144,Services,0.0,0.0,0.0,False
IN.145,Other sector 145,Services,0.0,0.0,0.0,False
IN.146,Other sector 146,Services,0.0,0.0,0.0,False
IN.147,Other sector 147,Services,0.0,0.0,0.0,False
IN.148,Other sector 148,Services,0.0,0.0,0.0,False
IN.149,Other sector 149,Services,0.0,0.0,0.0,False
IN.150,Other sector 150,Services,0.0,0.0,0.0,False
IN.151,Other sector 151,Services,0.0,0.0,0.0,False
IN.152,Other sector 152,Services,0.0,0.0,0.0,False
IN.153,Other sector 153,Services,0.0,0.0,0.0,False
IN.154,Other sector 154,Services,0.0,0.0,0.0,False
IN.155,Other sector 155,Services,0.0,0.0,0.0,False
IN.156,Other sector 156,Services,0.0,0.0,0.0,False
IN.157,Other sector 157,Services,0.0,0.0,0.0,False
IN.158,Other sector 158,Services,0.0,0.0,0.0,False
IN.159,Other sector 159,Services,0.0,0.0,0.0,False
IN.160,Other sector 160,Services,0.0,0.0,0.0,False
IN.161,Other sector 161,Services,0.0,0.0,0.0,False
IN.162,Other sector 162,Services,0.0,0.0,0.0,False
