Sector_Index,Sector_Code,Sector_Name,Broad_Category,Sector_Subgroup,Depletion_2019_t_per_EUR_million,Depletion_2019_t_per_crore,Depletion_2019_t_per_EUR_million_sec,Depletion_2019_t_per_crore_sec,Extrapolated
142,IN.142,Sector 142,Other,,0.0,0.0,0.0,0.0,False
143,IN.143,Sector 143,Other,,0.0,0.0,0.0,0.0,False
144,IN.144,Sector 144,Other,,0.0,0.0,0.0,0.0,False
145,IN.145,Sector 145,Other,,0.0,0.0,0.0,0.0,False
146,IN.146,Sector 146,Other,,0.0,0.0,0.0,0.0,False
147,IN.147,Sector 147,Other,,0.0,0.0,0.0,0.0,False
148,IN.148,Sector 148,Other,,0.0,0.0,0.0,0.0,False
149,IN.149,Sector 149,Other,,0.0,0.0,0.0,0.0,False
150,IN.150,Sector 150,Other,,0.0,0.0,0.0,0.0,False
151,IN.151,Sector 151,Other,,0.0,0.0,0.0,0.0,False
152,IN.152,Sector 152,Other,,0.0,0.0,0.0,0.0,False
153,IN.153,Sector 153,Other,,0.0,0.0,0.0,0.0,False
154,IN.154,Sector 154,Other,,0.0,0.0,0.0,0.0,False
155,IN.155,Sector 155,Other,,0.0,0.0,0.0,0.0,False
156,IN.156,Sector 156,Other,,0.0,0.0,0.0,0.0,False
157,IN.157,Sector 157,Other,,0.0,0.0,0.0,0.0,False
158,IN.158,Sector 158,Other,,0.0,0.0,0.0,0.0,False
159,IN.159,Sector 159,Other,,0.0,0.0,0.0,0.0,False
160,IN.160,Sector 160,Other,,0.0,0.0,0.0,0.0,False
161,IN.161,Sector 161,Other,,0.0,0.0,0.0,0.0,False
162,IN.162,Sector 162,Other,,0.0,0.0,0.0,0.0,False
