Sector_Code,Sector_Index,Sector_Name,Energy_2019_Final_MJ_per_crore,Energy_2019_Emission_MJ_per_crore,Energy_2019_Gross_MJ_per_crore,Energy_2019_Net_MJ_per_crore,Rank,Pct_of_Total,Cumulative_Pct
IN.18,18,IN.18,26523280750.253162,28876250148.35443,31680390804.050632,28876250148.35443,68,0.1,98.6
IN.75,75,IN.75,26120967576.20253,1576987867.556962,26684899509.24051,1702364887.9113925,69,0.1,98.7
IN.7,7,IN.7,25700977001.13924,7721303688.455696,28678112815.6962,7721303688.455696,70,0.1,98.8
IN.49,49,IN.49,24283285929.49367,16701204868.734177,43446612153.16455,18126373463.291138,71,0.09,98.89
IN.109,109,IN.109,24275173272.78481,29171311714.556965,31564540936.582275,29171311714.556965,72,0.09,98.98
IN.151,151,IN.151,24156086863.41772,19346577869.746834,25562204448.481014,19346577869.746834,73,0.09,99.07
IN.77,77,IN.77,22735409600.37975,50045337839.24051,187694516450.6329,50060945679.11392,74,0.09,99.16
IN.5,5,IN.5,19619444685.56962,13944089525.443039,23977718397.97468,13944089525.443039,75,0.07,99.23
IN.47,47,IN.47,17798638519.873417,15691322352.405064,19554754097.088608,15900161736.455696,76,0.07,99.3
IN.45,45,IN.45,17359202648.227848,21067628612.658226,25224293070.0,21068292078.734177,77,0.07,99.37
IN.150,150,IN.150,16113849842.27848,12259569675.405062,17289134185.6962,12259569675.405062,78,0.06,99.43
IN.86,86,IN.86,12811034553.037975,463523788.31518984,13813846458.227846,465211308.95443034,79,0.05,99.48
IN.114,114,IN.114,12683610297.215189,9590040479.29114,12956257455.316456,9590040479.29114,80,0.05,99.53
IN.79,79,IN.79,12179967365.151897,1542913438.7088609,12962769052.278479,1693651928.0253165,81,0.05,99.58
IN.41,41,IN.41,12061246423.075949,16437783309.873417,17663179454.050632,16446182281.645569,82,0.05,99.63
IN.98,98,IN.98,10504976189.025316,2703246680.962025,1117544375268.3545,788629828959.4935,83,0.04,99.67
IN.73,73,IN.73,10007292721.240505,1448537660.2405062,10834647283.759493,1511808409.9113922,84,0.04,99.71
IN.128,128,IN.128,8587147237.303797,10221347159.92405,12387830549.367088,10221347159.92405,85,0.03,99.74
IN.67,67,IN.67,8380093047.848101,9532310539.670885,10850004839.734177,9567253712.202532,86,0.03,99.77
IN.37,37,IN.37,7624485571.531645,1382073516.0506327,8228125706.974683,1437938205.063291,87,0.03,99.8
IN.100,100,IN.100,6890138180.253165,50238047292.53165,156594552649.3671,50766388371.898735,88,0.03,99.83
IN.99,99,IN.99,6257393814.240505,40991886.631772146,522177980406.3291,323353650113.9241,89,0.02,99.85
IN.129,129,IN.129,6206531791.189874,4768599363.189874,6476284403.025316,4768599363.189874,90,0.02,99.87
IN.133,133,IN.133,5409150787.936708,3784616563.8734174,5700053898.873418,3784616563.8734174,91,0.02,99.89
IN.34,34,IN.34,4895575886.556962,6511437360.936708,7099447140.392405,6514893753.025316,92,0.02,99.91
IN.88,88,IN.88,4443448374.822784,107319664.95911391,4816103230.6075945,107571438.89962025,93,0.02,99.93
IN.48,48,IN.48,3982874176.9746833,5265215459.683544,7881088912.341772,5311925847.987341,94,0.02,99.95
IN.13,13,IN.13,3697667186.9746833,15226260132.27848,24345157891.012657,15226260132.27848,95,0.01,99.96
IN.51,51,IN.51,3379857004.037975,2522417650.0886073,3913295715.6582274,2660751709.240506,96,0.01,99.97
IN.123,123,IN.123,3129936263.3797464,3601723341.7594934,3607945393.962025,3601723341.7594934,97,0.01,99.98
IN.87,87,IN.87,2319170101.721519,83960546.48594935,2876308468.9873414,84614524.89316455,98,0.01,99.99
IN.115,115,IN.115,1746576117.6835442,1905078724.670886,2061630423.9240506,1905078724.670886,99,0.01,100.0
IN.102,102,IN.102,1567797740.1265821,0.0,398465630870.88605,230642234508.86075,100,0.01,100.01
IN.35,35,IN.35,686930518.4367088,914039471.9645569,999080185.6202531,914040933.7898734,101,0.0,100.01
IN.10,10,IN.10,637014415.9784809,3933167195.898734,6431648108.367088,3933167195.898734,102,0.0,100.01
IN.12,12,IN.12,625738004.3683543,6289091873.101266,8867073344.493671,6289091873.101266,103,0.0,100.01
IN.81,81,IN.81,515998658.91898733,72159121.01556961,591059267.3253164,75747512.89101265,104,0.0,100.01
IN.11,11,IN.11,333701077.96455693,3221579110.759494,4713416433.13924,3221579110.759494,105,0.0,100.01
IN.31,31,IN.31,218196407.7658228,153443218.75949368,219541443.1227848,153465592.3683544,106,0.0,100.01
IN.101,101,IN.101,159814157.89873415,658228229.4708861,103616094196.45569,658228229.4708861,107,0.0,100.01
IN.33,33,IN.33,130070405.64050633,30858574.51822785,134083455.91898733,31016337.107088607,108,0.0,100.01
IN.29,29,IN.29,102039503.0527848,2540502.762367089,102316423.86987342,2569634.8230379745,109,0.0,100.01
IN.28,28,IN.28,97985249.06949367,15353890.93607595,98441519.97126582,15372503.05949367,110,0.0,100.01
IN.8,8,IN.8,69671227.3272152,267353744.47215188,533942741.4,267353744.47215188,111,0.0,100.01
IN.32,32,IN.32,60991261.25075949,15670024.002151897,61759519.19025317,16243911.901265822,112,0.0,100.01
IN.24,24,IN.24,41568229.07,24212460.898101263,42181137.39886076,24322626.338481013,113,0.0,100.01
IN.14,14,IN.14,40602034.805316456,407578220.3253164,549814284.9772152,407578220.3253164,114,0.0,100.01
IN.25,25,IN.25,31373171.74518987,27512575.735949367,31701590.899873413,27519337.338227846,115,0.0,100.01
IN.36,36,IN.36,27220806.09063291,92000124.01025316,152442510.73670885,92000857.48683544,116,0.0,100.01
IN.30,30,IN.30,23538535.311518986,1000942.137763291,23630626.26291139,1014428.0675075949,117,0.0,100.01
IN.9,9,IN.9,16270027.097974682,115951763.81354429,194841323.04556963,115951763.81354429,118,0.0,100.01
IN.27,27,IN.27,8800696.807506328,1017696.0111164557,8833541.227202531,1017971.7030341772,119,0.0,100.01
IN.23,23,IN.23,262418.1539227848,11045.461486177215,274178.4209265823,22794.706949113923,120,0.0,100.01
IN.57,57,IN.57,15.45426456556962,15.57735843556962,11461.128068607595,15.57735843556962,121,0.0,100.01
IN.140,140,IN.140,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.147,147,IN.147,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.142,142,IN.142,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.143,143,IN.143,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.161,161,IN.161,0.0,0.0,36530526.942278475,0.0,122,0.0,100.01
IN.157,157,IN.157,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.144,144,IN.144,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.145,145,IN.145,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.156,156,IN.156,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.155,155,IN.155,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.154,154,IN.154,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.153,153,IN.153,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.152,152,IN.152,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.15,15,IN.15,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.149,149,IN.149,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.148,148,IN.148,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.146,146,IN.146,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.141,141,IN.141,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.104,104,IN.104,0.0,0.0,102797995780.6329,0.0,122,0.0,100.01
IN.139,139,IN.139,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.76,76,IN.76,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.106,106,IN.106,0.0,0.0,102797995780.6329,0.0,122,0.0,100.01
IN.103,103,IN.103,0.0,0.0,102797995780.6329,0.0,122,0.0,100.01
IN.94,94,IN.94,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.110,110,IN.110,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.93,93,IN.93,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.82,82,IN.82,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.113,113,IN.113,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.80,80,IN.80,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.78,78,IN.78,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.74,74,IN.74,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.138,138,IN.138,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.69,69,IN.69,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.65,65,IN.65,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.59,59,IN.59,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.52,52,IN.52,0.0,0.0,11.963953708443038,0.0,122,0.0,100.01
IN.50,50,IN.50,0.0,0.0,11.963953708443038,0.0,122,0.0,100.01
IN.26,26,IN.26,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.105,105,IN.105,0.0,0.0,102797995780.6329,0.0,122,0.0,100.01
IN.22,22,IN.22,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.16,16,IN.16,0.0,0.0,0.0,0.0,122,0.0,100.01
IN.162,162,IN.162,0.0,0.0,0.0,0.0,122,0.0,100.01
