Sector_Code,Sector_Index,Sector_Name,Broad_Category,Water_2019_Blue_m3_per_crore,Water_2019_Green_m3_per_crore,Rank,Pct_of_Total,Cumulative_Pct
IN.41,41,IN.41,Other,18.03905872839241,0.0,45,0.0,99.96
IN.66,66,IN.66,Other,18.024506241641774,0.0,46,0.0,99.96
IN.70,70,IN.70,Other,16.720445644050635,0.0,47,0.0,99.96
IN.81,81,IN.81,Other,14.298986516763291,0.0,48,0.0,99.96
IN.86,86,IN.86,Other,13.636698318886078,0.0,49,0.0,99.96
IN.43,43,IN.43,Other,13.286118430670887,0.0,50,0.0,99.96
IN.77,77,IN.77,Other,13.254268367865825,0.0,51,0.0,99.96
IN.88,88,IN.88,Other,11.813101640979115,0.0,52,0.0,99.96
IN.73,73,IN.73,Other,11.459781091050635,0.0,53,0.0,99.96
IN.40,40,IN.40,Other,8.762908536754303,0.0,54,0.0,99.96
IN.35,35,IN.35,Other,7.0588067694320005,0.0,55,0.0,99.96
IN.89,89,IN.89,Other,5.841023444148101,0.0,56,0.0,99.96
IN.34,34,IN.34,Other,4.843373510582583,0.0,57,0.0,99.96
IN.36,36,IN.36,Other,3.5053187708732034,0.0,58,0.0,99.96
IN.101,101,IN.101,Other,3.110658227848101,0.0,59,0.0,99.96
IN.37,37,IN.37,Other,1.0544363453356456,0.0,60,0.0,99.96
IN.45,45,IN.45,Other,0.9133043481139241,0.0,61,0.0,99.96
IN.55,55,IN.55,Other,0.7348104965743038,0.0,62,0.0,99.96
IN.91,91,IN.91,Other,0.7321987341772153,0.0,63,0.0,99.96
IN.90,90,IN.90,Other,0.5345708860759494,0.0,64,0.0,99.96
IN.100,100,IN.100,Other,0.16737594936708863,0.0,65,0.0,99.96
IN.129,129,IN.129,Other,0.0,0.0,66,0.0,99.96
IN.133,133,IN.133,Other,0.0,0.0,66,0.0,99.96
IN.116,116,IN.116,Other,0.0,0.0,66,0.0,99.96
IN.117,117,IN.117,Other,0.0,0.0,66,0.0,99.96
IN.132,132,IN.132,Other,0.0,0.0,66,0.0,99.96
IN.131,131,IN.131,Other,0.0,0.0,66,0.0,99.96
IN.130,130,IN.130,Other,0.0,0.0,66,0.0,99.96
IN.119,119,IN.119,Other,0.0,0.0,66,0.0,99.96
IN.120,120,IN.120,Other,0.0,0.0,66,0.0,99.96
IN.127,127,IN.127,Other,0.0,0.0,66,0.0,99.96
IN.126,126,IN.126,Other,0.0,0.0,66,0.0,99.96
IN.125,125,IN.125,Other,0.0,0.0,66,0.0,99.96
IN.134,134,IN.134,Other,0.0,0.0,66,0.0,99.96
IN.124,124,IN.124,Other,0.0,0.0,66,0.0,99.96
IN.123,123,IN.123,Other,0.0,0.0,66,0.0,99.96
IN.122,122,IN.122,Other,0.0,0.0,66,0.0,99.96
IN.118,118,IN.118,Other,0.0,0.0,66,0.0,99.96
IN.121,121,IN.121,Other,0.0,0.0,66,0.0,99.96
IN.128,128,IN.128,Other,0.0,0.0,66,0.0,99.96
IN.139,139,IN.139,Other,0.0,0.0,66,0.0,99.96
IN.135,135,IN.135,Other,0.0,0.0,66,0.0,99.96
IN.136,136,IN.136,Other,0.0,0.0,66,0.0,99.96
IN.161,161,IN.161,Other,0.0,0.0,66,0.0,99.96
IN.160,160,IN.160,Other,0.0,0.0,66,0.0,99.96
IN.159,159,IN.159,Other,0.0,0.0,66,0.0,99.96
IN.158,158,IN.158,Other,0.0,0.0,66,0.0,99.96
IN.157,157,IN.157,Other,0.0,0.0,66,0.0,99.96
IN.156,156,IN.156,Other,0.0,0.0,66,0.0,99.96
IN.155,155,IN.155,Other,0.0,0.0,66,0.0,99.96
IN.154,154,IN.154,Other,0.0,0.0,66,0.0,99.96
IN.153,153,IN.153,Other,0.0,0.0,66,0.0,99.96
IN.152,152,IN.152,Other,0.0,0.0,66,0.0,99.96
IN.151,151,IN.151,Other,0.0,0.0,66,0.0,99.96
IN.150,150,IN.150,Other,0.0,0.0,66,0.0,99.96
IN.149,149,IN.149,Other,0.0,0.0,66,0.0,99.96
IN.148,148,IN.148,Other,0.0,0.0,66,0.0,99.96
IN.147,147,IN.147,Other,0.0,0.0,66,0.0,99.96
IN.146,146,IN.146,Other,0.0,0.0,66,0.0,99.96
IN.145,145,IN.145,Other,0.0,0.0,66,0.0,99.96
IN.144,144,IN.144,Other,0.0,0.0,66,0.0,99.96
IN.143,143,IN.143,Other,0.0,0.0,66,0.0,99.96
IN.142,142,IN.142,Other,0.0,0.0,66,0.0,99.96
IN.141,141,IN.141,Other,0.0,0.0,66,0.0,99.96
IN.140,140,IN.140,Other,0.0,0.0,66,0.0,99.96
IN.114,114,IN.114,Other,0.0,0.0,66,0.0,99.96
IN.138,138,IN.138,Other,0.0,0.0,66,0.0,99.96
IN.137,137,IN.137,Other,0.0,0.0,66,0.0,99.96
IN.115,115,IN.115,Other,0.0,0.0,66,0.0,99.96
IN.105,105,IN.105,Other,0.0,0.0,66,0.0,99.96
IN.113,113,IN.113,Other,0.0,0.0,66,0.0,99.96
IN.80,80,IN.80,Other,0.0,0.0,66,0.0,99.96
IN.78,78,IN.78,Other,0.0,0.0,66,0.0,99.96
IN.76,76,IN.76,Other,0.0,0.0,66,0.0,99.96
IN.22,22,IN.22,Other,0.0,0.0,66,0.0,99.96
IN.74,74,IN.74,Other,0.0,0.0,66,0.0,99.96
IN.23,23,IN.23,Other,0.0,0.0,66,0.0,99.96
IN.24,24,IN.24,Other,0.0,0.0,66,0.0,99.96
IN.25,25,IN.25,Other,0.0,0.0,66,0.0,99.96
IN.69,69,IN.69,Other,0.0,0.0,66,0.0,99.96
IN.26,26,IN.26,Other,0.0,0.0,66,0.0,99.96
IN.27,27,IN.27,Other,0.0,0.0,66,0.0,99.96
IN.28,28,IN.28,Other,0.0,0.0,66,0.0,99.96
IN.65,65,IN.65,Other,0.0,0.0,66,0.0,99.96
IN.29,29,IN.29,Other,0.0,0.0,66,0.0,99.96
IN.30,30,IN.30,Other,0.0,0.0,66,0.0,99.96
IN.31,31,IN.31,Other,0.0,0.0,66,0.0,99.96
IN.32,32,IN.32,Other,0.0,0.0,66,0.0,99.96
IN.33,33,IN.33,Other,0.0,0.0,66,0.0,99.96
IN.59,59,IN.59,Other,0.0,0.0,66,0.0,99.96
IN.57,57,IN.57,Other,0.0,0.0,66,0.0,99.96
IN.52,52,IN.52,Other,0.0,0.0,66,0.0,99.96
IN.50,50,IN.50,Other,0.0,0.0,66,0.0,99.96
IN.21,21,IN.21,Other,0.0,0.0,66,0.0,99.96
IN.20,20,IN.20,Other,0.0,0.0,66,0.0,99.96
IN.112,112,IN.112,Other,0.0,0.0,66,0.0,99.96
IN.82,82,IN.82,Other,0.0,0.0,66,0.0,99.96
IN.111,111,IN.111,Other,0.0,0.0,66,0.0,99.96
IN.110,110,IN.110,Other,0.0,0.0,66,0.0,99.96
IN.109,109,IN.109,Other,0.0,0.0,66,0.0,99.96
IN.108,108,IN.108,Other,0.0,0.0,66,0.0,99.96
IN.107,107,IN.107,Other,0.0,0.0,66,0.0,99.96
IN.106,106,IN.106,Other,0.0,0.0,66,0.0,99.96
IN.104,104,IN.104,Other,0.0,0.0,66,0.0,99.96
IN.103,103,IN.103,Other,0.0,0.0,66,0.0,99.96
IN.102,102,IN.102,Other,0.0,0.0,66,0.0,99.96
IN.99,99,IN.99,Other,0.0,0.0,66,0.0,99.96
IN.98,98,IN.98,Other,0.0,0.0,66,0.0,99.96
IN.12,12,IN.12,Agriculture,0.0,0.0,66,0.0,99.96
IN.13,13,IN.13,Agriculture,0.0,0.0,66,0.0,99.96
IN.14,14,IN.14,Agriculture,0.0,0.0,66,0.0,99.96
IN.94,94,IN.94,Other,0.0,0.0,66,0.0,99.96
IN.93,93,IN.93,Other,0.0,0.0,66,0.0,99.96
IN.15,15,IN.15,Agriculture,0.0,0.0,66,0.0,99.96
IN.16,16,IN.16,Agriculture,0.0,0.0,66,0.0,99.96
IN.17,17,IN.17,Agriculture,0.0,0.0,66,0.0,99.96
IN.18,18,IN.18,Agriculture,0.0,0.0,66,0.0,99.96
IN.19,19,IN.19,Agriculture,0.0,0.0,66,0.0,99.96
IN.162,162,IN.162,Other,0.0,0.0,66,0.0,99.96
